"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:29:42:783","217128361457082","   1.009","   1.432"," 1614"," 1200"," 2900"," 1644","   1.435","   1.448","   0.402","   0.617","   0.623","   0.173"," 59","0"," 56"," 60","   0.725","   0.732","   0.203","  45.000","    0","    0"
"22:29:43:794","217130690671504","   2.020","   2.738"," 1879"," 1200"," 3600"," 1993","   2.228","   3.701","   1.028","   1.339","   1.977","   0.549"," 59","0"," 56"," 69","   0.762","   1.503","   0.417","  45.000","    0","    0"
"22:29:44:798","217133002620480","   3.024","   1.386"," 1631"," 1200"," 2900"," 1643","   1.443","   5.149","   1.430","   0.627","   2.605","   0.724"," 58","0"," 55"," 59","   0.724","   2.229","   0.619","  45.000","    0","    0"
"22:29:45:798","217135307858166","   4.024","   2.476"," 2267"," 1200"," 3600"," 2766","   2.660","   7.810","   2.170","   1.835","   4.442","   1.234"," 58","0"," 55"," 65","   0.691","   2.921","   0.811","  45.000","    0","    0"
"22:29:46:799","217137614045078","   5.025","   1.931"," 2005"," 1200"," 4500"," 2084","   2.051","   9.863","   2.740","   1.134","   5.576","   1.549"," 58","0"," 55"," 65","   0.725","   3.646","   1.013","  45.000","    0","    0"
"22:29:47:808","217139938899484","   6.034","   1.448"," 2046"," 1200"," 3600"," 2342","   1.631","  11.509","   3.197","   0.906","   6.491","   1.803"," 58","0"," 55"," 67","   0.671","   4.323","   1.201","  45.000","    0","    0"
"22:29:48:809","217142244396118","   7.035","   1.478"," 1781"," 1200"," 2800"," 1797","   1.517","  13.027","   3.619","   0.682","   7.174","   1.993"," 58","0"," 54"," 58","   0.728","   5.052","   1.403","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.034986"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 13.027344"
"Cumulative Package Energy_0 (mWh) = 3.618707"
"Average Package Power_0 (Watt) = 1.851794"

"Cumulative IA Energy_0 (Joules) = 7.173523"
"Cumulative IA Energy_0 (mWh) = 1.992645"
"Average Package IA_0 (Watt) = 1.019692"

"Cumulative DRAM Energy_0 (Joules) = 5.051758"
"Cumulative DRAM Energy_0 (mWh) = 1.403266"
"Average Package DRAM_0 (Watt) = 0.718091"
