"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:13:55:627","231534630145440","   1.006","   2.032"," 1647"," 1200"," 2800"," 1657","   1.768","   1.779","   0.494","   0.860","   0.865","   0.240"," 64","0"," 62"," 66","   0.729","   0.733","   0.204","  45.000","    0","    0"
"00:13:56:638","231536959252206","   2.017","   2.097"," 2021"," 1200"," 3700"," 2184","   2.073","   3.874","   1.076","   1.301","   2.180","   0.606"," 63","0"," 61"," 73","   0.693","   1.433","   0.398","  45.000","    0","    0"
"00:13:57:646","231539280322656","   3.025","   1.388"," 1640"," 1200"," 2700"," 1670","   1.357","   5.242","   1.456","   0.628","   2.813","   0.781"," 64","0"," 61"," 64","   0.679","   2.117","   0.588","  45.000","    0","    0"
"00:13:58:653","231541602303922","   4.032","   3.079"," 2862"," 1200"," 4400"," 3447","   4.810","  10.089","   2.803","   3.923","   6.766","   1.879"," 63","0"," 61"," 85","   0.733","   2.856","   0.793","  45.000","    0","    0"
"00:13:59:657","231543915051628","   5.036","   1.627"," 1619"," 1200"," 3300"," 1645","   1.514","  11.609","   3.225","   0.738","   7.507","   2.085"," 63","0"," 60"," 64","   0.666","   3.524","   0.979","  45.000","    0","    0"
"00:14:00:667","231546240437398","   6.045","   1.717"," 1531"," 1200"," 2500"," 1543","   1.669","  13.293","   3.693","   0.716","   8.230","   2.286"," 63","0"," 60"," 64","   0.745","   4.276","   1.188","  45.000","    0","    0"
"00:14:01:668","231548548572312","   7.047","   0.942"," 1516"," 1200"," 2500"," 1554","   1.114","  14.409","   4.002","   0.441","   8.672","   2.409"," 61","0"," 60"," 63","   0.659","   4.936","   1.371","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.047247"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 14.408936"
"Cumulative Package Energy_0 (mWh) = 4.002482"
"Average Package Power_0 (Watt) = 2.044619"

"Cumulative IA Energy_0 (Joules) = 8.671631"
"Cumulative IA Energy_0 (mWh) = 2.408786"
"Average Package IA_0 (Watt) = 1.230499"

"Cumulative DRAM Energy_0 (Joules) = 4.935791"
"Cumulative DRAM Energy_0 (mWh) = 1.371053"
"Average Package DRAM_0 (Watt) = 0.700386"
