"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:28:30:899","440908101273754","   1.010","   5.409"," 2068"," 1200"," 3600"," 2295","  10.771","  10.880","   3.022","   3.904","   3.943","   1.095"," 71","0"," 64"," 73","   1.004","   1.014","   0.282","  45.000","    0","    0"
"01:28:31:908","440910424612104","   2.018","   5.189"," 1809"," 1200"," 3700"," 1839","  10.591","  21.559","   5.989","   3.084","   7.053","   1.959"," 70","0"," 64"," 76","   0.984","   2.007","   0.557","  45.000","    0","    0"
"01:28:32:909","440912732941330","   3.020","   4.798"," 1643"," 1200"," 3000"," 1659","  11.525","  33.105","   9.196","   2.713","   9.771","   2.714"," 69","0"," 63"," 67","   0.933","   2.941","   0.817","  45.000","    0","    0"
"01:28:33:917","440915054270714","   4.028","   4.583"," 1627"," 1200"," 3400"," 1641","  10.482","  43.666","  12.129","   2.540","  12.330","   3.425"," 69","0"," 63"," 67","   0.923","   3.871","   1.075","  45.000"," 1000"," 1000"
"01:28:34:927","440917381990856","   5.038","   4.455"," 1662"," 1200"," 3300"," 1677","   8.930","  52.688","  14.635","   2.354","  14.709","   4.086"," 70","0"," 63"," 66","   0.927","   4.808","   1.336","  45.000","  950","  933"
"01:28:35:936","440919706233114","   6.047","   4.690"," 1581"," 1200"," 3600"," 1593","   9.479","  62.250","  17.292","   2.342","  17.071","   4.742"," 72","0"," 63"," 66","   0.921","   5.737","   1.594","  45.000"," 1000"," 1000"
"01:28:36:944","440922028382250","   7.055","   4.676"," 1623"," 1200"," 3600"," 1632","  11.093","  73.431","  20.398","   2.604","  19.695","   5.471"," 74","0"," 63"," 67","   0.926","   6.670","   1.853","  45.000"," 1100"," 1100"
"01:28:37:953","440924353000754","   8.064","   5.412"," 1905"," 1200"," 3600"," 2005","  13.223","  86.773","  24.104","   3.685","  23.413","   6.504"," 71","0"," 63"," 74","   0.988","   7.668","   2.130","  45.000","    0","    0"
"01:28:38:962","440926677073014","   9.072","   4.652"," 1615"," 1200"," 3100"," 1630","  12.307","  99.187","  27.552","   2.686","  26.122","   7.256"," 69","0"," 63"," 67","   0.925","   8.601","   2.389","  45.000","    0","    0"
"01:28:39:967","440928993074228","  10.078","   4.521"," 1616"," 1200"," 3000"," 1629","  12.239"," 111.489","  30.969","   2.653","  28.789","   7.997"," 69","0"," 63"," 67","   0.926","   9.531","   2.648","  45.000"," 1150"," 1200"
