"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:32:55:926","449812975252644","   1.008","   4.534"," 1578"," 1200"," 3100"," 1588","   6.821","   6.873","   1.909","   1.893","   1.907","   0.530"," 62","0"," 59"," 63","   0.997","   1.005","   0.279","  45.000","    0","    0"
"02:32:56:943","449815317028492","   2.024","   6.693"," 1693"," 1200"," 3700"," 1763","   5.769","  12.737","   3.538","   2.641","   4.592","   1.275"," 62","0"," 59"," 70","   0.992","   2.013","   0.559","  45.000","    0","    0"
"02:32:57:952","449817643057348","   3.034","   5.870"," 1636"," 1200"," 3400"," 1652","   4.674","  17.455","   4.849","   2.006","   6.617","   1.838"," 63","0"," 59"," 65","   0.936","   2.958","   0.822","  45.000","  500","  500"
"02:32:58:958","449819961055328","   4.040","   6.182"," 1668"," 1200"," 4200"," 1694","   5.133","  22.620","   6.283","   2.279","   8.910","   2.475"," 64","0"," 59"," 70","   0.990","   3.953","   1.098","  45.000","  600","  600"
"02:32:59:963","449822277333878","   5.045","   4.539"," 1695"," 1200"," 3600"," 1734","   7.042","  29.699","   8.250","   2.125","  11.046","   3.068"," 64","0"," 59"," 63","   0.999","   4.958","   1.377","  45.000","  850","  833"
"02:33:00:972","449824599964786","   6.053","   5.132"," 1685"," 1200"," 3100"," 1715","  10.177","  39.958","  11.099","   2.659","  13.726","   3.813"," 69","0"," 60"," 64","   1.065","   6.031","   1.675","  45.000"," 1050"," 1033"
"02:33:01:975","449826911202216","   7.056","   4.922"," 1717"," 1200"," 3600"," 1743","  11.465","  51.459","  14.294","   2.903","  16.639","   4.622"," 72","0"," 59"," 64","   1.042","   7.076","   1.966","  45.000"," 1150"," 1133"
"02:33:02:979","449829226165146","   8.061","   5.841"," 1580"," 1200"," 3600"," 1592","   7.346","  58.839","  16.344","   2.247","  18.896","   5.249"," 62","0"," 60"," 67","   0.993","   8.074","   2.243","  45.000","  750","  733"
"02:33:03:986","449831546280164","   9.068","   6.058"," 1999"," 1200"," 3600"," 2221","   6.749","  65.636","  18.232","   3.383","  22.303","   6.195"," 63","0"," 60"," 70","   0.993","   9.074","   2.520","  45.000","    0","    0"
"02:33:04:997","449833874322254","  10.078","   5.410"," 1520"," 1200"," 2600"," 1534","   4.237","  69.917","  19.421","   1.571","  23.890","   6.636"," 61","0"," 60"," 63","   0.952","  10.035","   2.788","  45.000","    0","    0"
"02:33:06:006","449836199890482","  11.088","   5.419"," 1538"," 1200"," 3700"," 1553","   4.281","  74.238","  20.622","   1.642","  25.548","   7.097"," 62","0"," 59"," 63","   0.944","  10.988","   3.052","  45.000","    0","    0"
"02:33:07:016","449838526272096","  12.097","   4.649"," 1603"," 1200"," 3100"," 1626","   5.795","  80.090","  22.247","   1.780","  27.346","   7.596"," 62","0"," 59"," 63","   0.959","  11.956","   3.321","  45.000","    0","    0"
"02:33:08:021","449840842918288","  13.103","   6.422"," 1641"," 1200"," 3600"," 1663","   5.161","  85.279","  23.689","   2.222","  29.580","   8.217"," 63","0"," 59"," 64","   0.985","  12.947","   3.596","  45.000","  600","  600"
"02:33:09:030","449843167448140","  14.112","   5.964"," 1547"," 1200"," 3100"," 1558","   4.387","  89.705","  24.918","   1.704","  31.299","   8.694"," 62","0"," 59"," 63","   0.929","  13.885","   3.857","  45.000","  500","  500"
"02:33:10:041","449845495570190","  15.122","   4.860"," 1546"," 1200"," 2900"," 1562","   4.309","  94.059","  26.127","   1.530","  32.846","   9.124"," 63","0"," 59"," 63","   0.955","  14.849","   4.125","  45.000","  450","  433"
