"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:00:50:605","403905714358458","   1.008","   8.226"," 1540"," 1200"," 3600"," 1567","   4.705","   4.745","   1.318","   2.523","   2.544","   0.707"," 60","0"," 57"," 67","   0.949","   0.957","   0.266","  45.000","    0","    0"
"21:00:51:612","403908035939466","   2.016","   7.918"," 1710"," 1200"," 4400"," 1754","   5.444","  10.231","   2.842","   3.367","   5.936","   1.649"," 60","0"," 57"," 75","   0.901","   1.864","   0.518","  45.000","    0","    0"
"21:00:52:615","403910345577504","   3.019","   6.029"," 1488"," 1200"," 3000"," 1497","   4.426","  14.668","   4.074","   1.721","   7.662","   2.128"," 60","0"," 57"," 61","   0.895","   2.761","   0.767","  45.000","    0","    0"
"21:00:53:620","403912660611688","   4.023","  10.083"," 1408"," 1200"," 3600"," 1417","   4.582","  19.272","   5.353","   2.477","  10.151","   2.820"," 60","0"," 57"," 62","   0.908","   3.674","   1.021","  45.000","    0","    0"
"21:00:54:624","403914974105548","   5.027","   6.213"," 1440"," 1200"," 2500"," 1449","   4.056","  23.344","   6.484","   1.580","  11.737","   3.260"," 60","0"," 57"," 61","   0.914","   4.592","   1.276","  45.000","    0","    0"
"21:00:55:625","403917281414784","   6.029","   7.636"," 1394"," 1200"," 3600"," 1402","   4.201","  27.551","   7.653","   1.885","  13.625","   3.785"," 60","0"," 57"," 61","   0.884","   5.478","   1.522","  45.000","    0","    0"
"21:00:56:626","403919587083780","   7.030","   6.298"," 2034"," 1200"," 3600"," 2307","   6.078","  33.634","   9.343","   3.488","  17.115","   4.754"," 60","0"," 57"," 68","   0.986","   6.464","   1.796","  45.000","    0","    0"
"21:00:57:635","403921910893046","   8.038","   5.226"," 1538"," 1200"," 3000"," 1551","   4.151","  37.820","  10.506","   1.572","  18.701","   5.195"," 60","0"," 57"," 61","   0.936","   7.409","   2.058","  45.000","  450","  433"
"21:00:58:644","403924236080154","   9.047","   4.649"," 1586"," 1200"," 3100"," 1599","   4.550","  42.412","  11.781","   1.548","  20.263","   5.629"," 61","0"," 57"," 61","   0.978","   8.395","   2.332","  45.000","  500","  500"
"21:00:59:646","403926546400000","  10.050","   4.393"," 1541"," 1200"," 3000"," 1556","   5.673","  48.101","  13.361","   1.623","  21.891","   6.081"," 62","0"," 57"," 61","   0.974","   9.372","   2.603","  45.000","    0","    0"
"21:01:00:651","403928860463702","  11.054","   7.721"," 1659"," 1200"," 3600"," 1720","   5.474","  53.598","  14.888","   2.669","  24.572","   6.826"," 61","0"," 57"," 68","   0.985","  10.362","   2.878","  45.000","    0","    0"
"21:01:01:659","403931182843510","  12.062","   9.300"," 1409"," 1200"," 3600"," 1413","   4.197","  57.828","  16.063","   2.320","  26.910","   7.475"," 60","0"," 57"," 61","   0.849","  11.217","   3.116","  45.000","    0","    0"
"21:01:02:662","403933493535472","  13.065","  10.776"," 1395"," 1200"," 3100"," 1401","   4.253","  62.094","  17.248","   2.612","  29.530","   8.203"," 60","0"," 57"," 60","   0.811","  12.031","   3.342","  45.000","    0","    0"
"21:01:03:665","403935806141690","  14.069","  10.408"," 1436"," 1200"," 3100"," 1444","   4.369","  66.479","  18.466","   2.688","  32.228","   8.952"," 60","0"," 57"," 61","   0.830","  12.864","   3.573","  45.000","  400","  400"
"21:01:04:673","403938128394802","  15.077","   4.404"," 1762"," 1200"," 3600"," 1777","   7.658","  74.197","  20.610","   2.203","  34.449","   9.569"," 66","0"," 57"," 62","   1.074","  13.946","   3.874","  45.000"," 1000"," 1000"
"21:01:05:681","403940451159048","  16.085","   4.587"," 1435"," 1200"," 2900"," 1442","   9.413","  83.686","  23.246","   2.049","  36.514","  10.143"," 60","0"," 57"," 61","   0.997","  14.952","   4.153","  45.000","    0","    0"
"21:01:06:684","403942761981856","  17.088","  10.073"," 1730"," 1200"," 4400"," 1849","   6.872","  90.579","  25.161","   3.912","  40.438","  11.233"," 60","0"," 57"," 69","   0.976","  15.931","   4.425","  45.000","    0","    0"
"21:01:07:689","403945076103630","  18.092","   9.125"," 1549"," 1200"," 3600"," 1561","   4.991","  95.591","  26.553","   2.733","  43.183","  11.995"," 60","0"," 57"," 63","   0.928","  16.862","   4.684","  45.000","    0","    0"
"21:01:08:690","403947383121724","  19.094","   6.773"," 1573"," 1200"," 3600"," 1587","   4.718"," 100.315","  27.865","   2.062","  45.248","  12.569"," 59","0"," 57"," 61","   0.980","  17.844","   4.957","  45.000","    0","    0"
"21:01:09:698","403949705655162","  20.102","   8.094"," 1440"," 1200"," 2500"," 1455","   4.179"," 104.527","  29.035","   1.904","  47.167","  13.102"," 61","0"," 57"," 61","   0.954","  18.805","   5.224","  45.000","    0","    0"
"21:01:10:701","403952016825066","  21.105","   9.811"," 1550"," 1200"," 3600"," 1632","   4.959"," 109.501","  30.417","   2.801","  49.977","  13.882"," 60","0"," 57"," 66","   0.918","  19.726","   5.480","  45.000","    0","    0"
"21:01:11:702","403954323241504","  22.106","   5.694"," 1567"," 1200"," 3100"," 1586","   5.262"," 114.768","  31.880","   1.944","  51.923","  14.423"," 61","0"," 57"," 62","   0.971","  20.698","   5.749","  45.000","    0","    0"
"21:01:12:703","403956628710256","  23.107","   8.973"," 1502"," 1200"," 3100"," 1513","   6.207"," 120.980","  33.605","   2.494","  54.418","  15.116"," 65","0"," 57"," 62","   0.988","  21.687","   6.024","  45.000","  900","  900"
"21:01:13:703","403958933330258","  24.107","  10.131"," 1637"," 1200"," 3700"," 1678","   8.179"," 129.161","  35.878","   3.627","  58.046","  16.124"," 67","0"," 58"," 69","   1.020","  22.706","   6.307","  45.000"," 1000"," 1000"
"21:01:14:704","403961238799882","  25.108","  10.516"," 1633"," 1200"," 3700"," 1768","   9.397"," 138.565","  38.490","   4.174","  62.222","  17.284"," 60","0"," 58"," 70","   0.974","  23.681","   6.578","  45.000","    0","    0"
