"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:42:11:059","417914945017320","   1.006","   5.628"," 1534"," 1200"," 3000"," 1549","   3.843","   3.864","   1.073","   1.688","   1.697","   0.471"," 63","0"," 61"," 65","   0.927","   0.933","   0.259","  45.000","    0","    0"
"22:42:12:069","417917272485106","   2.016","   5.396"," 1756"," 1200"," 3600"," 1829","   4.202","   8.109","   2.253","   2.124","   3.842","   1.067"," 63","0"," 60"," 72","   0.924","   1.866","   0.518","  45.000","  450","  433"
"22:42:13:070","417919578035098","   3.016","   3.350"," 1485"," 1200"," 3000"," 1495","   5.333","  13.446","   3.735","   1.320","   5.163","   1.434"," 63","0"," 60"," 64","   0.961","   2.828","   0.786","  45.000","    0","    0"
"22:42:14:073","417921890150400","   4.020","   6.118"," 1492"," 1200"," 3000"," 1517","   3.438","  16.896","   4.693","   1.668","   6.836","   1.899"," 63","0"," 60"," 64","   0.877","   3.708","   1.030","  45.000","  650","  633"
"22:42:15:083","417924216482280","   5.030","   5.479"," 1401"," 1200"," 2500"," 1407","   3.457","  20.387","   5.663","   1.341","   8.190","   2.275"," 63","0"," 60"," 63","   0.877","   4.593","   1.276","  45.000","    0","    0"
"22:42:16:089","417926533991698","   6.036","   6.150"," 1566"," 1200"," 3600"," 1640","   4.074","  24.484","   6.801","   2.024","  10.226","   2.841"," 64","0"," 60"," 68","   0.897","   5.495","   1.526","  45.000","    0","    0"
"22:42:17:092","417928844932076","   7.039","   4.144"," 1498"," 1200"," 3600"," 1508","   3.554","  28.049","   7.791","   1.276","  11.506","   3.196"," 63","0"," 60"," 64","   0.904","   6.402","   1.778","  45.000","    0","    0"
"22:42:18:097","417931160933632","   8.044","   8.622"," 1803"," 1200"," 3100"," 2137","   4.899","  32.974","   9.159","   3.129","  14.651","   4.070"," 63","0"," 60"," 69","   0.993","   7.400","   2.056","  45.000","    0","    0"
"22:42:19:105","417933482738652","   9.052","   3.983"," 1477"," 1200"," 3600"," 1484","   4.693","  37.703","  10.473","   1.275","  15.936","   4.427"," 62","0"," 60"," 64","   0.924","   8.332","   2.314","  45.000","    0","    0"
"22:42:20:112","417935801942692","  10.058","   4.808"," 1436"," 1200"," 3000"," 1448","   3.118","  40.842","  11.345","   1.295","  17.240","   4.789"," 62","0"," 60"," 64","   0.885","   9.222","   2.562","  45.000","    0","    0"
"22:42:21:120","417938125937142","  11.067","   3.449"," 1618"," 1200"," 2900"," 1639","   4.543","  45.424","  12.618","   1.330","  18.581","   5.161"," 63","0"," 60"," 63","   0.942","  10.172","   2.826","  45.000","  600","  600"
"22:42:22:126","417940442820462","  12.072","   4.419"," 1449"," 1200"," 3100"," 1457","   3.938","  49.384","  13.718","   1.264","  19.852","   5.514"," 62","0"," 59"," 63","   0.879","  11.056","   3.071","  45.000","    0","    0"
"22:42:23:134","417942765204876","  13.080","   4.407"," 1481"," 1200"," 3000"," 1490","   3.363","  52.774","  14.659","   1.297","  21.159","   5.877"," 62","0"," 60"," 63","   0.875","  11.939","   3.316","  45.000","    0","    0"
"22:42:24:136","417945074984572","  14.083","   4.890"," 1505"," 1200"," 3100"," 1531","   3.417","  56.200","  15.611","   1.381","  22.543","   6.262"," 62","0"," 59"," 63","   0.866","  12.806","   3.557","  45.000","    0","    0"
"22:42:25:144","417947395744072","  15.090","   6.779"," 1404"," 1200"," 3600"," 1410","   3.456","  59.681","  16.578","   1.605","  24.160","   6.711"," 62","0"," 59"," 63","   0.911","  13.724","   3.812","  45.000","    0","    0"
"22:42:26:145","417949703688524","  16.092","   4.436"," 1519"," 1200"," 2900"," 1536","   3.856","  63.544","  17.651","   1.405","  25.567","   7.102"," 63","0"," 59"," 63","   0.911","  14.637","   4.066","  45.000","  500","  500"
"22:42:27:146","417952009636264","  17.093","   3.242"," 1538"," 1200"," 3600"," 1552","   4.390","  67.937","  18.871","   1.217","  26.785","   7.440"," 62","0"," 59"," 63","   0.926","  15.563","   4.323","  45.000","    0","    0"
"22:42:28:149","417954320248168","  18.096","   5.898"," 1872"," 1200"," 3600"," 2045","   5.566","  73.519","  20.422","   2.956","  29.750","   8.264"," 63","0"," 59"," 69","   0.961","  16.527","   4.591","  45.000","    0","    0"
"22:42:29:150","417956626005892","  19.096","   4.574"," 1460"," 1200"," 3100"," 1467","   5.310","  78.833","  21.898","   1.480","  31.232","   8.676"," 61","0"," 59"," 63","   0.924","  17.452","   4.848","  45.000","    0","    0"
