"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:35:22:684","425268229955240","   1.001","   4.723"," 1653"," 1200"," 3600"," 1664","   9.780","   9.786","   2.718","   2.430","   2.431","   0.675"," 66","0"," 59"," 63","   0.972","   0.973","   0.270","  45.000"," 1000"," 1000"
"23:35:23:699","425270567981878","   2.015","   4.924"," 1827"," 1200"," 3600"," 1874","  11.190","  21.141","   5.872","   3.095","   5.572","   1.548"," 72","0"," 59"," 69","   0.939","   1.926","   0.535","  45.000"," 1100"," 1100"
"23:35:24:706","425272889750332","   3.023","   5.134"," 2018"," 1200"," 3700"," 2241","  13.203","  34.445","   9.568","   3.924","   9.525","   2.646"," 73","0"," 59"," 69","   0.986","   2.920","   0.811","  45.000"," 1150"," 1133"
"23:35:25:707","425275195181228","   4.024","   4.593"," 1558"," 1200"," 3600"," 1566","  11.209","  45.661","  12.684","   2.516","  12.043","   3.345"," 72","0"," 59"," 63","   0.922","   3.842","   1.067","  45.000"," 1100"," 1100"
"23:35:26:710","425277506635954","   5.027","   4.589"," 1650"," 1200"," 3600"," 1683","   9.695","  55.388","  15.385","   2.439","  14.489","   4.025"," 69","0"," 59"," 69","   0.925","   4.770","   1.325","  45.000"," 1000"," 1000"
"23:35:27:718","425279828187252","   6.035","   4.929"," 2022"," 1200"," 3700"," 2282","   9.957","  65.420","  18.172","   3.541","  18.057","   5.016"," 66","0"," 60"," 72","   0.956","   5.733","   1.593","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.034569"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 65.420288"
"Cumulative Package Energy_0 (mWh) = 18.172302"
"Average Package Power_0 (Watt) = 10.840922"

"Cumulative IA Energy_0 (Joules) = 18.057129"
"Cumulative IA Energy_0 (mWh) = 5.015869"
"Average Package IA_0 (Watt) = 2.992282"

"Cumulative DRAM Energy_0 (Joules) = 5.733337"
"Cumulative DRAM Energy_0 (mWh) = 1.592594"
"Average Package DRAM_0 (Watt) = 0.950082"
