#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
1,22-09-23T20-08-04,micro,api-baseline,62.305494,298.976712,272.502628,12.227427,1076.316162,981.009460,44.018738,71.41935483870968
1,22-09-23T20-08-04,micro,api-monitor,62.331246,198.287354,173.068051,12.549184,713.834473,623.044983,45.177063,66.46774193548387
1,22-09-23T20-08-04,micro,frontend-baseline,12.080173,6.821509,2.303772,2.285241,24.557434,8.293579,8.226868,58.916666666666664
1,22-09-23T20-08-04,micro,frontend-monitor,12.064940,17.487759,12.920074,2.436354,62.955933,46.512268,8.770874,61.916666666666664
10,22-09-23T20-08-04,micro,api-baseline,62.348973,173.912031,54.140947,16.672075,626.083313,194.907410,60.019470,67.06451612903226
10,22-09-23T20-08-04,micro,api-monitor,62.388560,128.873851,79.270511,15.150265,463.945862,285.373840,54.540955,65.16129032258064
10,22-09-23T20-08-04,micro,frontend-baseline,12.060574,36.061944,9.237688,3.130646,129.822998,33.255676,11.270325,68.08333333333333
10,22-09-23T20-08-04,micro,frontend-monitor,12.077876,27.592790,19.585063,3.027683,99.334045,70.506226,10.899658,66.5
2,22-09-23T20-08-04,micro,api-baseline,62.393688,132.323218,107.401496,12.372165,476.363586,386.645386,44.539795,69.1774193548387
2,22-09-23T20-08-04,micro,api-monitor,62.350032,34.867995,12.429097,11.914351,125.524780,44.744751,42.891663,49.11290322580645
2,22-09-23T20-08-04,micro,frontend-baseline,12.060070,6.786533,2.445645,2.342546,24.431519,8.804321,8.433167,43.166666666666664
2,22-09-23T20-08-04,micro,frontend-monitor,12.057020,6.204902,1.934967,2.279205,22.337646,6.965881,8.205139,43.0
3,22-09-23T20-08-04,micro,api-baseline,62.318254,34.519450,12.387933,11.904297,124.270020,44.596558,42.855469,42.016129032258064
3,22-09-23T20-08-04,micro,api-monitor,62.262397,93.731656,70.903202,12.563629,337.433960,255.251526,45.229065,46.87096774193548
3,22-09-23T20-08-04,micro,frontend-baseline,12.066438,48.553145,11.004876,3.371972,174.791321,39.617554,12.139099,67.75
3,22-09-23T20-08-04,micro,frontend-monitor,12.081125,68.567980,30.632477,3.387960,246.844727,110.276917,12.196655,80.41666666666667
4,22-09-23T20-08-04,micro,api-baseline,62.308299,99.764913,50.201959,15.884569,359.153687,180.727051,57.184448,60.935483870967744
4,22-09-23T20-08-04,micro,api-monitor,62.336540,182.445814,49.061381,16.339366,656.804932,176.620972,58.821716,70.16129032258064
4,22-09-23T20-08-04,micro,frontend-baseline,12.071310,16.303779,7.223918,3.202549,58.693604,26.006104,11.529175,61.416666666666664
4,22-09-23T20-08-04,micro,frontend-monitor,12.077043,33.464779,8.784027,3.167589,120.473206,31.622498,11.403320,68.25
5,22-09-23T20-08-04,micro,api-baseline,62.308806,133.510590,57.624647,16.680162,480.638123,207.448730,60.048584,65.48387096774194
5,22-09-23T20-08-04,micro,api-monitor,62.360168,139.328749,43.447249,16.179657,501.583496,156.410095,58.246765,67.29032258064517
5,22-09-23T20-08-04,micro,frontend-baseline,12.067623,16.804182,8.686506,3.137767,60.495056,31.271423,11.295959,61.666666666666664
5,22-09-23T20-08-04,micro,frontend-monitor,12.075510,29.322578,20.690562,3.124322,105.561279,74.486023,11.247559,66.33333333333333
6,22-09-23T20-08-04,micro,api-baseline,62.154677,41.794230,18.874529,12.003716,150.459229,67.948303,43.213379,55.774193548387096
6,22-09-23T20-08-04,micro,api-monitor,62.205213,76.341671,43.125102,14.019860,274.830017,155.250366,50.471497,49.24193548387097
6,22-09-23T20-08-04,micro,frontend-baseline,12.064553,26.204190,9.087253,3.367343,94.335083,32.714111,12.122437,62.583333333333336
6,22-09-23T20-08-04,micro,frontend-monitor,12.065621,32.122430,21.995646,3.119473,115.640747,79.184326,11.230103,67.08333333333333
7,22-09-23T20-08-04,micro,api-baseline,62.336007,121.826070,57.115784,16.591848,438.573853,205.616821,59.730652,64.09677419354838
7,22-09-23T20-08-04,micro,api-monitor,62.339870,77.817349,39.487067,15.435096,280.142456,142.153442,55.566345,62.903225806451616
7,22-09-23T20-08-04,micro,frontend-baseline,12.050529,20.031501,12.878181,2.983788,72.113403,46.361450,10.741638,55.166666666666664
7,22-09-23T20-08-04,micro,frontend-monitor,12.074622,35.395270,22.208015,3.184543,127.422974,79.948853,11.464355,69.5
