"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"07:11:57:979","57622964753354","   1.001","   5.457"," 1720"," 1200"," 3600"," 1731","  15.262","  15.281","   4.245","   3.492","   3.497","   0.971"," 73","0"," 61"," 65","   1.021","   1.022","   0.284","  45.000","    0","    0"
"07:11:58:987","57625285208900","   2.008","   6.189"," 2098"," 1200"," 3600"," 2339","  16.995","  32.397","   8.999","   5.102","   8.635","   2.399"," 71","0"," 61"," 72","   1.021","   2.050","   0.569","  45.000","    0","    0"
"07:11:59:992","57627601049624","   3.014","   5.627"," 1593"," 1200"," 3600"," 1602","  14.854","  47.327","  13.146","   3.219","  11.870","   3.297"," 73","0"," 61"," 65","   1.050","   3.105","   0.863","  45.000","    0","    0"
"07:12:00:992","57629906904860","   4.014","   6.443"," 2342"," 1200"," 4400"," 2506","  19.936","  67.279","  18.689","   7.884","  19.761","   5.489"," 72","0"," 62"," 85","   1.060","   4.166","   1.157","  45.000","    0","    0"
"07:12:02:001","57632230785120","   5.023","   4.982"," 1581"," 1200"," 3600"," 1614","  14.616","  82.021","  22.784","   3.100","  22.887","   6.357"," 72","0"," 61"," 71","   0.963","   5.137","   1.427","  45.000"," 1150"," 1200"
"07:12:03:011","57634556557900","   6.032","   5.053"," 1618"," 1200"," 3100"," 1630","  14.874","  97.036","  26.954","   3.130","  26.046","   7.235"," 76","0"," 61"," 66","   1.001","   6.148","   1.708","  45.000"," 1150"," 1200"
"07:12:04:017","57636875777382","   7.039","   5.279"," 1679"," 1200"," 3600"," 1688","  14.911"," 112.046","  31.124","   3.275","  29.342","   8.151"," 76","0"," 61"," 68","   0.970","   7.125","   1.979","  45.000"," 1150"," 1200"
"07:12:05:025","57639196820352","   8.046","   5.044"," 1643"," 1200"," 3600"," 1654","  14.874"," 127.029","  35.286","   3.168","  32.534","   9.037"," 77","0"," 61"," 66","   1.003","   8.135","   2.260","  45.000"," 1150"," 1200"
"07:12:06:030","57641514109846","   9.052","   5.070"," 1602"," 1200"," 3100"," 1608","  14.687"," 141.801","  39.389","   3.074","  35.626","   9.896"," 75","0"," 61"," 65","   0.971","   9.112","   2.531","  45.000"," 1150"," 1200"
"07:12:07:041","57643841788494","  10.063","   4.929"," 1570"," 1200"," 2800"," 1582","  14.631"," 156.583","  43.495","   2.984","  38.641","  10.734"," 75","0"," 61"," 65","   0.962","  10.083","   2.801","  45.000"," 1150"," 1200"
