"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"07:42:54:115","61899420030860","   1.008","   6.974"," 2156"," 1200"," 3600"," 2433","   7.611","   7.671","   2.131","   4.250","   4.283","   1.190"," 69","0"," 63"," 73","   1.070","   1.078","   0.300","  45.000","  650","  633"
"07:42:55:122","61901738746700","   2.014","   5.645"," 1771"," 1200"," 4400"," 1838","   7.679","  15.399","   4.277","   2.831","   7.132","   1.981"," 69","0"," 63"," 79","   1.022","   2.107","   0.585","  45.000","  750","  733"
"07:42:56:125","61904051325164","   3.018","   5.988"," 1581"," 1200"," 2700"," 1591","   5.307","  20.725","   5.757","   1.991","   9.130","   2.536"," 69","0"," 63"," 66","   1.018","   3.130","   0.869","  45.000","  650","  633"
"07:42:57:135","61906377665622","   4.028","   5.766"," 1697"," 1200"," 3300"," 1709","   6.291","  27.077","   7.521","   2.297","  11.450","   3.180"," 68","0"," 63"," 67","   1.011","   4.151","   1.153","  45.000","  650","  633"
"07:42:58:142","61908697930848","   5.035","   5.062"," 1723"," 1200"," 3600"," 1735","   8.055","  35.189","   9.775","   2.559","  14.027","   3.896"," 66","0"," 63"," 68","   1.014","   5.172","   1.437","  45.000","    0","    0"
"07:42:59:149","61911017945544","   6.042","   5.888"," 1632"," 1200"," 3500"," 1647","   6.016","  41.247","  11.457","   2.168","  16.211","   4.503"," 69","0"," 63"," 66","   1.000","   6.179","   1.716","  45.000","  750","  733"
"07:43:00:159","61913345606510","   7.052","   6.647"," 1677"," 1200"," 3000"," 1693","   6.590","  47.905","  13.307","   2.421","  18.656","   5.182"," 69","0"," 62"," 66","   1.124","   7.315","   2.032","  45.000","  800","  800"
"07:43:01:165","61915662143514","   8.057","   6.819"," 2070"," 1200"," 4000"," 2315","   9.017","  56.971","  15.825","   4.475","  23.156","   6.432"," 65","0"," 62"," 78","   1.038","   8.359","   2.322","  45.000","    0","    0"
"07:43:02:170","61917977213616","   9.062","   7.245"," 1740"," 1200"," 3100"," 1759","   6.052","  63.052","  17.514","   2.729","  25.898","   7.194"," 66","0"," 62"," 66","   1.041","   9.405","   2.612","  45.000","    0","    0"
"07:43:03:171","61920284542080","  10.064","   5.337"," 1843"," 1200"," 3600"," 1860","   9.972","  73.039","  20.289","   3.023","  28.925","   8.035"," 68","0"," 62"," 71","   1.077","  10.483","   2.912","  45.000"," 1000"," 1000"
