"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:39:31:809","11667856325300","   1.008","   4.114"," 1578"," 1200"," 3600"," 1616","  11.808","  11.905","   3.307","   2.567","   2.588","   0.719"," 64","0"," 60"," 70","   0.901","   0.908","   0.252","  45.000","    0","    0"
"01:39:32:823","11670192105942","   2.022","   6.287"," 1813"," 1200"," 3600"," 1872","  13.398","  25.487","   7.080","   3.835","   6.476","   1.799"," 69","0"," 60"," 72","   0.984","   1.905","   0.529","  45.000"," 1150"," 1133"
"01:39:33:832","11672516807904","   3.031","   5.671"," 1903"," 1200"," 3600"," 2108","  15.036","  40.659","  11.294","   4.152","  10.665","   2.963"," 73","0"," 60"," 70","   1.004","   2.918","   0.811","  45.000"," 1150"," 1200"
"01:39:34:841","11674841333832","   4.040","   6.227"," 2127"," 1200"," 3700"," 2286","  16.420","  57.225","  15.896","   5.141","  15.851","   4.403"," 73","0"," 60"," 70","   1.006","   3.933","   1.092","  45.000","    0","    0"
"01:39:35:842","11677148075970","   5.041","   6.367"," 2013"," 1200"," 3600"," 2036","  15.564","  72.807","  20.224","   4.522","  20.379","   5.661"," 72","0"," 60"," 67","   1.016","   4.950","   1.375","  45.000"," 1100"," 1100"
"01:39:36:848","11679464391470","   6.046","   5.801"," 1786"," 1200"," 3600"," 1806","  14.421","  87.305","  24.251","   3.666","  24.065","   6.685"," 72","0"," 60"," 67","   1.001","   5.956","   1.655","  45.000"," 1150"," 1200"
"01:39:37:854","11681781934240","   7.052","   6.240"," 2015"," 1200"," 3600"," 2042","  15.598"," 102.995","  28.610","   4.497","  28.589","   7.941"," 72","0"," 60"," 69","   1.009","   6.971","   1.936","  45.000"," 1100"," 1100"
"01:39:38:859","11684097945278","   8.058","   6.991"," 2025"," 1200"," 3600"," 2074","  15.720"," 118.797","  32.999","   4.913","  33.527","   9.313"," 72","0"," 60"," 72","   1.027","   8.003","   2.223","  45.000"," 1100"," 1100"
"01:39:39:860","11686403733148","   9.058","   5.575"," 1661"," 1200"," 3600"," 1675","  13.197"," 132.004","  36.668","   3.264","  36.794","  10.221"," 68","0"," 60"," 69","   0.949","   8.952","   2.487","  45.000"," 1100"," 1100"
"01:39:40:865","11688721529056","  10.064","   4.767"," 1482"," 1200"," 3600"," 1488","  13.146"," 145.229","  40.341","   2.699","  39.509","  10.975"," 73","0"," 60"," 63","   0.958","   9.916","   2.755","  45.000"," 1150"," 1200"
"01:39:41:874","11691046126758","  11.073","   4.664"," 1645"," 1200"," 3600"," 1696","  13.604"," 158.955","  44.154","   3.076","  42.613","  11.837"," 70","0"," 60"," 70","   0.925","  10.850","   3.014","  45.000","    0","    0"
"01:39:42:881","11693364647712","  12.080","   4.597"," 1592"," 1200"," 3600"," 1604","  13.007"," 172.044","  47.790","   2.769","  45.399","  12.611"," 73","0"," 60"," 64","   0.931","  11.787","   3.274","  45.000"," 1100"," 1100"
"01:39:43:882","11695671437426","  13.081","   5.625"," 1901"," 1200"," 3600"," 2094","  14.582"," 186.644","  51.845","   4.127","  49.531","  13.759"," 73","0"," 60"," 70","   0.997","  12.785","   3.551","  45.000"," 1100"," 1100"
"01:39:44:882","11697976211222","  14.081","   4.761"," 1514"," 1200"," 2900"," 1522","  13.294"," 199.943","  55.540","   2.744","  52.276","  14.521"," 68","0"," 60"," 63","   0.931","  13.716","   3.810","  45.000","    0","    0"
"01:39:45:889","11700295647218","  15.088","   4.722"," 1523"," 1200"," 3400"," 1530","  13.564"," 213.598","  59.333","   2.787","  55.081","  15.300"," 68","0"," 60"," 63","   0.967","  14.690","   4.080","  45.000"," 1150"," 1200"
"01:39:46:890","11702601813802","  16.089","   4.602"," 1530"," 1200"," 3600"," 1541","  13.326"," 226.936","  63.038","   2.745","  57.828","  16.063"," 71","0"," 60"," 63","   0.958","  15.648","   4.347","  45.000"," 1150"," 1200"
"01:39:47:891","11704907874462","  17.090","   4.562"," 1533"," 1200"," 3600"," 1540","  12.859"," 239.807","  66.613","   2.671","  60.502","  16.806"," 68","0"," 60"," 65","   0.920","  16.569","   4.603","  45.000"," 1150"," 1133"
"01:39:48:891","11707212623174","  18.090","   4.381"," 1544"," 1200"," 3600"," 1552","  10.792"," 250.602","  69.612","   2.433","  62.936","  17.482"," 67","0"," 60"," 63","   0.932","  17.501","   4.861","  45.000","    0","    0"
"01:39:49:900","11709538117468","  19.099","   4.230"," 1476"," 1200"," 3600"," 1486","  10.600"," 261.300","  72.583","   2.301","  65.258","  18.127"," 69","0"," 60"," 63","   0.891","  18.401","   5.111","  45.000"," 1000"," 1000"
"01:39:50:910","11711863400316","  20.109","   4.165"," 1488"," 1200"," 3600"," 1493","  11.124"," 272.527","  75.702","   2.369","  67.649","  18.791"," 73","0"," 60"," 63","   0.895","  19.304","   5.362","  45.000"," 1100"," 1100"
"01:39:51:916","11714181110798","  21.114","   4.810"," 1647"," 1200"," 3600"," 1691","  13.442"," 286.049","  79.458","   3.045","  70.712","  19.642"," 69","0"," 60"," 70","   0.962","  20.272","   5.631","  45.000"," 1150"," 1200"
"01:39:52:924","11716504293792","  22.123","   4.581"," 1536"," 1200"," 3300"," 1546","  13.246"," 299.405","  83.168","   2.733","  73.468","  20.408"," 74","0"," 60"," 63","   0.927","  21.207","   5.891","  45.000"," 1150"," 1200"
"01:39:53:932","11718826830362","  23.131","   5.661"," 1928"," 1200"," 4100"," 2129","  14.412"," 313.933","  87.204","   4.058","  77.559","  21.544"," 68","0"," 60"," 69","   0.992","  22.207","   6.169","  45.000","    0","    0"
"01:39:54:940","11721148157092","  24.138","   4.636"," 1648"," 1200"," 3600"," 1722","  12.265"," 326.290","  90.636","   2.938","  80.519","  22.366"," 73","0"," 60"," 69","   0.913","  23.127","   6.424","  45.000","    0","    0"
"01:39:55:945","11723464427094","  25.144","   4.509"," 1510"," 1200"," 3600"," 1518","  12.656"," 339.014","  94.171","   2.616","  83.149","  23.097"," 74","0"," 60"," 63","   0.936","  24.068","   6.686","  45.000"," 1150"," 1200"
"01:39:56:949","11725777088402","  26.147","   4.645"," 1513"," 1200"," 3600"," 1523","  12.894"," 351.957","  97.766","   2.667","  85.826","  23.840"," 74","0"," 60"," 63","   0.924","  24.996","   6.943","  45.000"," 1150"," 1200"
"01:39:57:957","11728101166862","  27.156","   4.843"," 1609"," 1200"," 3600"," 1621","  13.135"," 365.206"," 101.446","   2.907","  88.758","  24.655"," 73","0"," 60"," 67","   0.938","  25.941","   7.206","  45.000"," 1150"," 1133"
"01:39:58:964","11730420755410","  28.163","   4.769"," 1502"," 1200"," 3600"," 1512","  12.969"," 378.263"," 105.073","   2.694","  91.470","  25.408"," 75","0"," 60"," 63","   0.924","  26.872","   7.464","  45.000"," 1150"," 1200"
"01:39:59:973","11732746159310","  29.172","   5.343"," 1648"," 1200"," 3600"," 1719","  13.209"," 391.595"," 108.776","   3.213","  94.713","  26.309"," 69","0"," 60"," 70","   0.994","  27.876","   7.743","  45.000"," 1150"," 1200"
"01:40:00:982","11735069883146","  30.181","   4.471"," 1553"," 1200"," 3600"," 1563","  12.722"," 404.426"," 112.340","   2.696","  97.432","  27.065"," 68","0"," 60"," 64","   0.959","  28.843","   8.012","  45.000","    0","    0"
"01:40:01:990","11737392446092","  31.189","   4.903"," 1801"," 1200"," 3700"," 1947","  13.719"," 418.255"," 116.182","   3.504"," 100.965","  28.046"," 67","0"," 60"," 73","   0.931","  29.781","   8.273","  45.000","    0","    0"
"01:40:02:998","11739714522404","  32.197","   4.472"," 1594"," 1200"," 3600"," 1606","  13.126"," 431.485"," 119.857","   2.745"," 103.731","  28.814"," 73","0"," 60"," 64","   0.955","  30.743","   8.540","  45.000","    0","    0"
"01:40:04:003","11742029745018","  33.202","   5.388"," 1947"," 1200"," 3600"," 2152","  14.424"," 445.979"," 123.883","   4.082"," 107.833","  29.954"," 71","0"," 60"," 70","   0.956","  31.704","   8.807","  45.000"," 1150"," 1133"
"01:40:05:004","11744335665206","  34.202","   4.511"," 1497"," 1200"," 3600"," 1505","  12.711"," 458.701"," 127.417","   2.598"," 110.434","  30.676"," 74","0"," 60"," 63","   0.943","  32.648","   9.069","  45.000"," 1150"," 1200"
"01:40:06:014","11746662788800","  35.212","   4.394"," 1536"," 1200"," 3600"," 1548","  12.889"," 471.719"," 131.033","   2.656"," 113.116","  31.421"," 75","0"," 60"," 64","   0.915","  33.571","   9.325","  45.000"," 1150"," 1133"
"01:40:07:023","11748988896328","  36.222","   4.415"," 1534"," 1200"," 3600"," 1545","  12.849"," 484.691"," 134.637","   2.608"," 115.750","  32.153"," 71","0"," 60"," 64","   0.921","  34.501","   9.584","  45.000","    0","    0"
"01:40:08:033","11751315049906","  37.232","   4.469"," 1491"," 1200"," 3100"," 1499","  12.302"," 497.112"," 138.087","   2.550"," 118.324","  32.868"," 68","0"," 60"," 64","   0.906","  35.415","   9.838","  45.000","    0","    0"
"01:40:09:034","11753621587808","  38.233","   4.692"," 1576"," 1200"," 3600"," 1597","  11.731"," 508.856"," 141.349","   2.655"," 120.981","  33.606"," 67","0"," 60"," 63","   0.916","  36.333","  10.092","  45.000","    0","    0"
"01:40:10:039","11755937168584","  39.238","   4.465"," 1598"," 1200"," 3600"," 1639","  10.623"," 519.532"," 144.314","   2.557"," 123.551","  34.320"," 67","0"," 60"," 67","   0.941","  37.278","  10.355","  45.000","    0","    0"
"01:40:11:039","11758242239542","  40.238","   4.430"," 1463"," 1200"," 2500"," 1472","  11.836"," 531.373"," 147.604","   2.463"," 126.015","  35.004"," 68","0"," 60"," 63","   0.905","  38.184","  10.607","  45.000","    0","    0"
"01:40:12:040","11760547673728","  41.239","   4.493"," 1468"," 1200"," 3600"," 1477","  12.350"," 543.732"," 151.037","   2.520"," 128.537","  35.705"," 66","0"," 60"," 63","   0.908","  39.092","  10.859","  45.000"," 1150"," 1200"
