"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:03:21:819","23256801322288","   1.003","   5.211"," 1467"," 1200"," 3600"," 1477","   4.098","   4.109","   1.141","   1.482","   1.486","   0.413"," 61","0"," 58"," 62","   0.956","   0.959","   0.266","  45.000","    0","    0"
"03:03:22:827","23259123054202","   2.010","   4.469"," 1747"," 1200"," 3700"," 1844","   4.826","   8.972","   2.492","   2.034","   3.535","   0.982"," 63","0"," 58"," 70","   0.952","   1.919","   0.533","  45.000","  400","  400"
"03:03:23:828","23261428731712","   3.011","   4.574"," 1490"," 1200"," 3400"," 1503","   4.406","  13.382","   3.717","   1.409","   4.945","   1.374"," 61","0"," 58"," 62","   0.941","   2.860","   0.795","  45.000","    0","    0"
"03:03:24:836","23263751616552","   4.019","   4.800"," 1395"," 1200"," 3600"," 1400","   4.407","  17.825","   4.952","   1.312","   6.268","   1.741"," 61","0"," 58"," 61","   0.941","   3.809","   1.058","  45.000","    0","    0"
"03:03:25:845","23266075547674","   5.028","  15.483"," 3193"," 1200"," 4400"," 3559","  20.838","  38.844","  10.790","  19.117","  25.551","   7.097"," 88","0"," 58"," 89","   0.946","   4.763","   1.323","  45.000","    0","    0"
"03:03:26:849","23268390444908","   6.033","   6.643"," 4134"," 1200"," 4600"," 4512","  25.280","  64.244","  17.845","  23.673","  49.336","  13.705"," 64","0"," 61"," 93","   0.808","   5.574","   1.548","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.032754"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 64.243530"
"Cumulative Package Energy_0 (mWh) = 17.845425"
"Average Package Power_0 (Watt) = 10.649121"

"Cumulative IA Energy_0 (Joules) = 49.336243"
"Cumulative IA Energy_0 (mWh) = 13.704512"
"Average Package IA_0 (Watt) = 8.178063"

"Cumulative DRAM Energy_0 (Joules) = 5.574219"
"Cumulative DRAM Energy_0 (mWh) = 1.548394"
"Average Package DRAM_0 (Watt) = 0.923992"
