"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:44:26:295","28934801533276","   1.000","   5.923"," 1899"," 1200"," 3600"," 2094","  16.500","  16.501","   4.584","   4.486","   4.486","   1.246"," 76","0"," 65"," 75","   1.033","   1.033","   0.287","  45.000","    0","    0"
"03:44:27:303","28937122008192","   2.007","   5.353"," 1721"," 1200"," 3800"," 1791","  15.526","  32.138","   8.927","   3.687","   8.199","   2.278"," 76","0"," 65"," 78","   0.977","   2.018","   0.560","  45.000"," 1150"," 1133"
"03:44:28:303","28939427377238","   3.008","   5.370"," 1623"," 1200"," 3600"," 1635","  15.259","  47.407","  13.168","   3.417","  11.618","   3.227"," 77","0"," 65"," 71","   0.974","   2.993","   0.831","  45.000"," 1150"," 1133"
"03:44:29:304","28941732256922","   4.008","   4.095"," 1540"," 1200"," 3100"," 1550","  14.765","  62.177","  17.271","   2.857","  14.476","   4.021"," 73","0"," 65"," 68","   0.955","   3.948","   1.097","  45.000"," 1150"," 1200"
"03:44:30:313","28944058732734","   5.018","   3.644"," 2053"," 1200"," 4400"," 2241","   9.771","  72.044","  20.012","   3.669","  18.181","   5.050"," 88","0"," 64"," 88","   0.887","   4.843","   1.345","  45.000","    0","    0"
"03:44:31:316","28946369008828","   6.021","   6.466"," 2120"," 1200"," 4500"," 2216","  12.025","  84.102","  23.362","   6.691","  24.891","   6.914"," 78","0"," 65"," 90","   1.013","   5.859","   1.627","  45.000"," 1150"," 1133"
"03:44:32:323","28948688202796","   7.027","   5.196"," 1720"," 1200"," 3600"," 1754","  15.483","  99.688","  27.691","   3.469","  28.382","   7.884"," 78","0"," 64"," 76","   1.126","   6.992","   1.942","  45.000"," 1150"," 1200"
"03:44:33:324","28950994825860","   8.029","   5.197"," 1518"," 1200"," 3200"," 1526","  15.183"," 114.887","  31.913","   3.061","  31.447","   8.735"," 80","0"," 64"," 68","   1.120","   8.113","   2.254","  45.000"," 1150"," 1200"
"03:44:34:334","28953321857962","   9.039","   5.027"," 1519"," 1200"," 3100"," 1529","  15.051"," 130.089","  36.136","   3.048","  34.526","   9.590"," 77","0"," 64"," 69","   1.115","   9.240","   2.567","  45.000"," 1150"," 1200"
"03:44:35:335","28955628508434","  10.040","   5.006"," 1549"," 1200"," 3100"," 1559","  15.033"," 145.139","  40.316","   3.061","  37.590","  10.442"," 79","0"," 64"," 69","   1.115","  10.356","   2.877","  45.000"," 1150"," 1133"
"03:44:36:342","28957948425532","  11.047","   5.700"," 1966"," 1200"," 3900"," 2195","  16.634"," 161.888","  44.969","   4.477","  42.098","  11.694"," 77","0"," 65"," 74","   1.170","  11.534","   3.204","  45.000"," 1150"," 1200"
"03:44:37:352","28960274854798","  12.056","   5.103"," 1807"," 1200"," 4400"," 1891","  16.246"," 178.292","  49.525","   3.859","  45.995","  12.776"," 78","0"," 64"," 73","   1.071","  12.616","   3.505","  45.000"," 1150"," 1200"
