"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"08:59:18:318","91745196399270","   1.003","   1.578"," 1634"," 1200"," 2600"," 1675","   1.275","   1.279","   0.355","   0.267","   0.268","   0.074"," 34","0"," 31"," 36","   0.561","   0.563","   0.156","  45.000","    0","    0"
"08:59:19:330","91748133313904","   2.015","   1.955"," 1926"," 1200"," 3500"," 2111","   1.472","   2.768","   0.769","   0.517","   0.791","   0.220"," 34","0"," 31"," 48","   0.530","   1.099","   0.305","  45.000","    0","    0"
"08:59:20:331","91751039687597","   3.015","   1.691"," 2000"," 1200"," 3500"," 2065","   1.378","   4.147","   1.152","   0.431","   1.222","   0.339"," 34","0"," 31"," 40","   0.532","   1.632","   0.453","  45.000","    0","    0"
"08:59:21:336","91753960207142","   4.021","   1.549"," 1638"," 1200"," 2700"," 1664","   1.219","   5.373","   1.493","   0.277","   1.500","   0.417"," 34","0"," 31"," 34","   0.529","   2.164","   0.601","  45.000","    0","    0"
"08:59:22:342","91756880171918","   5.027","   1.011"," 1351"," 1200"," 1900"," 1354","   1.089","   6.468","   1.797","   0.148","   1.649","   0.458"," 34","0"," 31"," 34","   0.520","   2.687","   0.746","  45.000","    0","    0"
"08:59:23:347","91759798291447","   6.031","   1.165"," 1511"," 1200"," 2400"," 1530","   1.146","   7.620","   2.117","   0.173","   1.822","   0.506"," 33","0"," 31"," 34","   0.531","   3.221","   0.895","  45.000","    0","    0"
"08:59:24:349","91762710683775","   7.034","   1.245"," 1416"," 1200"," 1900"," 1423","   1.118","   8.741","   2.428","   0.174","   1.997","   0.555"," 33","0"," 31"," 34","   0.526","   3.748","   1.041","  45.000","    0","    0"
"08:59:25:355","91765630712697","   8.040","   1.088"," 1521"," 1200"," 2700"," 1537","   1.094","   9.841","   2.734","   0.156","   2.154","   0.598"," 33","0"," 30"," 35","   0.521","   4.272","   1.187","  45.000","    0","    0"
"08:59:26:360","91768550685871","   9.045","   2.888"," 2638"," 1200"," 3500"," 3098","   2.076","  11.929","   3.314","   1.124","   3.284","   0.912"," 34","0"," 30"," 44","   0.557","   4.832","   1.342","  45.000","    0","    0"
"08:59:27:366","91771470719573","  10.051","   1.771"," 1407"," 1100"," 2400"," 1413","   1.195","  13.131","   3.647","   0.236","   3.521","   0.978"," 33","0"," 31"," 35","   0.528","   5.363","   1.490","  45.000","    0","    0"
"08:59:28:372","91774390926650","  11.056","   1.679"," 1669"," 1200"," 2700"," 1713","   1.305","  14.443","   4.012","   0.300","   3.822","   1.062"," 34","0"," 31"," 34","   0.568","   5.934","   1.648","  45.000","    0","    0"
"08:59:29:377","91777310812048","  12.062","   0.921"," 1366"," 1200"," 1900"," 1371","   1.051","  15.500","   4.305","   0.118","   3.941","   1.095"," 33","0"," 31"," 34","   0.517","   6.454","   1.793","  45.000","    0","    0"
"08:59:30:383","91780230751751","  13.067","   1.811"," 1994"," 1200"," 3400"," 2020","   1.372","  16.879","   4.689","   0.428","   4.371","   1.214"," 33","0"," 31"," 40","   0.534","   6.991","   1.942","  45.000","    0","    0"
"08:59:31:388","91783150788813","  14.073","   0.993"," 1561"," 1200"," 2700"," 1587","   1.098","  17.983","   4.995","   0.164","   4.536","   1.260"," 33","0"," 31"," 35","   0.520","   7.515","   2.087","  45.000","    0","    0"
"08:59:32:390","91786059664423","  15.075","   0.836"," 1366"," 1200"," 1900"," 1370","   1.053","  19.038","   5.288","   0.113","   4.649","   1.291"," 33","0"," 31"," 34","   0.516","   8.032","   2.231","  45.000","    0","    0"
"08:59:33:395","91788979633219","  16.080","   1.096"," 1500"," 1200"," 2400"," 1509","   1.121","  20.165","   5.602","   0.164","   4.814","   1.337"," 33","0"," 31"," 34","   0.529","   8.564","   2.379","  45.000","    0","    0"
"08:59:34:401","91791899629608","  17.086","   1.195"," 1406"," 1200"," 1900"," 1418","   1.114","  21.285","   5.913","   0.176","   4.991","   1.386"," 33","0"," 31"," 34","   0.523","   9.090","   2.525","  45.000","    0","    0"
"08:59:35:406","91794819539136","  18.091","   1.081"," 1490"," 1200"," 2600"," 1510","   1.109","  22.401","   6.222","   0.170","   5.161","   1.434"," 33","0"," 30"," 34","   0.522","   9.615","   2.671","  45.000","    0","    0"
"08:59:36:412","91797739489166","  19.097","   3.708"," 2372"," 1200"," 3500"," 2672","   2.241","  24.654","   6.848","   1.250","   6.419","   1.783"," 35","0"," 31"," 45","   0.588","  10.206","   2.835","  45.000","    0","    0"
"08:59:37:416","91800654672591","  20.100","   0.910"," 1396"," 1200"," 1900"," 1405","   1.063","  25.721","   7.145","   0.135","   6.554","   1.821"," 34","0"," 31"," 34","   0.519","  10.726","   2.980","  45.000","    0","    0"
"08:59:38:421","91803574834051","  21.106","   1.567"," 1606"," 1200"," 2700"," 1621","   1.221","  26.950","   7.486","   0.251","   6.807","   1.891"," 34","0"," 31"," 34","   0.538","  11.267","   3.130","  45.000","    0","    0"
"08:59:39:423","91806484188535","  22.108","   0.882"," 1365"," 1200"," 1900"," 1367","   1.060","  28.011","   7.781","   0.118","   6.925","   1.924"," 34","0"," 30"," 34","   0.517","  11.785","   3.274","  45.000","    0","    0"
"08:59:40:428","91809404069817","  23.113","   1.715"," 1965"," 1200"," 3000"," 2086","   1.323","  29.342","   8.151","   0.392","   7.320","   2.033"," 34","0"," 31"," 37","   0.530","  12.319","   3.422","  45.000","    0","    0"
"08:59:41:433","91812322441403","  24.118","   1.094"," 1527"," 1200"," 2700"," 1539","   1.118","  30.465","   8.462","   0.167","   7.488","   2.080"," 34","0"," 30"," 35","   0.522","  12.843","   3.568","  45.000","    0","    0"
"08:59:42:434","91815229484155","  25.119","   1.174"," 1440"," 1200"," 1900"," 1448","   1.076","  31.542","   8.762","   0.144","   7.632","   2.120"," 34","0"," 31"," 34","   0.520","  13.363","   3.712","  45.000","    0","    0"
"08:59:43:435","91818136234062","  26.120","   1.637"," 1513"," 1200"," 2400"," 1517","   1.198","  32.741","   9.095","   0.234","   7.866","   2.185"," 33","0"," 30"," 34","   0.537","  13.901","   3.861","  45.000","    0","    0"
"08:59:44:441","91821056294662","  27.126","   1.143"," 1420"," 1200"," 1900"," 1423","   1.093","  33.840","   9.400","   0.155","   8.022","   2.228"," 33","0"," 31"," 34","   0.520","  14.424","   4.007","  45.000","    0","    0"
"08:59:45:444","91823968255978","  28.129","   1.114"," 1546"," 1200"," 2700"," 1563","   1.130","  34.973","   9.715","   0.182","   8.205","   2.279"," 34","0"," 30"," 34","   0.522","  14.947","   4.152","  45.000","    0","    0"
"08:59:46:449","91826888265553","  29.134","   2.898"," 2647"," 1200"," 3500"," 3058","   2.137","  37.122","  10.312","   1.171","   9.382","   2.606"," 35","0"," 31"," 46","   0.555","  15.505","   4.307","  45.000","    0","    0"
"08:59:47:453","91829802541627","  30.138","   0.880"," 1385"," 1200"," 2200"," 1387","   1.050","  38.176","  10.604","   0.114","   9.496","   2.638"," 34","0"," 30"," 34","   0.517","  16.025","   4.451","  45.000","    0","    0"
"08:59:48:458","91832722551871","  31.143","   1.702"," 1570"," 1200"," 2400"," 1580","   1.230","  39.412","  10.948","   0.258","   9.756","   2.710"," 34","0"," 31"," 35","   0.543","  16.571","   4.603","  45.000","    0","    0"
"08:59:49:459","91835629293396","  32.144","   1.047"," 1395"," 1200"," 2400"," 1399","   1.082","  40.495","  11.249","   0.137","   9.894","   2.748"," 34","0"," 30"," 34","   0.520","  17.092","   4.748","  45.000","    0","    0"
"08:59:50:465","91838549246633","  33.150","   1.955"," 1894"," 1200"," 2900"," 2025","   1.356","  41.859","  11.627","   0.405","  10.301","   2.861"," 34","0"," 31"," 37","   0.535","  17.630","   4.897","  45.000","    0","    0"
"08:59:51:467","91841460681629","  34.152","   1.478"," 1733"," 1200"," 2700"," 1770","   1.214","  43.076","  11.965","   0.276","  10.578","   2.938"," 34","0"," 31"," 36","   0.527","  18.158","   5.044","  45.000","    0","    0"
"08:59:52:473","91844380672134","  35.158","   0.953"," 1359"," 1200"," 1900"," 1361","   1.061","  44.143","  12.262","   0.121","  10.700","   2.972"," 34","0"," 31"," 34","   0.517","  18.677","   5.188","  45.000","    0","    0"
"08:59:53:478","91847300681957","  36.163","   1.287"," 1492"," 1200"," 2400"," 1507","   1.149","  45.298","  12.583","   0.185","  10.886","   3.024"," 34","0"," 30"," 34","   0.533","  19.213","   5.337","  45.000","    0","    0"
"08:59:54:484","91850220677346","  37.169","   1.153"," 1392"," 1200"," 1900"," 1396","   1.090","  46.394","  12.887","   0.155","  11.042","   3.067"," 33","0"," 30"," 34","   0.522","  19.737","   5.483","  45.000","    0","    0"
"08:59:55:489","91853140673798","  38.174","   1.283"," 1586"," 1200"," 2700"," 1604","   1.150","  47.550","  13.208","   0.198","  11.240","   3.122"," 33","0"," 30"," 34","   0.523","  20.263","   5.629","  45.000","    0","    0"
"08:59:56:490","91856047766346","  39.175","   3.038"," 2605"," 1200"," 3500"," 2951","   2.140","  49.692","  13.803","   1.191","  12.432","   3.453"," 35","0"," 30"," 44","   0.558","  20.821","   5.784","  45.000","    0","    0"
"08:59:57:491","91858953030115","  40.176","   0.866"," 1389"," 1200"," 3100"," 1380","   1.051","  50.744","  14.095","   0.118","  12.551","   3.486"," 33","0"," 30"," 35","   0.515","  21.336","   5.927","  45.000","    0","    0"
"08:59:58:492","91861860507731","  41.177","   1.491"," 1505"," 1200"," 2400"," 1511","   1.176","  51.921","  14.423","   0.206","  12.757","   3.544"," 33","0"," 30"," 34","   0.536","  21.873","   6.076","  45.000","    0","    0"
"08:59:59:495","91864773614784","  42.180","   1.128"," 1449"," 1200"," 1900"," 1454","   1.101","  53.025","  14.729","   0.164","  12.921","   3.589"," 34","0"," 31"," 34","   0.522","  22.397","   6.221","  45.000","    0","    0"
"09:00:00:501","91867693658118","  43.186","   2.302"," 1950"," 1200"," 2700"," 2075","   1.473","  54.507","  15.141","   0.477","  13.401","   3.722"," 33","0"," 31"," 37","   0.560","  22.960","   6.378","  45.000","    0","    0"
"09:00:01:506","91870613661709","  44.191","   1.152"," 1552"," 1200"," 2600"," 1568","   1.106","  55.619","  15.450","   0.172","  13.573","   3.770"," 34","0"," 31"," 34","   0.522","  23.484","   6.523","  45.000","    0","    0"
"09:00:02:512","91873533570035","  45.197","   0.878"," 1400"," 1200"," 2400"," 1405","   1.040","  56.664","  15.740","   0.111","  13.685","   3.801"," 34","0"," 31"," 34","   0.517","  24.004","   6.668","  45.000","    0","    0"
"09:00:03:515","91876446697690","  46.200","   1.218"," 1486"," 1200"," 2400"," 1493","   1.106","  57.774","  16.048","   0.168","  13.854","   3.848"," 33","0"," 31"," 34","   0.523","  24.529","   6.814","  45.000","    0","    0"
"09:00:04:520","91879366616700","  47.205","   0.956"," 1404"," 1200"," 1900"," 1410","   1.066","  58.846","  16.346","   0.135","  13.990","   3.886"," 34","0"," 30"," 34","   0.518","  25.050","   6.958","  45.000","    0","    0"
