"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"08:11:21:886","83392050095632","   1.010","   3.271"," 2568"," 1200"," 3500"," 2900","   2.244","   2.268","   0.630","   1.244","   1.257","   0.349"," 33","0"," 30"," 45","   0.591","   0.597","   0.166","  45.000","    0","    0"
"08:11:22:898","83394988690395","   2.022","   3.256"," 2223"," 1200"," 3500"," 2501","   1.929","   4.219","   1.172","   0.973","   2.241","   0.623"," 33","0"," 30"," 50","   0.552","   1.155","   0.321","  45.000","    0","    0"
"08:11:23:902","83397904041967","   3.026","   0.944"," 1399"," 1200"," 1900"," 1408","   1.073","   5.296","   1.471","   0.130","   2.371","   0.659"," 33","0"," 30"," 33","   0.517","   1.674","   0.465","  45.000","    0","    0"
"08:11:24:912","83400839009003","   4.037","   0.919"," 1355"," 1200"," 1900"," 1358","   1.057","   6.365","   1.768","   0.109","   2.481","   0.689"," 33","0"," 30"," 33","   0.517","   2.197","   0.610","  45.000","    0","    0"
"08:11:25:919","83403763070795","   5.044","   1.246"," 1525"," 1200"," 2800"," 1545","   1.131","   7.504","   2.084","   0.192","   2.674","   0.743"," 33","0"," 29"," 34","   0.523","   2.724","   0.757","  45.000","    0","    0"
"08:11:26:921","83406672231947","   6.045","   1.314"," 1587"," 1200"," 2700"," 1608","   1.179","   8.685","   2.412","   0.208","   2.883","   0.801"," 33","0"," 30"," 34","   0.534","   3.258","   0.905","  45.000","    0","    0"
"08:11:27:931","83409606793414","   7.056","   1.838"," 1710"," 1200"," 3200"," 1739","   1.288","   9.986","   2.774","   0.327","   3.213","   0.892"," 33","0"," 29"," 36","   0.534","   3.798","   1.055","  45.000","    0","    0"
"08:11:28:942","83412541362029","   8.067","   0.868"," 1378"," 1200"," 2400"," 1380","   1.053","  11.050","   3.069","   0.121","   3.335","   0.926"," 33","0"," 30"," 33","   0.516","   4.319","   1.200","  45.000","    0","    0"
"08:11:29:948","83415463436077","   9.073","   1.044"," 1401"," 1200"," 1900"," 1411","   1.113","  12.170","   3.381","   0.163","   3.499","   0.972"," 33","0"," 30"," 33","   0.521","   4.843","   1.345","  45.000","    0","    0"
"08:11:30:954","83418383219121","  10.078","   1.084"," 1487"," 1200"," 2700"," 1507","   1.106","  13.282","   3.689","   0.164","   3.664","   1.018"," 33","0"," 29"," 34","   0.522","   5.367","   1.491","  45.000","    0","    0"
