"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"08:26:15:297","85986512589212","   1.009","   2.327"," 1881"," 1200"," 2700"," 2033","   1.458","   1.471","   0.409","   0.462","   0.466","   0.129"," 33","0"," 30"," 37","   0.568","   0.573","   0.159","  45.000","    0","    0"
"08:26:16:314","85989464176473","   2.025","   1.972"," 2023"," 1200"," 3500"," 2226","   1.497","   2.992","   0.831","   0.552","   1.027","   0.285"," 33","0"," 30"," 48","   0.532","   1.113","   0.309","  45.000","    0","    0"
"08:26:17:317","85992379037390","   3.029","   1.051"," 1467"," 1200"," 2400"," 1471","   1.092","   4.088","   1.136","   0.159","   1.186","   0.330"," 33","0"," 30"," 33","   0.520","   1.636","   0.454","  45.000","    0","    0"
"08:26:18:321","85995292700511","   4.032","   1.288"," 1656"," 1200"," 2700"," 1738","   1.162","   5.254","   1.459","   0.229","   1.416","   0.393"," 33","0"," 30"," 33","   0.525","   2.162","   0.601","  45.000","    0","    0"
"08:26:19:321","85998197794091","   5.033","   2.719"," 2667"," 1200"," 3500"," 3059","   2.049","   7.304","   2.029","   1.101","   2.518","   0.699"," 33","0"," 30"," 44","   0.552","   2.714","   0.754","  45.000","    0","    0"
"08:26:20:330","86001128105474","   6.042","   1.179"," 1515"," 1200"," 2700"," 1526","   1.148","   8.462","   2.351","   0.185","   2.705","   0.751"," 33","0"," 30"," 34","   0.532","   3.251","   0.903","  45.000","    0","    0"
"08:26:21:341","86004062366542","   7.052","   1.706"," 1691"," 1200"," 2900"," 1705","   1.248","   9.724","   2.701","   0.291","   2.998","   0.833"," 33","0"," 30"," 34","   0.533","   3.789","   1.053","  45.000","    0","    0"
"08:26:22:346","86006982338759","   8.058","   1.272"," 1562"," 1200"," 2700"," 1586","   1.148","  10.879","   3.022","   0.201","   3.200","   0.889"," 33","0"," 30"," 33","   0.524","   4.316","   1.199","  45.000","    0","    0"
"08:26:23:354","86009910282364","   9.066","   1.226"," 1493"," 1200"," 2400"," 1498","   1.118","  12.006","   3.335","   0.177","   3.379","   0.938"," 33","0"," 30"," 33","   0.523","   4.844","   1.346","  45.000","    0","    0"
"08:26:24:362","86012836369372","  10.074","   0.887"," 1368"," 1200"," 1900"," 1370","   1.064","  13.078","   3.633","   0.129","   3.508","   0.975"," 33","0"," 30"," 33","   0.515","   5.363","   1.490","  45.000","    0","    0"
"08:26:25:363","86015743466964","  11.075","   1.923"," 1878"," 1200"," 2700"," 2010","   1.384","  14.464","   4.018","   0.383","   3.892","   1.081"," 33","0"," 30"," 36","   0.565","   5.929","   1.647","  45.000","    0","    0"
"08:26:26:373","86018677537991","  12.085","   1.114"," 1544"," 1200"," 2700"," 1566","   1.113","  15.589","   4.330","   0.180","   4.074","   1.132"," 33","0"," 30"," 34","   0.521","   6.456","   1.793","  45.000","    0","    0"
"08:26:27:376","86021589650633","  13.088","   1.544"," 1711"," 1200"," 2900"," 1750","   1.258","  16.850","   4.681","   0.278","   4.353","   1.209"," 33","0"," 30"," 37","   0.530","   6.987","   1.941","  45.000","    0","    0"
"08:26:28:385","86024518624559","  14.096","   1.442"," 1625"," 1200"," 2700"," 1656","   1.174","  18.034","   5.009","   0.220","   4.575","   1.271"," 33","0"," 30"," 33","   0.527","   7.518","   2.088","  45.000","    0","    0"
"08:26:29:387","86027430598078","  15.099","   2.711"," 2703"," 1200"," 3500"," 3118","   2.063","  20.102","   5.584","   1.112","   5.690","   1.580"," 34","0"," 30"," 43","   0.552","   8.071","   2.242","  45.000","    0","    0"
"08:26:30:398","86030365193850","  16.110","   1.339"," 1528"," 1200"," 2700"," 1542","   1.166","  21.280","   5.911","   0.197","   5.889","   1.636"," 33","0"," 30"," 34","   0.535","   8.612","   2.392","  45.000","    0","    0"
"08:26:31:404","86033287463200","  17.116","   1.338"," 1596"," 1200"," 2600"," 1622","   1.187","  22.474","   6.243","   0.239","   6.129","   1.703"," 33","0"," 30"," 34","   0.524","   9.139","   2.539","  45.000","    0","    0"
"08:26:32:407","86036198222347","  18.118","   0.910"," 1387"," 1200"," 1900"," 1387","   1.056","  23.532","   6.537","   0.121","   6.250","   1.736"," 33","0"," 30"," 33","   0.518","   9.658","   2.683","  45.000","    0","    0"
"08:26:33:408","86039104804459","  19.119","   1.415"," 1536"," 1200"," 2400"," 1543","   1.146","  24.679","   6.855","   0.196","   6.447","   1.791"," 32","0"," 30"," 34","   0.526","  10.185","   2.829","  45.000","    0","    0"
"08:26:34:415","86042029665679","  20.126","   1.208"," 1392"," 1200"," 1900"," 1393","   1.102","  25.789","   7.164","   0.147","   6.595","   1.832"," 33","0"," 30"," 33","   0.524","  10.713","   2.976","  45.000","    0","    0"
"08:26:35:419","86044945105566","  21.130","   2.068"," 1836"," 1200"," 2700"," 2034","   1.377","  27.172","   7.548","   0.391","   6.987","   1.941"," 33","0"," 30"," 37","   0.545","  11.261","   3.128","  45.000","    0","    0"
"08:26:36:426","86047869703339","  22.137","   1.910"," 1451"," 1200"," 2400"," 1457","   1.238","  28.419","   7.894","   0.261","   7.250","   2.014"," 33","0"," 30"," 34","   0.555","  11.819","   3.283","  45.000","    0","    0"
"08:26:37:426","86050774794717","  23.138","   1.344"," 1545"," 1200"," 2700"," 1554","   1.154","  29.574","   8.215","   0.196","   7.447","   2.069"," 33","0"," 30"," 34","   0.525","  12.345","   3.429","  45.000","    0","    0"
"08:26:38:426","86053679837675","  24.138","   1.469"," 1573"," 1200"," 2400"," 1575","   1.178","  30.752","   8.542","   0.226","   7.672","   2.131"," 33","0"," 30"," 34","   0.530","  12.875","   3.576","  45.000","    0","    0"
"08:26:39:428","86056586945013","  25.139","   2.856"," 2623"," 1200"," 3500"," 2965","   2.114","  32.869","   9.130","   1.153","   8.827","   2.452"," 34","0"," 30"," 45","   0.555","  13.430","   3.731","  45.000","    0","    0"
"08:26:40:430","86059497645186","  26.142","   1.358"," 1497"," 1200"," 2700"," 1511","   1.156","  34.028","   9.452","   0.182","   9.010","   2.503"," 33","0"," 30"," 34","   0.535","  13.967","   3.880","  45.000","    0","    0"
"08:26:41:432","86062407926135","  27.144","   1.115"," 1504"," 1200"," 2700"," 1516","   1.114","  35.144","   9.762","   0.160","   9.170","   2.547"," 33","0"," 30"," 33","   0.523","  14.491","   4.025","  45.000","    0","    0"
