"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:00:46:643","18808271886601","   1.010","   1.041"," 1575"," 1200"," 3000"," 1606","   1.188","   1.200","   0.333","   0.192","   0.194","   0.054"," 36","0"," 33"," 39","   0.547","   0.553","   0.154","  45.000","    0","    0"
"02:00:47:651","18811197141399","   2.018","   2.135"," 1992"," 1200"," 3500"," 2247","   1.513","   2.724","   0.757","   0.563","   0.762","   0.212"," 36","0"," 33"," 47","   0.532","   1.089","   0.303","  45.000","    0","    0"
"02:00:48:661","18814132033925","   3.028","   1.487"," 1963"," 1200"," 3500"," 2196","   1.362","   4.100","   1.139","   0.402","   1.168","   0.324"," 36","0"," 33"," 47","   0.525","   1.620","   0.450","  45.000","    0","    0"
"02:00:49:670","18817060673104","   4.037","   3.427"," 2658"," 1200"," 3500"," 3141","   2.255","   6.375","   1.771","   1.290","   2.469","   0.686"," 36","0"," 33"," 50","   0.563","   2.187","   0.608","  45.000","    0","    0"
"02:00:50:680","18819995549255","   5.047","   0.933"," 1557"," 1200"," 2600"," 1585","   1.106","   7.493","   2.081","   0.143","   2.613","   0.726"," 36","0"," 33"," 37","   0.519","   2.712","   0.753","  45.000","    0","    0"
"02:00:51:688","18822920099460","   6.054","   1.017"," 1693"," 1200"," 2700"," 1730","   1.153","   8.654","   2.404","   0.187","   2.801","   0.778"," 36","0"," 33"," 39","   0.526","   3.242","   0.901","  45.000","    0","    0"
"02:00:52:698","18825854131046","   7.065","   1.223"," 1600"," 1200"," 2400"," 1613","   1.138","   9.804","   2.723","   0.192","   2.995","   0.832"," 36","0"," 33"," 36","   0.522","   3.769","   1.047","  45.000","    0","    0"
"02:00:53:708","18828788617593","   8.075","   1.307"," 1757"," 1200"," 2700"," 1924","   1.208","  11.024","   3.062","   0.251","   3.249","   0.903"," 36","0"," 33"," 39","   0.522","   4.297","   1.194","  45.000","    0","    0"
"02:00:54:719","18831723091514","   9.086","   0.977"," 1540"," 1200"," 2700"," 1567","   1.093","  12.129","   3.369","   0.150","   3.400","   0.945"," 36","0"," 33"," 37","   0.519","   4.822","   1.339","  45.000","    0","    0"
"02:00:55:727","18834652071772","  10.094","   0.850"," 1515"," 1200"," 2700"," 1537","   1.089","  13.227","   3.674","   0.143","   3.545","   0.985"," 36","0"," 33"," 36","   0.516","   5.343","   1.484","  45.000","    0","    0"
"02:00:56:735","18837577275857","  11.102","   1.059"," 1548"," 1200"," 2600"," 1570","   1.184","  14.420","   4.005","   0.168","   3.714","   1.032"," 36","0"," 33"," 36","   0.553","   5.900","   1.639","  45.000","    0","    0"
"02:00:57:742","18840502029144","  12.109","   0.940"," 1439"," 1200"," 2400"," 1449","   1.092","  15.520","   4.311","   0.141","   3.855","   1.071"," 36","0"," 33"," 36","   0.516","   6.419","   1.783","  45.000","    0","    0"
"02:00:58:752","18843436571637","  13.119","   1.423"," 2133"," 1200"," 3500"," 2406","   1.410","  16.945","   4.707","   0.457","   4.317","   1.199"," 36","0"," 33"," 50","   0.522","   6.947","   1.930","  45.000","    0","    0"
"02:00:59:763","18846371161826","  14.130","   3.325"," 2732"," 1200"," 3500"," 3188","   2.346","  19.316","   5.366","   1.376","   5.708","   1.585"," 36","0"," 33"," 47","   0.561","   7.514","   2.087","  45.000","    0","    0"
"02:01:00:770","18849294961585","  15.137","   1.061"," 1618"," 1200"," 2700"," 1631","   1.166","  20.490","   5.692","   0.184","   5.893","   1.637"," 36","0"," 33"," 37","   0.535","   8.053","   2.237","  45.000","    0","    0"
"02:01:01:780","18852227200885","  16.146","   0.784"," 1352"," 1200"," 1900"," 1361","   1.051","  21.552","   5.987","   0.106","   6.001","   1.667"," 36","0"," 33"," 36","   0.516","   8.573","   2.381","  45.000","    0","    0"
"02:01:02:784","18855145378597","  17.151","   1.285"," 1656"," 1200"," 2600"," 1659","   1.168","  22.725","   6.312","   0.218","   6.220","   1.728"," 36","0"," 33"," 37","   0.523","   9.099","   2.527","  45.000","    0","    0"
"02:01:03:795","18858079991701","  18.162","   0.874"," 1477"," 1200"," 2400"," 1491","   1.078","  23.814","   6.615","   0.134","   6.355","   1.765"," 36","0"," 33"," 36","   0.517","   9.621","   2.673","  45.000","    0","    0"
"02:01:04:795","18860985148768","  19.162","   1.048"," 1547"," 1200"," 2700"," 1569","   1.111","  24.926","   6.924","   0.161","   6.516","   1.810"," 36","0"," 33"," 37","   0.519","  10.141","   2.817","  45.000","    0","    0"
"02:01:05:806","18863919435729","  20.173","   1.448"," 1562"," 1200"," 2900"," 1573","   1.209","  26.148","   7.263","   0.238","   6.756","   1.877"," 36","0"," 33"," 37","   0.533","  10.680","   2.967","  45.000","    0","    0"
"02:01:06:809","18866832619547","  21.176","   1.256"," 1454"," 1200"," 1900"," 1453","   1.125","  27.276","   7.577","   0.171","   6.928","   1.924"," 36","0"," 33"," 36","   0.518","  11.199","   3.111","  45.000","    0","    0"
"02:01:07:820","18869767161082","  22.186","   1.164"," 1591"," 1200"," 2700"," 1607","   1.133","  28.420","   7.895","   0.179","   7.109","   1.975"," 35","0"," 33"," 37","   0.518","  11.722","   3.256","  45.000","    0","    0"
"02:01:08:830","18872701671867","  23.197","   1.496"," 1860"," 1200"," 3300"," 2058","   1.299","  29.733","   8.259","   0.349","   7.461","   2.073"," 36","0"," 33"," 46","   0.523","  12.250","   3.403","  45.000","    0","    0"
"02:01:09:841","18875636238750","  24.208","   3.477"," 2677"," 1200"," 3500"," 2962","   2.387","  32.145","   8.929","   1.409","   8.885","   2.468"," 36","0"," 33"," 47","   0.564","  12.821","   3.561","  45.000","    0","    0"
"02:01:10:848","18878561855192","  25.215","   1.688"," 1940"," 1200"," 3400"," 2214","   1.397","  33.553","   9.320","   0.416","   9.304","   2.584"," 36","0"," 33"," 44","   0.540","  13.365","   3.712","  45.000","    0","    0"
"02:01:11:849","18881468174117","  26.216","   0.625"," 1352"," 1200"," 1900"," 1358","   1.055","  34.609","   9.614","   0.096","   9.400","   2.611"," 36","0"," 33"," 36","   0.512","  13.878","   3.855","  45.000","    0","    0"
"02:01:12:859","18884402660906","  27.226","   1.446"," 1661"," 1200"," 2400"," 1671","   1.208","  35.830","   9.953","   0.249","   9.652","   2.681"," 36","0"," 33"," 37","   0.527","  14.410","   4.003","  45.000","    0","    0"
"02:01:13:862","18887313660339","  28.229","   0.800"," 1542"," 1200"," 2900"," 1560","   1.084","  36.917","  10.255","   0.133","   9.786","   2.718"," 36","0"," 33"," 37","   0.515","  14.926","   4.146","  45.000","    0","    0"
"02:01:14:870","18890241639479","  29.237","   1.155"," 1663"," 1200"," 2900"," 1677","   1.155","  38.082","  10.578","   0.199","   9.986","   2.774"," 36","0"," 33"," 37","   0.521","  15.451","   4.292","  45.000","    0","    0"
"02:01:15:872","18893152040692","  30.239","   1.315"," 2278"," 1200"," 3700"," 2348","   1.486","  39.571","  10.992","   0.517","  10.504","   2.918"," 36","0"," 33"," 54","   0.528","  15.981","   4.439","  45.000","    0","    0"
"02:01:16:874","18896062355821","  31.241","   2.519"," 2095"," 1200"," 3600"," 2122","   1.651","  41.226","  11.452","   0.667","  11.173","   3.103"," 36","0"," 33"," 46","   0.527","  16.509","   4.586","  45.000","    0","    0"
"02:01:17:877","18898972597745","  32.244","   2.196"," 1939"," 1200"," 3600"," 1968","   1.423","  42.652","  11.848","   0.430","  11.604","   3.223"," 36","0"," 33"," 41","   0.542","  17.052","   4.737","  45.000","    0","    0"
"02:01:18:879","18901882870097","  33.246","   2.000"," 2593"," 1200"," 3700"," 2699","   1.982","  44.638","  12.399","   1.028","  12.633","   3.509"," 36","0"," 33"," 55","   0.531","  17.585","   4.885","  45.000","    0","    0"
