"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:06:50:129","19863827364020","   1.007","   1.294"," 1691"," 1200"," 2700"," 1736","   1.231","   1.239","   0.344","   0.235","   0.237","   0.066"," 35","0"," 32"," 39","   0.553","   0.557","   0.155","  45.000","    0","    0"
"02:06:51:146","19866779555537","   2.023","   2.476"," 2186"," 1200"," 3500"," 2446","   1.692","   2.959","   0.822","   0.740","   0.989","   0.275"," 35","0"," 32"," 51","   0.538","   1.104","   0.307","  45.000","    0","    0"
"02:06:52:156","19869714502376","   3.034","   1.065"," 1641"," 1200"," 2700"," 1678","   1.137","   4.109","   1.141","   0.190","   1.181","   0.328"," 35","0"," 32"," 38","   0.518","   1.627","   0.452","  45.000","    0","    0"
"02:06:53:167","19872649369823","   4.045","   3.078"," 2622"," 1200"," 3500"," 2978","   2.161","   6.293","   1.748","   1.197","   2.391","   0.664"," 35","0"," 32"," 47","   0.557","   2.190","   0.608","  45.000","    0","    0"
"02:06:54:172","19875568685602","   5.050","   0.725"," 1416"," 1200"," 2400"," 1425","   1.048","   7.347","   2.041","   0.105","   2.496","   0.693"," 35","0"," 32"," 35","   0.514","   2.707","   0.752","  45.000","    0","    0"
"02:06:55:173","19878473905048","   6.050","   0.808"," 1546"," 1200"," 2600"," 1564","   1.109","   8.456","   2.349","   0.143","   2.639","   0.733"," 35","0"," 32"," 36","   0.523","   3.230","   0.897","  45.000","    0","    0"
"02:06:56:174","19881380580699","   7.051","   0.888"," 1517"," 1200"," 2700"," 1537","   1.104","   9.561","   2.656","   0.152","   2.791","   0.775"," 35","0"," 32"," 36","   0.517","   3.748","   1.041","  45.000","    0","    0"
"02:06:57:184","19884315181026","   8.062","   0.884"," 1470"," 1200"," 2400"," 1485","   1.078","  10.651","   2.959","   0.131","   2.924","   0.812"," 35","0"," 32"," 35","   0.515","   4.269","   1.186","  45.000","    0","    0"
"02:06:58:190","19887236062712","   9.068","   0.777"," 1352"," 1200"," 1900"," 1356","   1.051","  11.708","   3.252","   0.100","   3.025","   0.840"," 34","0"," 32"," 35","   0.515","   4.786","   1.330","  45.000","    0","    0"
"02:06:59:201","19890170637678","  10.078","   0.890"," 1525"," 1200"," 2600"," 1560","   1.097","  12.816","   3.560","   0.140","   3.166","   0.879"," 35","0"," 32"," 37","   0.518","   5.310","   1.475","  45.000","    0","    0"
"02:07:00:204","19893083945298","  11.081","   1.297"," 1632"," 1200"," 2700"," 1650","   1.272","  14.092","   3.915","   0.217","   3.383","   0.940"," 35","0"," 32"," 35","   0.574","   5.886","   1.635","  45.000","    0","    0"
"02:07:01:212","19896010511840","  12.089","   1.446"," 1953"," 1200"," 2900"," 2238","   1.264","  15.367","   4.268","   0.323","   3.709","   1.030"," 35","0"," 32"," 39","   0.525","   6.415","   1.782","  45.000","    0","    0"
"02:07:02:222","19898945036944","  13.100","   1.146"," 1546"," 1200"," 2400"," 1560","   1.142","  16.521","   4.589","   0.192","   3.903","   1.084"," 35","0"," 32"," 35","   0.519","   6.940","   1.928","  45.000","    0","    0"
"02:07:03:233","19901879509134","  14.110","   2.688"," 2744"," 1200"," 3500"," 3080","   2.132","  18.675","   5.188","   1.163","   5.079","   1.411"," 35","0"," 32"," 47","   0.551","   7.496","   2.082","  45.000","    0","    0"
"02:07:04:239","19904802638706","  15.117","   0.925"," 1475"," 1200"," 2400"," 1488","   1.101","  19.784","   5.496","   0.148","   5.228","   1.452"," 35","0"," 32"," 36","   0.517","   8.017","   2.227","  45.000","    0","    0"
"02:07:05:250","19907737488428","  16.127","   1.298"," 1537"," 1200"," 2700"," 1553","   1.171","  20.968","   5.824","   0.201","   5.431","   1.509"," 35","0"," 32"," 36","   0.531","   8.553","   2.376","  45.000","    0","    0"
"02:07:06:260","19910672055325","  17.138","   1.514"," 1580"," 1200"," 2700"," 1590","   1.195","  22.176","   6.160","   0.236","   5.669","   1.575"," 35","0"," 32"," 37","   0.527","   9.086","   2.524","  45.000","    0","    0"
"02:07:07:263","19913584732380","  18.141","   1.365"," 1787"," 1200"," 2700"," 1879","   1.224","  23.403","   6.501","   0.278","   5.948","   1.652"," 35","0"," 32"," 40","   0.519","   9.606","   2.668","  45.000","    0","    0"
"02:07:08:272","19916515013280","  19.150","   0.757"," 1407"," 1200"," 1900"," 1410","   1.054","  24.466","   6.796","   0.105","   6.055","   1.682"," 35","0"," 32"," 35","   0.515","  10.126","   2.813","  45.000","    0","    0"
"02:07:09:283","19919449623410","  20.160","   0.933"," 1548"," 1200"," 2700"," 1578","   1.115","  25.593","   7.109","   0.154","   6.211","   1.725"," 35","0"," 32"," 38","   0.518","  10.649","   2.958","  45.000","    0","    0"
"02:07:10:286","19922364029013","  21.164","   1.627"," 1736"," 1200"," 2800"," 1823","   1.311","  26.909","   7.475","   0.313","   6.524","   1.812"," 39","0"," 32"," 39","   0.543","  11.194","   3.110","  45.000","    0","    0"
"02:07:11:297","19925298120465","  22.174","   0.964"," 1833"," 1200"," 3000"," 1943","   1.166","  28.087","   7.802","   0.201","   6.728","   1.869"," 35","0"," 32"," 39","   0.518","  11.718","   3.255","  45.000","    0","    0"
"02:07:12:305","19928224571178","  23.182","   1.117"," 1525"," 1200"," 2400"," 1530","   1.118","  29.213","   8.115","   0.177","   6.906","   1.918"," 35","0"," 32"," 36","   0.518","  12.240","   3.400","  45.000","    0","    0"
"02:07:13:315","19931159479212","  24.193","   2.751"," 2714"," 1200"," 3500"," 3125","   2.103","  31.339","   8.705","   1.142","   8.060","   2.239"," 35","0"," 32"," 47","   0.552","  12.798","   3.555","  45.000","    0","    0"
"02:07:14:326","19934094003586","  25.203","   0.734"," 1457"," 1200"," 2400"," 1467","   1.054","  32.404","   9.001","   0.108","   8.169","   2.269"," 35","0"," 32"," 36","   0.514","  13.317","   3.699","  45.000","    0","    0"
"02:07:15:331","19937012324613","  26.208","   0.860"," 1561"," 1200"," 2600"," 1592","   1.126","  33.535","   9.315","   0.152","   8.322","   2.312"," 35","0"," 32"," 36","   0.525","  13.844","   3.846","  45.000","    0","    0"
"02:07:16:334","19939925675197","  27.211","   0.911"," 1520"," 1200"," 2700"," 1532","   1.091","  34.630","   9.619","   0.144","   8.466","   2.352"," 35","0"," 32"," 37","   0.518","  14.364","   3.990","  45.000","    0","    0"
"02:07:17:344","19942860182058","  28.222","   2.210"," 1767"," 1100"," 2900"," 1782","   1.339","  35.983","   9.995","   0.355","   8.826","   2.452"," 35","0"," 32"," 38","   0.542","  14.911","   4.142","  45.000","    0","    0"
"02:07:18:352","19945785722586","  29.229","   0.907"," 1413"," 1200"," 2400"," 1420","   1.073","  37.065","  10.296","   0.124","   8.950","   2.486"," 35","0"," 32"," 35","   0.516","  15.431","   4.286","  45.000","    0","    0"
"02:07:19:360","19948712270747","  30.237","   0.954"," 1576"," 1200"," 2700"," 1591","   1.107","  38.181","  10.606","   0.165","   9.116","   2.532"," 35","0"," 32"," 36","   0.520","  15.955","   4.432","  45.000","    0","    0"
"02:07:20:364","19951629554163","  31.242","   1.388"," 1987"," 1200"," 2700"," 2425","   1.274","  39.461","  10.961","   0.317","   9.434","   2.621"," 35","0"," 32"," 38","   0.523","  16.480","   4.578","  45.000","    0","    0"
"02:07:21:372","19954557488627","  32.250","   1.115"," 1574"," 1200"," 2700"," 1594","   1.138","  40.608","  11.280","   0.189","   9.625","   2.674"," 35","0"," 32"," 37","   0.520","  17.005","   4.724","  45.000","    0","    0"
"02:07:22:383","19957492108401","  33.261","   1.171"," 1515"," 1200"," 2400"," 1525","   1.153","  41.774","  11.604","   0.183","   9.810","   2.725"," 35","0"," 32"," 35","   0.527","  17.538","   4.872","  45.000","    0","    0"
"02:07:23:384","19960399822671","  34.262","   2.660"," 2768"," 1200"," 3500"," 3192","   2.105","  43.881","  12.189","   1.137","  10.949","   3.041"," 35","0"," 32"," 47","   0.551","  18.090","   5.025","  45.000","    0","    0"
"02:07:24:395","19963334299964","  35.272","   0.860"," 1462"," 1200"," 2400"," 1476","   1.080","  44.972","  12.492","   0.132","  11.082","   3.078"," 35","0"," 32"," 35","   0.517","  18.612","   5.170","  45.000","    0","    0"
"02:07:25:404","19966264506991","  36.281","   1.052"," 1582"," 1200"," 2700"," 1602","   1.124","  46.106","  12.807","   0.178","  11.262","   3.128"," 35","0"," 32"," 36","   0.521","  19.138","   5.316","  45.000","    0","    0"
"02:07:26:405","19969170814846","  37.282","   1.220"," 1544"," 1200"," 2700"," 1567","   1.156","  47.263","  13.129","   0.201","  11.462","   3.184"," 35","0"," 32"," 37","   0.525","  19.663","   5.462","  45.000","    0","    0"
