"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:21:04:807","32800201425640","   1.001","   9.642"," 1455"," 1200"," 3400"," 1461","  12.488","  12.497","   3.471","   2.360","   2.361","   0.656"," 52","0"," 42"," 49","   1.057","   1.057","   0.294","  45.000","    0","    0"
"03:21:05:814","32803125922709","   2.008","  10.773"," 1629"," 1100"," 3400"," 1684","  12.975","  25.563","   7.101","   2.872","   5.254","   1.459"," 52","0"," 43"," 58","   1.069","   2.134","   0.593","  45.000","    0","    0"
"03:21:06:825","32806060652321","   3.018","   9.431"," 1379"," 1200"," 2400"," 1384","  12.293","  37.987","  10.552","   2.239","   7.517","   2.088"," 56","0"," 42"," 48","   1.020","   3.165","   0.879","  45.000"," 1100"," 1100"
"03:21:07:832","32808984897373","   4.025","   8.876"," 1418"," 1200"," 2400"," 1424","  11.789","  49.858","  13.850","   2.153","   9.685","   2.690"," 59","0"," 43"," 47","   0.993","   4.164","   1.157","  45.000"," 1100"," 1100"
"03:21:08:832","32811889855060","   5.026","  10.685"," 1469"," 1200"," 2400"," 1478","  10.875","  60.737","  16.871","   2.257","  11.943","   3.318"," 52","0"," 42"," 48","   0.979","   5.144","   1.429","  45.000"," 1050"," 1033"

"Total Elapsed Time (sec) = 5.025690"
"Measured RDTSC Frequency (GHz) = 2.904"

"Cumulative Package Energy_0 (Joules) = 60.737000"
"Cumulative Package Energy_0 (mWh) = 16.871389"
"Average Package Power_0 (Watt) = 12.085305"

"Cumulative IA Energy_0 (Joules) = 11.943176"
"Cumulative IA Energy_0 (mWh) = 3.317549"
"Average Package IA_0 (Watt) = 2.376425"

"Cumulative DRAM Energy_0 (Joules) = 5.144104"
"Cumulative DRAM Energy_0 (mWh) = 1.428918"
"Average Package DRAM_0 (Watt) = 1.023562"
