#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
1,25-09-23T00-47-25,micro,api-baseline,62.459880,22.422960,5.861715,9.222514,80.722656,21.102173,33.201050,35.11290322580645
1,25-09-23T00-47-25,micro,api-monitor,62.449617,24.161953,7.603302,9.265442,86.983032,27.371887,33.355591,34.32258064516129
1,25-09-23T00-47-25,micro,frontend-baseline,139.995652,50.136549,13.019036,20.663418,180.491577,46.868530,74.388306,33.64028776978417
1,25-09-23T00-47-25,micro,frontend-monitor,139.852801,50.024651,12.975600,20.648888,180.088745,46.712158,74.335999,34.273381294964025
10,25-09-23T00-47-25,micro,api-baseline,62.190484,22.027045,5.533125,9.199575,79.297363,19.919250,33.118469,34.58064516129032
10,25-09-23T00-47-25,micro,api-monitor,62.263024,21.660767,5.227254,9.176449,77.978760,18.818115,33.035217,33.806451612903224
10,25-09-23T00-47-25,micro,frontend-baseline,139.577198,69.860145,30.865072,21.975827,251.496521,111.114258,79.112976,35.55395683453237
10,25-09-23T00-47-25,micro,frontend-monitor,139.506677,69.026625,30.084873,21.909231,248.495850,108.305542,78.873230,36.25179856115108
2,25-09-23T00-47-25,micro,api-baseline,62.356846,145.984378,30.051337,15.099318,525.543762,108.184814,54.357544,49.306451612903224
2,25-09-23T00-47-25,micro,api-monitor,62.158878,21.921438,5.464342,9.169210,78.917175,19.671631,33.009155,33.903225806451616
2,25-09-23T00-47-25,micro,frontend-baseline,139.956505,53.847283,16.849603,20.609639,193.850220,60.658569,74.194702,33.56115107913669
2,25-09-23T00-47-25,micro,frontend-monitor,139.909840,50.120951,12.950236,20.694750,180.435425,46.620850,74.501099,34.02158273381295
3,25-09-23T00-47-25,micro,api-baseline,62.313224,22.786916,6.241218,9.224158,82.032898,22.468384,33.206970,33.24193548387097
3,25-09-23T00-47-25,micro,api-monitor,62.372409,22.054850,5.493266,9.178331,79.397461,19.775757,33.041992,32.70967741935484
