InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,C-State,Resident,Count,Latency
29-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,1,C10,97.014%,22655,890
29-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,2,C9,0.025%,160,480
29-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,3,C8,2.103%,8404,200
29-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,4,C7s,0.002%,14,124
29-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,5,C6,0.188%,2907,85
29-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,6,C3,0.011%,488,70
29-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,7,C1E,0.015%,480,10
29-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,8,C1,0.054%,1074,2
29-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,9,POLL,0.000%,4,0
29-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,10,C0,0.587%
11-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,1,C10,97.388%,19462,890
11-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,2,C9,0.020%,39,480
11-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,3,C8,1.814%,5947,200
11-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,4,C7s,0.001%,6,124
11-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,5,C6,0.090%,1310,85
11-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,6,C3,0.009%,451,70
11-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,7,C1E,0.027%,1967,10
11-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,8,C1,0.152%,4519,2
