Iteration,Architecture,ScenarioPath,Average_CPU,refined
1,micro,1,1.3855564263322884,True
1,micro,2,1.3847565834479754,True
1,micro,3,1.3870493985517895,True
1,mono,1,1.3855935120913572,True
1,mono,2,1.3872238233278278,True
1,mono,3,1.3898276715771645,True
2,micro,1,1.3478131994802784,True
2,micro,2,1.3477664539215022,True
2,micro,3,1.347900453892372,True
2,mono,1,1.3478153668991106,True
2,mono,2,1.3479106478739404,True
2,mono,3,1.3480628256875722,True
3,micro,1,1.3918965642753722,True
3,micro,2,1.390855314494486,True
3,micro,3,1.393840142229134,True
3,mono,1,1.3919448431802188,True
3,mono,2,1.394067211524108,True
3,mono,3,1.397456947773885,True
4,micro,1,1.403096039031326,True
4,micro,2,1.4005037700247327,True
4,micro,3,1.4079347213378397,True
4,mono,1,1.403216232966541,True
4,mono,2,1.408500027287013,True
4,mono,3,1.4169390285546473,True
5,micro,1,1.3965955957217364,True
5,micro,2,1.3959630176736355,True
5,micro,3,1.3977763544319817,True
5,mono,1,1.3966249260284052,True
5,mono,2,1.3979143031298205,True
5,mono,3,1.399973629124238,True
6,micro,1,1.3720105606084034,True
6,micro,2,1.3721975786142246,True
6,micro,3,1.3716614761910593,True
6,mono,1,1.3720018892745185,True
6,mono,2,1.3716206924641297,True
6,mono,3,1.3710118647598364,True
7,micro,1,1.3585263535752943,True
7,micro,2,1.3592303812122715,True
7,micro,3,1.3572122283584769,True
7,mono,1,1.3584937104152004,True
7,mono,2,1.3570586983773858,True
7,mono,3,1.3547667718428367,True
8,micro,1,1.3715104697374683,True
8,micro,2,1.3709106470309644,True
8,micro,3,1.372630087921238,True
8,mono,1,1.3715382812999806,True
8,mono,2,1.3727608935373117,True
8,mono,3,1.3747135861659185,True
9,micro,1,1.3998291345271399,True
9,micro,2,1.3988273456469935,True
9,micro,3,1.4016990554793627,True
9,mono,1,1.3998755837758303,True
9,mono,2,1.4019175193858175,True
9,mono,3,1.405178792659523,True
10,micro,1,1.429977639725359,True
10,micro,2,1.428566879411831,True
10,micro,3,1.4326109393367947,True
10,mono,1,1.430043051468236,True
10,mono,2,1.432918589197232,True
10,mono,3,1.4375112483865018,True
11,micro,1,1.4838045471615133,True
11,micro,2,1.481800673567729,True
11,micro,3,1.487544941263388,True
11,mono,1,1.4838974593755996,True
11,mono,2,1.487981933589831,True
11,mono,3,1.4945054432082827,True
12,micro,1,1.404502539365691,True
12,micro,2,1.4027603121264745,True
12,micro,3,1.407754549128135,True
12,mono,1,1.404583320005118,True
12,mono,2,1.4081344832401563,True
12,mono,3,1.4138062163214296,True
13,micro,1,1.432356299916258,True
13,micro,2,1.4300607451343,True
13,micro,3,1.43664114083317,True
13,mono,1,1.432462736309257,True
13,mono,2,1.4371417411842884,True
13,mono,3,1.4446148042289013,True
14,micro,1,1.4181754085175688,True
14,micro,2,1.4148364606120747,True
14,micro,3,1.4244078281127548,True
14,mono,1,1.4183302231942936,True
14,mono,2,1.4251359651657207,True
14,mono,3,1.4360057420042207,True
15,micro,1,1.4419836557829058,True
15,micro,2,1.441145858235042,True
15,micro,3,1.4435474734889302,True
15,mono,1,1.4420225013594778,True
15,mono,2,1.4437301751826224,True
15,mono,3,1.446457582928678,True
16,micro,1,1.40224793456891,True
16,micro,2,1.399159803191929,True
16,micro,3,1.4080121845815372,True
16,mono,1,1.402391119809993,True
16,mono,2,1.4086856251213868,True
16,mono,3,1.4187388813763053,True
17,micro,1,1.3870585178699453,True
17,micro,2,1.3852028897258368,True
17,micro,3,1.3905221997044803,True
17,mono,1,1.3871445564903078,True
17,mono,2,1.3909268635825922,True
17,mono,3,1.3969677676016419,True
18,micro,1,1.424913898031766,True
18,micro,2,1.421442859505499,True
18,micro,3,1.4313928755836927,True
18,mono,1,1.4250748372624913,True
18,mono,2,1.4321498181400851,True
18,mono,3,1.4434496093456541,True
19,micro,1,1.379009355187877,True
19,micro,2,1.377903001736542,True
19,micro,3,1.3810744544719828,True
19,mono,1,1.3790606527093596,True
19,mono,2,1.3813157211716725,True
19,mono,3,1.3849173991435655,True
20,micro,1,1.4079178878180734,True
20,micro,2,1.4070290551258053,True
20,micro,3,1.409576966798916,True
20,mono,1,1.4079590997057132,True
20,mono,2,1.4097707979204088,True
20,mono,3,1.41266434801019,True
21,micro,1,1.3715392984161345,True
21,micro,2,1.3706215165798397,True
21,micro,3,1.373252413344109,True
21,mono,1,1.3715818525686136,True
21,mono,2,1.373452557515405,True
21,mono,3,1.3764403500863946,True
22,micro,1,1.3954406964227977,True
22,micro,2,1.3956316163370244,True
22,micro,3,1.3950843287740007,True
22,mono,1,1.395431844171838,True
22,mono,2,1.3950426941430836,True
22,mono,3,1.394421163972381,True
23,micro,1,1.406376221737131,True
23,micro,2,1.4055008833058944,True
23,micro,3,1.4080101125751046,True
23,mono,1,1.4064168079457489,True
23,mono,2,1.408201000951835,True
23,mono,3,1.4110506211540692,True
24,micro,1,1.3810278948668466,True
24,micro,2,1.3820290476083084,True
24,micro,3,1.3791591613195533,True
24,mono,1,1.3809814751135563,True
24,mono,2,1.3789408361382778,True
