InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,MonoFrontendDuration,MonoBackendDuration,MicroFrontendDuration,MicroBackendDuration,C-State,Resident,Count,Latency
12-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,1,C10,97.166%,40129,890
12-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,2,C9,0.015%,196,480
12-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,3,C8,1.886%,12852,200
12-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,4,C7s,0.001%,18,124
12-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,5,C6,0.174%,4896,85
12-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,6,C3,0.012%,867,70
12-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,7,C1E,0.072%,1884,10
12-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,8,C1,0.043%,1610,2
12-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,9,POLL,0.000%,10,0
12-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,10,C0,0.630%
2-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,1,C10,97.282%,41100,890
2-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,2,C9,0.013%,146,480
2-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,3,C8,1.796%,12201,200
2-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,4,C7s,0.002%,22,124
2-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,5,C6,0.177%,4330,85
2-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,6,C3,0.014%,1060,70
2-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,7,C1E,0.068%,2599,10
2-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,8,C1,0.039%,1621,2
2-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,9,POLL,0.000%,7,0
2-api-monitor.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,10,C0,0.611%
27-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,1,C10,97.310%,33697,890
27-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,2,C9,0.008%,47,480
27-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,3,C8,1.701%,9771,200
27-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,4,C7s,0.002%,18,124
27-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,5,C6,0.097%,2752,85
27-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,6,C3,0.007%,726,70
27-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,7,C1E,0.118%,4543,10
27-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,8,C1,0.149%,7973,2
27-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,9,POLL,0.000%,8,0
27-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,10,C0,0.607%
19-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,1,C10,96.962%,40028,890
19-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,2,C9,0.014%,148,480
19-api-baseline.csv,micro,26-02-24T07-35-36,2,5,300,50,30,26-02-24T07-35-36,26-02-24T20-05-19,27-02-24T06-06-02,,341.198895191,,341.198895191,3,C8,2.074%,14037,200
