InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,MonoFrontendDuration,MonoBackendDuration,MicroFrontendDuration,MicroBackendDuration,C-State,Resident,Count,Latency
12-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,1,C10,97.517%,77832,890
12-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,2,C9,0.016%,368,480
12-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,3,C8,1.609%,23345,200
12-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,4,C7s,0.001%,31,124
12-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,5,C6,0.147%,7823,85
12-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,6,C3,0.009%,1700,70
12-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,7,C1E,0.044%,2501,10
12-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,8,C1,0.054%,3910,2
12-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,9,POLL,0.000%,16,0
12-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,10,C0,0.603%
2-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,1,C10,97.455%,76092,890
2-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,2,C9,0.016%,411,480
2-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,3,C8,1.653%,24042,200
2-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,4,C7s,0.001%,26,124
2-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,5,C6,0.165%,8445,85
2-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,6,C3,0.011%,1796,70
2-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,7,C1E,0.048%,2801,10
2-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,8,C1,0.056%,4694,2
2-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,9,POLL,0.000%,21,0
2-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,10,C0,0.595%
27-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,1,C10,97.037%,76526,890
27-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,2,C9,0.020%,477,480
27-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,3,C8,1.903%,27099,200
27-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,4,C7s,0.002%,42,124
27-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,5,C6,0.194%,10958,85
27-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,6,C3,0.015%,2510,70
27-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,7,C1E,0.105%,4954,10
27-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,8,C1,0.063%,5267,2
27-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,9,POLL,0.000%,25,0
27-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,10,C0,0.661%
19-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,1,C10,97.216%,77622,890
19-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,2,C9,0.033%,448,480
19-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,3,C8,1.737%,26196,200
19-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,4,C7s,0.002%,44,124
19-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,5,C6,0.192%,10201,85
19-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,6,C3,0.010%,1644,70
19-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,7,C1E,0.079%,3680,10
19-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,8,C1,0.056%,4561,2
19-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,9,POLL,0.000%,18,0
19-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,10,C0,0.675%
20-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,1,C10,97.616%,78779,890
20-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,2,C9,0.015%,347,480
20-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,3,C8,1.567%,22661,200
20-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,4,C7s,0.001%,36,124
20-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,5,C6,0.171%,9041,85
20-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,6,C3,0.009%,1520,70
20-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,7,C1E,0.027%,2557,10
20-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,8,C1,0.042%,4328,2
20-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,9,POLL,0.000%,16,0
20-api-monitor.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,10,C0,0.552%
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,1,C10,97.183%,78855,890
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,2,C9,0.012%,333,480
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,3,C8,1.788%,24974,200
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,4,C7s,0.002%,46,124
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,5,C6,0.172%,9087,85
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,6,C3,0.010%,1587,70
12-api-baseline.csv,micro,27-02-24T07-35-48,3,5,300,50,30,27-02-24T07-35-48,27-02-24T22-38-21,28-02-24T15-52-55,,395.509111834,,395.509111834,7,C1E,0.102%,4492,10
