Iteration,Architecture,ScenarioPath,Average_CPU,refined
1,micro,1,1.3729875,True
1,micro,2,1.3729875000000002,True
1,micro,3,1.3729875,True
1,mono,1,1.3729875,True
1,mono,2,1.3729875,True
1,mono,3,1.3729875,True
2,micro,1,1.4739458333333333,True
2,micro,2,1.4739458333333335,True
2,micro,3,1.4739458333333333,True
2,mono,1,1.4739458333333333,True
2,mono,2,1.4739458333333333,True
2,mono,3,1.4739458333333333,True
3,micro,1,1.4214729166666669,True
3,micro,2,1.4214729166666669,True
3,micro,3,1.4214729166666669,True
3,mono,1,1.4214729166666669,True
3,mono,2,1.4214729166666669,True
3,mono,3,1.4214729166666669,True
4,micro,1,1.441175,True
4,micro,2,1.441175,True
4,micro,3,1.4411749999999999,True
4,mono,1,1.4411749999999999,True
4,mono,2,1.441175,True
4,mono,3,1.441175,True
5,micro,1,1.4031624999999999,True
5,micro,2,1.4031625,True
5,micro,3,1.4031625,True
5,mono,1,1.4031624999999999,True
5,mono,2,1.4031624999999999,True
5,mono,3,1.4031624999999999,True
6,micro,1,1.44894375,True
6,micro,2,1.44894375,True
6,micro,3,1.44894375,True
6,mono,1,1.44894375,True
6,mono,2,1.44894375,True
6,mono,3,1.4489437500000002,True
7,micro,1,1.4368520833333331,True
7,micro,2,1.4368520833333334,True
7,micro,3,1.4368520833333334,True
7,mono,1,1.4368520833333334,True
7,mono,2,1.4368520833333334,True
7,mono,3,1.4368520833333331,True
8,micro,1,1.4084416666666668,True
8,micro,2,1.4084416666666666,True
8,micro,3,1.4084416666666666,True
8,mono,1,1.4084416666666666,True
8,mono,2,1.4084416666666668,True
8,mono,3,1.4084416666666668,True
9,micro,1,1.39290625,True
9,micro,2,1.39290625,True
9,micro,3,1.3929062499999998,True
9,mono,1,1.39290625,True
9,mono,2,1.39290625,True
9,mono,3,1.39290625,True
10,micro,1,1.4129687499999999,True
10,micro,2,1.4129687499999999,True
10,micro,3,1.4129687499999999,True
10,mono,1,1.41296875,True
10,mono,2,1.41296875,True
10,mono,3,1.4129687499999999,True
11,micro,1,1.4110645833333335,True
11,micro,2,1.4110645833333333,True
11,micro,3,1.4110645833333335,True
11,mono,1,1.4110645833333335,True
11,mono,2,1.4110645833333335,True
11,mono,3,1.4110645833333333,True
12,micro,1,1.3716,True
12,micro,2,1.3716,True
12,micro,3,1.3716000000000002,True
12,mono,1,1.3716,True
12,mono,2,1.3716,True
12,mono,3,1.3716000000000002,True
13,micro,1,1.4272500000000001,True
13,micro,2,1.4272500000000001,True
13,micro,3,1.4272500000000001,True
13,mono,1,1.4272500000000001,True
13,mono,2,1.4272500000000001,True
13,mono,3,1.4272500000000001,True
14,micro,1,1.3937645833333332,True
14,micro,2,1.3937645833333332,True
14,micro,3,1.3937645833333332,True
14,mono,1,1.3937645833333332,True
14,mono,2,1.3937645833333332,True
14,mono,3,1.3937645833333332,True
15,micro,1,1.4122979166666667,True
15,micro,2,1.4122979166666667,True
15,micro,3,1.4122979166666667,True
15,mono,1,1.4122979166666667,True
15,mono,2,1.4122979166666667,True
15,mono,3,1.4122979166666667,True
16,micro,1,1.4186395833333334,True
16,micro,2,1.4186395833333332,True
16,micro,3,1.4186395833333332,True
16,mono,1,1.4186395833333334,True
16,mono,2,1.4186395833333332,True
16,mono,3,1.4186395833333334,True
17,micro,1,1.4856145833333334,True
17,micro,2,1.4856145833333334,True
17,micro,3,1.4856145833333334,True
17,mono,1,1.4856145833333334,True
17,mono,2,1.4856145833333334,True
17,mono,3,1.4856145833333334,True
18,micro,1,1.4062833333333333,True
18,micro,2,1.4062833333333333,True
18,micro,3,1.4062833333333333,True
18,mono,1,1.4062833333333333,True
18,mono,2,1.4062833333333336,True
18,mono,3,1.4062833333333336,True
19,micro,1,1.4018395833333335,True
19,micro,2,1.4018395833333335,True
19,micro,3,1.4018395833333335,True
19,mono,1,1.4018395833333335,True
19,mono,2,1.4018395833333335,True
19,mono,3,1.4018395833333335,True
20,micro,1,1.409475,True
20,micro,2,1.4094750000000003,True
20,micro,3,1.409475,True
20,mono,1,1.409475,True
20,mono,2,1.409475,True
20,mono,3,1.4094750000000003,True
21,micro,2,1.5169270367054613,True
21,micro,3,1.516927036705461,True
21,mono,1,1.516927036705461,True
21,mono,2,1.5169270367054613,True
21,mono,3,1.516927036705461,True
22,micro,2,1.4069538943598927,True
22,micro,3,1.4069538943598925,True
22,mono,1,1.4069538943598925,True
22,mono,2,1.4069538943598925,True
22,mono,3,1.4069538943598925,True
23,micro,2,1.442016562220233,True
23,micro,3,1.4420165622202328,True
23,mono,1,1.4420165622202328,True
23,mono,2,1.4420165622202328,True
23,mono,3,1.4420165622202328,True
24,micro,2,1.3701298119964191,True
24,micro,3,1.370129811996419,True
24,mono,1,1.370129811996419,True
24,mono,2,1.3701298119964191,True
24,mono,3,1.3701298119964191,True
25,micro,2,1.4284019695613248,True
25,micro,3,1.428401969561325,True
25,mono,1,1.4284019695613248,True
25,mono,2,1.4284019695613248,True
25,mono,3,1.4284019695613248,True
26,micro,2,1.5136705461056403,True
26,micro,3,1.5136705461056403,True
26,mono,1,1.5136705461056403,True
26,mono,2,1.5136705461056403,True
26,mono,3,1.5136705461056403,True
27,micro,2,1.3831714413607878,True
27,micro,3,1.3831714413607878,True
27,mono,1,1.383171441360788,True
27,mono,2,1.3831714413607878,True
27,mono,3,1.3831714413607878,True
28,micro,2,1.3984847806624887,True
28,micro,3,1.3984847806624887,True
28,mono,1,1.3984847806624887,True
28,mono,2,1.3984847806624887,True
28,mono,3,1.3984847806624887,True
29,micro,2,1.4086056401074307,True
29,micro,3,1.4086056401074307,True
29,mono,1,1.4086056401074307,True
29,mono,2,1.4086056401074307,True
29,mono,3,1.4086056401074307,True
30,micro,2,1.4077484333034918,True
30,micro,3,1.4077484333034915,True
30,mono,1,1.4077484333034918,True
30,mono,2,1.4077484333034915,True
30,mono,3,1.4077484333034915,True
