"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"16:54:53:700","61231449404794","   1.004","   2.402"," 2236"," 1200"," 3700"," 2678","   2.880","   2.890","   0.803","   1.525","   1.530","   0.425"," 39","0"," 35"," 45","   0.735","   0.737","   0.205","  45.000","    0","    0"
"16:54:54:715","61233787949124","   2.019","   2.047"," 1916"," 1200"," 3700"," 2171","   2.300","   5.225","   1.451","   0.955","   2.500","   0.694"," 39","0"," 36"," 49","   0.716","   1.464","   0.407","  45.000","    0","    0"
"16:54:55:716","61236093198518","   3.019","   1.314"," 1381"," 1200"," 2500"," 1389","   1.589","   6.815","   1.893","   0.347","   2.846","   0.791"," 39","0"," 36"," 40","   0.654","   2.118","   0.588","  45.000","    0","    0"
"16:54:56:724","61238416638508","   4.028","   0.982"," 1466"," 1200"," 2500"," 1490","   1.523","   8.351","   2.320","   0.282","   3.131","   0.870"," 39","0"," 36"," 39","   0.649","   2.773","   0.770","  45.000","    0","    0"
"16:54:57:733","61240740320196","   5.036","   0.973"," 1407"," 1200"," 2500"," 1420","   1.513","   9.877","   2.744","   0.272","   3.406","   0.946"," 39","0"," 36"," 39","   0.646","   3.424","   0.951","  45.000","    0","    0"
"16:54:58:738","61243056869120","   6.042","   1.480"," 1687"," 1200"," 2900"," 1768","   1.759","  11.645","   3.235","   0.516","   3.924","   1.090"," 40","0"," 35"," 40","   0.659","   4.086","   1.135","  45.000","    0","    0"
"16:54:59:739","61245361878892","   7.042","   1.231"," 1571"," 1200"," 2900"," 1609","   1.623","  13.269","   3.686","   0.384","   4.308","   1.197"," 39","0"," 36"," 40","   0.649","   4.736","   1.315","  45.000","    0","    0"
"16:55:00:744","61247677362240","   8.047","   1.331"," 1554"," 1200"," 2500"," 1569","   1.775","  15.053","   4.181","   0.408","   4.718","   1.311"," 39","0"," 36"," 40","   0.717","   5.456","   1.516","  45.000","    0","    0"
"16:55:01:744","61249982716104","   9.048","   1.552"," 2191"," 1200"," 4400"," 2553","   2.438","  17.492","   4.859","   1.193","   5.912","   1.642"," 40","0"," 35"," 56","   0.657","   6.114","   1.698","  45.000","    0","    0"
"16:55:02:751","61252302520694","  10.054","   0.991"," 1429"," 1200"," 3200"," 1439","   1.525","  19.027","   5.285","   0.280","   6.193","   1.720"," 39","0"," 35"," 40","   0.647","   6.766","   1.879","  45.000","    0","    0"
"16:55:03:753","61254610084252","  11.056","   1.980"," 2350"," 1200"," 3700"," 2770","   2.727","  21.759","   6.044","   1.474","   7.669","   2.130"," 39","0"," 35"," 45","   0.675","   7.442","   2.067","  45.000","    0","    0"
"16:55:04:754","61256916297480","  12.057","   1.222"," 1580"," 1200"," 2600"," 1655","   1.736","  23.497","   6.527","   0.396","   8.066","   2.240"," 39","0"," 35"," 39","   0.702","   8.144","   2.262","  45.000","    0","    0"
"16:55:05:755","61259223206958","  13.058","   1.242"," 1385"," 1200"," 2500"," 1394","   1.615","  25.114","   6.976","   0.340","   8.406","   2.335"," 39","0"," 35"," 39","   0.654","   8.799","   2.444","  45.000","    0","    0"
"16:55:06:756","61261529012928","  14.059","   1.100"," 1520"," 1200"," 3000"," 1543","   1.593","  26.709","   7.419","   0.346","   8.752","   2.431"," 39","0"," 35"," 39","   0.653","   9.452","   2.626","  45.000","    0","    0"
"16:55:07:763","61263849077434","  15.066","   1.050"," 1403"," 1200"," 2500"," 1416","   1.545","  28.264","   7.851","   0.291","   9.045","   2.512"," 39","0"," 35"," 39","   0.650","  10.107","   2.807","  45.000","    0","    0"
"16:55:08:770","61266170229622","  16.073","   1.232"," 1555"," 1200"," 2700"," 1603","   1.617","  29.893","   8.304","   0.368","   9.416","   2.616"," 39","0"," 35"," 39","   0.658","  10.770","   2.992","  45.000","    0","    0"
"16:55:09:775","61268485720632","  17.078","   1.322"," 1507"," 1200"," 2700"," 1568","   1.751","  31.653","   8.792","   0.411","   9.829","   2.730"," 39","0"," 35"," 39","   0.700","  11.473","   3.187","  45.000","    0","    0"
"16:55:10:784","61270810082906","  18.087","   2.865"," 2211"," 1200"," 3700"," 2599","   2.607","  34.282","   9.523","   1.331","  11.171","   3.103"," 39","0"," 35"," 44","   0.686","  12.165","   3.379","  45.000","    0","    0"
"16:55:11:786","61273118491176","  19.089","   5.302"," 1821"," 1200"," 4500"," 1866","   3.560","  37.849","  10.514","   2.305","  13.480","   3.745"," 39","0"," 35"," 56","   0.684","  12.850","   3.570","  45.000","    0","    0"
"16:55:12:794","61275441614158","  20.097","   4.861"," 2177"," 1200"," 4600"," 2284","   4.965","  42.855","  11.904","   3.720","  17.231","   4.787"," 39","0"," 35"," 60","   0.668","  13.524","   3.757","  45.000","    0","    0"
"16:55:13:795","61277747880566","  21.098","   2.056"," 2307"," 1200"," 3800"," 2813","   2.648","  45.505","  12.640","   1.395","  18.628","   5.174"," 39","0"," 35"," 45","   0.677","  14.202","   3.945","  45.000","    0","    0"
"16:55:14:805","61280075054030","  22.108","   1.212"," 1536"," 1200"," 2800"," 1579","   1.604","  47.126","  13.091","   0.364","  18.996","   5.277"," 39","0"," 35"," 39","   0.652","  14.860","   4.128","  45.000","    0","    0"
"16:55:15:814","61282398650102","  23.117","   1.209"," 1497"," 1200"," 2500"," 1522","   1.699","  48.840","  13.567","   0.364","  19.362","   5.378"," 39","0"," 35"," 39","   0.698","  15.564","   4.323","  45.000","    0","    0"
