"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:35:57:070","324030193338540","   1.001","   1.369"," 1588"," 1200"," 2900"," 1599","   1.396","   1.397","   0.388","   0.527","   0.528","   0.147"," 46","0"," 43"," 48","   0.723","   0.724","   0.201","  45.000","    0","    0"
"00:35:58:079","324032518354656","   2.010","   2.547"," 2450"," 1200"," 3700"," 2983","   2.900","   4.324","   1.201","   2.075","   2.622","   0.728"," 47","0"," 43"," 55","   0.703","   1.434","   0.398","  45.000","    0","    0"
"00:35:59:085","324034835612322","   3.016","   2.520"," 1896"," 1200"," 3600"," 1994","   1.962","   6.297","   1.749","   1.130","   3.759","   1.044"," 47","0"," 43"," 49","   0.705","   2.143","   0.595","  45.000","    0","    0"
"00:36:00:090","324037150266396","   4.021","   9.617"," 1581","  700"," 4600"," 1749","   6.157","  12.482","   3.467","   3.898","   7.674","   2.132"," 48","0"," 43"," 63","   0.829","   2.975","   0.826","  45.000","    0","    0"
"00:36:01:092","324039461077736","   5.024","   6.533"," 1885"," 1200"," 4800"," 1999","   5.677","  18.176","   5.049","   3.925","  11.612","   3.225"," 47","0"," 44"," 58","   0.915","   3.893","   1.081","  45.000","    0","    0"
"00:36:02:093","324041766396918","   6.024","   7.577"," 1539"," 1200"," 3900"," 1590","   3.781","  21.959","   6.100","   2.279","  13.891","   3.859"," 47","0"," 44"," 55","   0.916","   4.809","   1.336","  45.000","    0","    0"
"00:36:03:101","324044088529578","   7.032","   5.302"," 1436"," 1200"," 3100"," 1443","   2.688","  24.669","   6.852","   1.303","  15.204","   4.223"," 47","0"," 44"," 48","   0.838","   5.654","   1.570","  45.000","    0","    0"
"00:36:04:110","324046412999426","   8.041","   1.263"," 1581"," 1200"," 3000"," 1595","   1.701","  26.385","   7.329","   0.465","  15.673","   4.354"," 47","0"," 43"," 47","   0.877","   6.538","   1.816","  45.000","    0","    0"
"00:36:05:118","324048735401678","   9.049","   1.222"," 1527"," 1200"," 2800"," 1550","   1.543","  27.940","   7.761","   0.434","  16.111","   4.475"," 47","0"," 43"," 47","   0.838","   7.383","   2.051","  45.000","    0","    0"
"00:36:06:125","324051055874026","  10.056","   1.391"," 1593"," 1200"," 2800"," 1688","   1.648","  29.599","   8.222","   0.522","  16.637","   4.621"," 47","0"," 43"," 47","   0.844","   8.233","   2.287","  45.000","    0","    0"
"00:36:07:132","324053377317764","  11.064","   1.416"," 2042"," 1200"," 4700"," 2103","   2.068","  31.683","   8.801","   1.138","  17.783","   4.940"," 46","0"," 43"," 52","   0.712","   8.951","   2.486","  45.000","    0","    0"
"00:36:08:140","324055698378860","  12.071","   2.084"," 2549"," 1200"," 3700"," 3133","   2.693","  34.396","   9.555","   1.797","  19.593","   5.443"," 46","0"," 43"," 54","   0.740","   9.696","   2.693","  45.000","    0","    0"
"00:36:09:145","324058014523240","  13.076","   1.050"," 1497"," 1200"," 3500"," 1505","   1.089","  35.491","   9.859","   0.409","  20.004","   5.557"," 46","0"," 43"," 47","   0.664","  10.363","   2.879","  45.000","    0","    0"
