"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:33:59:638","340348339471076","   1.000","  30.571"," 3684"," 1200"," 4300"," 4728","  32.855","  32.865","   9.129","  31.118","  31.127","   8.646"," 57","0"," 34"," 59","   1.427","   1.428","   0.397","  45.000","    0","    0"
"02:34:00:655","340350683719502","   2.018","  61.645"," 3764"," 3500"," 4100"," 4800","  63.323","  97.294","  27.026","  61.040","  93.232","  25.898"," 57","0"," 43"," 62","   2.015","   3.477","   0.966","  45.000","  350","  333"
"02:34:01:662","340353003342060","   3.025","  73.619"," 3784"," 3300"," 4400"," 4800","  70.962"," 168.736","  46.871","  67.352"," 161.041","  44.734"," 56","0"," 52"," 65","   3.079","   6.577","   1.827","  45.000","  300","  333"
"02:34:02:663","340355308271100","   4.025","  21.831"," 3905"," 1200"," 4300"," 4703","  39.851"," 208.603","  57.945","  36.182"," 197.238","  54.788"," 44","0"," 42"," 63","   1.599","   8.176","   2.271","  45.000","    0","    0"
"02:34:03:663","340357613243004","   5.025","  44.118"," 3822"," 1200"," 4300"," 4737","  49.298"," 257.922","  71.645","  46.735"," 243.993","  67.776"," 63","0"," 41"," 67","   2.040","  10.217","   2.838","  45.000","    0","    0"
"02:34:04:671","340359935964002","   6.033","  26.680"," 3669"," 1200"," 4500"," 4761","  30.412"," 288.581","  80.161","  27.506"," 271.722","  75.478"," 57","0"," 42"," 63","   1.794","  12.025","   3.340","  45.000","    0","    0"
"02:34:05:680","340362259408704","   7.042","  65.885"," 2901"," 1900"," 4300"," 4581","  38.089"," 326.992","  90.831","  32.488"," 304.484","  84.579"," 54","0"," 43"," 62","   3.075","  15.126","   4.202","  45.000","    0","    0"
"02:34:06:686","340364579045734","   8.049","  11.278"," 3381"," 1200"," 4100"," 4341","  15.102"," 342.196","  95.054","  13.153"," 317.726","  88.257"," 50","0"," 40"," 58","   1.265","  16.400","   4.556","  45.000","  550","  533"
"02:34:07:687","340366885513464","   9.050","  61.590"," 2849"," 2300"," 3700"," 4800","  38.532"," 380.770"," 105.769","  30.510"," 348.269","  96.741"," 51","0"," 44"," 56","   3.332","  19.736","   5.482","  45.000"," 1150"," 1200"
"02:34:08:695","340369206779090","  10.057","  15.679"," 3114"," 1200"," 3700"," 4380","  16.068"," 396.958"," 110.266","  12.960"," 361.327"," 100.368"," 50","0"," 42"," 56","   1.538","  21.285","   5.913","  45.000","  500","  500"
"02:34:09:701","340371524665516","  11.063","  31.742"," 2616"," 1200"," 3600"," 4322","  20.104"," 417.184"," 115.884","  14.485"," 375.898"," 104.416"," 46","0"," 43"," 52","   2.285","  23.584","   6.551","  45.000","    0","    0"
"02:34:10:709","340373846800520","  12.071","  14.341"," 2781"," 1200"," 3700"," 4017","  13.154"," 430.442"," 119.567","  10.177"," 386.155"," 107.265"," 46","0"," 42"," 52","   1.467","  25.063","   6.962","  45.000","    0","    0"
"02:34:11:717","340376169306646","  13.079","  30.439"," 2736"," 1200"," 3700"," 4654","  21.584"," 452.200"," 125.611","  15.589"," 401.869"," 111.630"," 48","0"," 41"," 54","   2.110","  27.190","   7.553","  45.000","    0","    0"
"02:34:12:725","340378491465842","  14.087","   9.829"," 3220"," 1200"," 3700"," 4141","  13.159"," 465.462"," 129.295","  10.394"," 412.345"," 114.540"," 48","0"," 42"," 55","   1.300","  28.499","   7.916","  45.000","    0","    0"
"02:34:13:728","340380803439424","  15.090","   8.295"," 2989"," 1200"," 3600"," 3693","   9.894"," 475.390"," 132.053","   7.685"," 420.057"," 116.682"," 47","0"," 42"," 53","   1.337","  29.841","   8.289","  45.000","    0","    0"
"02:34:14:734","340383120035562","  16.096","   7.411"," 2348"," 1200"," 3600"," 2496","   6.037"," 481.460"," 133.739","   4.461"," 424.542"," 117.928"," 46","0"," 42"," 49","   1.081","  30.928","   8.591","  45.000","  350","  333"
"02:34:15:743","340385446200990","  17.105","   6.139"," 2400"," 1200"," 3700"," 2625","   5.126"," 486.636"," 135.177","   3.916"," 428.495"," 119.026"," 50","0"," 42"," 53","   0.927","  31.864","   8.851","  45.000","  350","  333"
