"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"06:06:05:594","369668596548740","   1.006","   1.584"," 1614"," 1200"," 3100"," 1628","   1.413","   1.421","   0.395","   0.562","   0.565","   0.157"," 35","0"," 31"," 35","   0.734","   0.738","   0.205","  45.000","    0","    0"
"06:06:06:610","369670935980694","   2.021","   2.580"," 2557"," 1200"," 3700"," 3020","   3.058","   4.526","   1.257","   2.257","   2.857","   0.794"," 34","0"," 31"," 42","   0.702","   1.450","   0.403","  45.000","    0","    0"
"06:06:07:613","369673247721576","   3.024","   1.288"," 1459"," 1200"," 3400"," 1464","   1.263","   5.793","   1.609","   0.438","   3.297","   0.916"," 34","0"," 31"," 36","   0.722","   2.174","   0.604","  45.000","    0","    0"
"06:06:08:616","369675558071118","   4.027","   2.471"," 2421"," 1200"," 3700"," 2888","   2.651","   8.451","   2.348","   1.874","   5.176","   1.438"," 35","0"," 31"," 41","   0.696","   2.872","   0.798","  45.000","    0","    0"
"06:06:09:619","369677869317114","   5.030","   1.180"," 1571"," 1200"," 2600"," 1593","   1.287","   9.742","   2.706","   0.438","   5.615","   1.560"," 34","0"," 31"," 35","   0.719","   3.593","   0.998","  45.000","    0","    0"
"06:06:10:628","369680192967324","   6.039","   1.795"," 1958"," 1200"," 3600"," 2075","   1.640","  11.396","   3.166","   0.918","   6.542","   1.817"," 35","0"," 31"," 36","   0.680","   4.279","   1.189","  45.000","    0","    0"
"06:06:11:636","369682517081348","   7.048","   1.378"," 1582"," 1200"," 3100"," 1583","   1.164","  12.570","   3.492","   0.483","   7.029","   1.952"," 35","0"," 31"," 35","   0.671","   4.956","   1.377","  45.000","    0","    0"
"06:06:12:642","369684833511386","   8.053","   1.190"," 1448"," 1200"," 2500"," 1461","   1.064","  13.640","   3.789","   0.392","   7.423","   2.062"," 35","0"," 30"," 36","   0.667","   5.627","   1.563","  45.000","    0","    0"
"06:06:13:642","369687138490968","   9.053","   8.780"," 1742"," 1200"," 4700"," 1819","   5.784","  19.426","   5.396","   4.248","  11.673","   3.242"," 60","0"," 31"," 61","   0.763","   6.391","   1.775","  45.000","    0","    0"
"06:06:14:643","369689443544580","  10.054","   6.826"," 2322"," 1200"," 4800"," 2416","   9.996","  29.427","   8.174","   7.792","  19.468","   5.408"," 36","0"," 32"," 64","   0.836","   7.227","   2.007","  45.000","    0","    0"
