"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:23:01:171","285026065770054","   1.000","  44.170"," 3812"," 2300"," 4400"," 4792","  51.519","  51.524","  14.312","  49.434","  49.439","  13.733"," 58","0"," 33"," 61","   1.660","   1.660","   0.461","  45.000","    0","    0"
"23:23:02:177","285028385711374","   2.007","  75.187"," 3594"," 2800"," 4100"," 4800","  63.409"," 115.372","  32.048","  60.038"," 109.892","  30.526"," 56","0"," 43"," 59","   2.779","   4.458","   1.238","  45.000","    0","    0"
"23:23:03:183","285030701357436","   3.012","  52.221"," 3407"," 2500"," 3700"," 4800","  44.706"," 160.303","  44.529","  40.678"," 150.776","  41.882"," 47","0"," 40"," 56","   2.815","   7.287","   2.024","  45.000","    0","    0"
"23:23:04:190","285033023645172","   4.020","  65.328"," 2795"," 1200"," 3600"," 4770","  32.175"," 192.734","  53.537","  27.352"," 178.345","  49.540"," 48","0"," 38"," 50","   3.149","  10.461","   2.906","  45.000","  850","  833"
"23:23:05:197","285035342439748","   5.026","  29.685"," 3623"," 1200"," 4300"," 4736","  37.472"," 230.447","  64.013","  34.999"," 213.569","  59.325"," 53","0"," 40"," 58","   1.767","  12.239","   3.400","  45.000","    0","    0"
"23:23:06:197","285037647490976","   6.027","  34.840"," 3601"," 1800"," 3700"," 4778","  41.356"," 271.822","  75.506","  38.638"," 252.225","  70.063"," 45","0"," 42"," 55","   2.179","  14.419","   4.005","  45.000","    0","    0"
"23:23:07:199","285039956113726","   7.029","  58.843"," 2940"," 1200"," 3700"," 4775","  35.084"," 306.976","  85.271","  30.617"," 282.904","  78.584"," 48","0"," 41"," 51","   3.144","  17.570","   4.880","  45.000","  700","  700"
"23:23:08:207","285042277858862","   8.036","  18.195"," 3367"," 1200"," 3800"," 4600","  21.422"," 328.563","  91.267","  19.424"," 302.477","  84.021"," 42","0"," 40"," 55","   1.486","  19.067","   5.296","  45.000","    0","    0"
"23:23:09:215","285044601036680","   9.045","   2.915"," 2072"," 1200"," 3100"," 2232","   2.469"," 331.053","  91.959","   1.480"," 303.969","  84.436"," 42","0"," 38"," 45","   0.793","  19.867","   5.519","  45.000","    0","    0"
"23:23:10:218","285046912211048","  10.048","   2.782"," 2015"," 1200"," 3000"," 2066","   2.199"," 333.259","  92.572","   1.324"," 305.298","  84.805"," 41","0"," 37"," 44","   0.743","  20.612","   5.726","  45.000","    0","    0"
"23:23:11:227","285049236264406","  11.057","   2.823"," 2058"," 1200"," 3000"," 2110","   2.145"," 335.423","  93.173","   1.371"," 306.680","  85.189"," 41","0"," 37"," 42","   0.696","  21.314","   5.921","  45.000","    0","    0"
"23:23:12:235","285051558539310","  12.064","   8.366"," 2621"," 1200"," 3100"," 3838","   5.593"," 341.060","  94.739","   4.324"," 311.039","  86.400"," 43","0"," 37"," 45","   1.024","  22.346","   6.207","  45.000","    0","    0"
"23:23:13:242","285053879744986","  13.072","   7.149"," 2633"," 1200"," 3600"," 3473","   5.840"," 346.943","  96.373","   4.109"," 315.178","  87.549"," 41","0"," 38"," 47","   1.185","  23.540","   6.539","  45.000","    0","    0"
"23:23:14:244","285056187672124","  14.074","   2.634"," 2015"," 1200"," 3000"," 2096","   2.017"," 348.964","  96.934","   1.270"," 316.450","  87.903"," 41","0"," 37"," 42","   0.690","  24.231","   6.731","  45.000","    0","    0"
"23:23:15:253","285058512189782","  15.083","   2.654"," 2080"," 1200"," 3000"," 2172","   2.267"," 351.251","  97.570","   1.378"," 317.840","  88.289"," 40","0"," 36"," 42","   0.753","  24.990","   6.942","  45.000","    0","    0"
"23:23:16:257","285060825684000","  16.087","   3.395"," 2098"," 1200"," 3600"," 2146","   2.808"," 354.070","  98.353","   1.895"," 319.742","  88.817"," 40","0"," 36"," 42","   0.702","  25.695","   7.138","  45.000","    0","    0"
"23:23:17:261","285063139390018","  17.091","   6.177"," 2663"," 1200"," 4200"," 2983","   6.227"," 360.323"," 100.090","   5.112"," 324.875","  90.243"," 45","0"," 37"," 50","   0.814","  26.513","   7.365","  45.000","    0","    0"
"23:23:18:265","285065452983092","  18.095","   3.228"," 2467"," 1200"," 3800"," 2773","   3.249"," 363.586"," 100.996","   2.445"," 327.330","  90.925"," 40","0"," 36"," 46","   0.702","  27.218","   7.560","  45.000","    0","    0"
"23:23:19:267","285067760924192","  19.097","   1.814"," 1965"," 1200"," 3400"," 1994","   1.695"," 365.284"," 101.468","   0.887"," 328.219","  91.172"," 40","0"," 36"," 42","   0.721","  27.940","   7.761","  45.000","    0","    0"
"23:23:20:273","285070078076192","  20.102","   1.495"," 1543"," 1200"," 3000"," 1559","   1.216"," 366.507"," 101.807","   0.519"," 328.741","  91.317"," 41","0"," 36"," 41","   0.680","  28.623","   7.951","  45.000","    0","    0"
"23:23:21:283","285072406007456","  21.113","   2.249"," 1887"," 1200"," 2900"," 1945","   1.711"," 368.236"," 102.288","   0.986"," 329.738","  91.594"," 39","0"," 36"," 41","   0.685","  29.315","   8.143","  45.000","    0","    0"
"23:23:22:288","285074720420064","  22.117","   2.070"," 1818"," 1200"," 3000"," 1864","   1.614"," 369.857"," 102.738","   0.856"," 330.597","  91.833"," 39","0"," 36"," 41","   0.695","  30.014","   8.337","  45.000","    0","    0"
"23:23:23:295","285077041911452","  23.125","   1.815"," 1759"," 1200"," 3600"," 1777","   1.436"," 371.305"," 103.140","   0.738"," 331.341","  92.039"," 39","0"," 36"," 40","   0.666","  30.684","   8.523","  45.000","    0","    0"
"23:23:24:297","285079349844634","  24.127","   2.725"," 2525"," 1200"," 4400"," 2865","   3.457"," 374.768"," 104.102","   2.596"," 333.941","  92.761"," 39","0"," 36"," 57","   0.736","  31.422","   8.728","  45.000","    0","    0"
"23:23:25:305","285081672434830","  25.135","   2.310"," 1976"," 1200"," 3000"," 2044","   1.869"," 376.652"," 104.626","   1.060"," 335.010","  93.058"," 39","0"," 35"," 41","   0.714","  32.141","   8.928","  45.000","    0","    0"
"23:23:26:313","285083994289488","  26.142","   1.980"," 1818"," 1200"," 2900"," 1829","   1.609"," 378.274"," 105.076","   0.849"," 335.865","  93.296"," 39","0"," 35"," 40","   0.692","  32.839","   9.122","  45.000","    0","    0"
"23:23:27:317","285086306857856","  27.146","   1.842"," 1808"," 1200"," 2900"," 1825","   1.491"," 379.771"," 105.492","   0.772"," 336.640","  93.511"," 39","0"," 35"," 39","   0.666","  33.507","   9.308","  45.000","    0","    0"
"23:23:28:321","285088622001632","  28.151","   2.580"," 2387"," 1200"," 3700"," 2785","   2.692"," 382.476"," 106.243","   1.895"," 338.544","  94.040"," 39","0"," 35"," 45","   0.709","  34.220","   9.506","  45.000","    0","    0"
"23:23:29:323","285090928705866","  29.152","   1.808"," 1791"," 1200"," 3000"," 1833","   1.466"," 383.943"," 106.651","   0.749"," 339.294","  94.248"," 39","0"," 35"," 39","   0.665","  34.886","   9.691","  45.000","    0","    0"
"23:23:30:325","285093239064376","  30.155","   1.823"," 1809"," 1200"," 2900"," 1823","   1.500"," 385.447"," 107.069","   0.749"," 340.045","  94.457"," 38","0"," 35"," 39","   0.682","  35.570","   9.881","  45.000","    0","    0"
"23:23:31:328","285095550529142","  31.158","   2.086"," 1802"," 1200"," 3000"," 1834","   1.613"," 387.066"," 107.518","   0.856"," 340.904","  94.696"," 39","0"," 35"," 39","   0.684","  36.256","  10.071","  45.000","  350","  333"
"23:23:32:338","285097875938152","  32.167","   3.454"," 1924"," 1200"," 3100"," 1937","   2.351"," 389.438"," 108.177","   1.384"," 342.300","  95.083"," 39","0"," 35"," 40","   0.786","  37.049","  10.291","  45.000","  350","  333"
"23:23:33:339","285100183615578","  33.169","   2.569"," 1893"," 1200"," 2900"," 1943","   1.854"," 391.295"," 108.693","   1.068"," 343.370","  95.381"," 39","0"," 35"," 39","   0.717","  37.767","  10.491","  45.000","  350","  333"
"23:23:34:342","285102494211654","  34.172","   3.341"," 1834"," 1200"," 3000"," 1875","   2.261"," 393.562"," 109.323","   1.323"," 344.697","  95.749"," 39","0"," 35"," 40","   0.731","  38.501","  10.695","  45.000","    0","    0"
"23:23:35:344","285104801656938","  35.173","   2.078"," 1801"," 1200"," 3000"," 1818","   1.673"," 395.238"," 109.788","   0.856"," 345.555","  95.987"," 38","0"," 34"," 39","   0.712","  39.214","  10.893","  45.000","  350","  333"
"23:23:36:344","285107107171438","  36.174","   2.330"," 2070"," 1200"," 3500"," 2227","   1.820"," 397.059"," 110.294","   1.128"," 346.683","  96.301"," 38","0"," 34"," 42","   0.684","  39.899","  11.083","  45.000","    0","    0"
"23:23:37:346","285109414631106","  37.175","   1.729"," 1770"," 1200"," 2900"," 1812","   1.462"," 398.524"," 110.701","   0.723"," 347.407","  96.502"," 38","0"," 34"," 39","   0.691","  40.590","  11.275","  45.000","    0","    0"
"23:23:38:347","285111722343474","  38.177","   2.570"," 2354"," 1200"," 3700"," 2708","   2.591"," 401.119"," 111.422","   1.827"," 349.236","  97.010"," 39","0"," 34"," 46","   0.698","  41.289","  11.469","  45.000","  350","  333"
"23:23:39:355","285114044914920","  39.185","   2.046"," 1737"," 1200"," 3100"," 1751","   1.565"," 402.697"," 111.860","   0.779"," 350.022","  97.228"," 37","0"," 34"," 39","   0.701","  41.996","  11.666","  45.000","  350","  333"
"23:23:40:363","285116367074698","  40.193","   1.876"," 1800"," 1200"," 2900"," 1822","   1.565"," 404.274"," 112.298","   0.801"," 350.828","  97.452"," 38","0"," 34"," 39","   0.690","  42.691","  11.859","  45.000","    0","    0"
"23:23:41:366","285118677546118","  41.196","   2.077"," 1886"," 1200"," 3400"," 1904","   1.633"," 405.912"," 112.753","   0.903"," 351.734","  97.704"," 38","0"," 34"," 38","   0.675","  43.368","  12.047","  45.000","    0","    0"
"23:23:42:373","285120998044812","  42.203","   3.476"," 1738"," 1200"," 3000"," 1758","   2.077"," 408.004"," 113.334","   1.220"," 352.963","  98.045"," 37","0"," 34"," 39","   0.690","  44.063","  12.240","  45.000","    0","    0"
"23:23:43:374","285123303630530","  43.203","   4.083"," 1704"," 1200"," 2900"," 1731","   2.317"," 410.322"," 113.978","   1.386"," 354.350","  98.430"," 38","0"," 34"," 40","   0.703","  44.767","  12.435","  45.000","    0","    0"
"23:23:44:381","285125623836144","  44.210","   1.853"," 1825"," 1200"," 3200"," 1864","   1.541"," 411.873"," 114.409","   0.807"," 355.163","  98.656"," 38","0"," 33"," 38","   0.685","  45.456","  12.627","  45.000","    0","    0"
"23:23:45:384","285127935141474","  45.214","   2.202"," 1910"," 1200"," 2900"," 1945","   1.701"," 413.580"," 114.883","   0.944"," 356.110","  98.919"," 37","0"," 33"," 38","   0.684","  46.142","  12.817","  45.000","    0","    0"
"23:23:46:384","285130239701526","  46.214","   2.745"," 2112"," 1200"," 3700"," 2300","   2.363"," 415.944"," 115.540","   1.560"," 357.670","  99.353"," 40","0"," 33"," 44","   0.683","  46.826","  13.007","  45.000","    0","    0"
"23:23:47:388","285132551826596","  47.217","   2.098"," 1816"," 1200"," 3700"," 1831","   1.704"," 417.654"," 116.015","   0.885"," 358.558","  99.599"," 38","0"," 33"," 40","   0.725","  47.553","  13.209","  45.000","    0","    0"
"23:23:48:388","285134856730480","  48.218","   3.175"," 2446"," 1200"," 3700"," 2861","   3.279"," 420.934"," 116.926","   2.443"," 361.001"," 100.278"," 39","0"," 34"," 47","   0.711","  48.264","  13.407","  45.000","    0","    0"
"23:23:49:389","285137162330998","  49.218","   1.815"," 1824"," 1200"," 2900"," 1870","   1.499"," 422.434"," 117.343","   0.790"," 361.792"," 100.498"," 37","0"," 34"," 39","   0.665","  48.930","  13.592","  45.000","    0","    0"
"23:23:50:391","285139471076634","  50.220","   1.970"," 1803"," 1200"," 3300"," 1826","   1.587"," 424.024"," 117.784","   0.834"," 362.628"," 100.730"," 38","0"," 34"," 38","   0.691","  49.623","  13.784","  45.000","    0","    0"
"23:23:51:396","285141787481532","  51.226","   2.070"," 1750"," 1200"," 3000"," 1770","   1.509"," 425.541"," 118.206","   0.795"," 363.428"," 100.952"," 37","0"," 33"," 38","   0.672","  50.298","  13.972","  45.000","    0","    0"

"Total Elapsed Time (sec) = 51.225849"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 425.541321"
"Cumulative Package Energy_0 (mWh) = 118.205922"
"Average Package Power_0 (Watt) = 8.307160"

"Cumulative IA Energy_0 (Joules) = 363.427979"
"Cumulative IA Energy_0 (mWh) = 100.952216"
"Average Package IA_0 (Watt) = 7.094621"

"Cumulative DRAM Energy_0 (Joules) = 50.298096"
"Cumulative DRAM Energy_0 (mWh) = 13.971693"
"Average Package DRAM_0 (Watt) = 0.981889"
