"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"19:01:22:572","248856786395310","   1.003","   1.309"," 1550"," 1200"," 2700"," 1566","   1.250","   1.254","   0.348","   0.455","   0.456","   0.127"," 36","0"," 32"," 37","   0.718","   0.721","   0.200","  45.000","    0","    0"
"19:01:23:579","248859107106336","   2.011","   1.627"," 1924"," 1200"," 3700"," 2163","   1.562","   2.828","   0.785","   0.865","   1.328","   0.369"," 36","0"," 32"," 44","   0.673","   1.398","   0.388","  45.000","    0","    0"
"19:01:24:582","248861416384286","   3.013","   1.562"," 1752"," 1200"," 3700"," 2012","   1.409","   4.240","   1.178","   0.723","   2.053","   0.570"," 38","0"," 32"," 39","   0.672","   2.072","   0.575","  45.000","    0","    0"
"19:01:25:592","248863743507802","   4.023","   1.720"," 2352"," 1200"," 3700"," 2708","   2.021","   6.281","   1.745","   1.322","   3.388","   0.941"," 36","0"," 32"," 43","   0.678","   2.756","   0.766","  45.000","    0","    0"
"19:01:26:592","248866048620480","   5.023","   1.261"," 1492"," 1200"," 3100"," 1511","   1.067","   7.348","   2.041","   0.423","   3.811","   1.059"," 36","0"," 32"," 36","   0.662","   3.419","   0.950","  45.000","    0","    0"
"19:01:27:595","248868358158838","   6.026","   1.114"," 1572"," 1200"," 2500"," 1592","   1.201","   8.552","   2.376","   0.422","   4.234","   1.176"," 36","0"," 32"," 37","   0.708","   4.128","   1.147","  45.000","    0","    0"
"19:01:28:602","248870679655858","   7.033","   1.444"," 1436"," 1200"," 2500"," 1446","   1.113","   9.673","   2.687","   0.429","   4.667","   1.296"," 36","0"," 32"," 36","   0.663","   4.796","   1.332","  45.000","    0","    0"
"19:01:29:604","248872988670574","   8.036","   0.945"," 1437"," 1200"," 2500"," 1442","   0.960","  10.635","   2.954","   0.334","   5.002","   1.390"," 36","0"," 32"," 36","   0.657","   5.455","   1.515","  45.000","    0","    0"
"19:01:30:614","248875314807396","   9.045","   1.286"," 1627"," 1200"," 3100"," 1647","   1.294","  11.941","   3.317","   0.496","   5.503","   1.529"," 36","0"," 32"," 36","   0.715","   6.176","   1.716","  45.000","    0","    0"
"19:01:31:615","248877620048868","  10.046","   1.538"," 1954"," 1200"," 3700"," 2167","   1.515","  13.457","   3.738","   0.845","   6.348","   1.763"," 36","0"," 32"," 42","   0.670","   6.847","   1.902","  45.000","    0","    0"
"19:01:32:617","248879928677664","  11.048","   2.754"," 2040"," 1200"," 3700"," 2319","   2.378","  15.839","   4.400","   1.466","   7.817","   2.171"," 36","0"," 32"," 43","   0.795","   7.643","   2.123","  45.000","    0","    0"
"19:01:33:619","248882237950902","  12.050","   1.090"," 1431"," 1200"," 3000"," 1433","   1.009","  16.851","   4.681","   0.364","   8.182","   2.273"," 36","0"," 32"," 37","   0.661","   8.305","   2.307","  45.000","    0","    0"
"19:01:34:620","248884545451598","  13.052","   1.112"," 1448"," 1200"," 2500"," 1458","   1.016","  17.868","   4.963","   0.370","   8.553","   2.376"," 36","0"," 32"," 36","   0.663","   8.969","   2.491","  45.000","    0","    0"
"19:01:35:621","248886851703856","  14.052","   2.221"," 2494"," 1200"," 3700"," 3008","   2.480","  20.351","   5.653","   1.745","  10.299","   2.861"," 36","0"," 32"," 41","   0.692","   9.662","   2.684","  45.000","    0","    0"
"19:01:36:622","248889157578116","  15.053","   1.170"," 1692"," 1200"," 3100"," 1717","   1.289","  21.641","   6.011","   0.492","  10.792","   2.998"," 36","0"," 32"," 36","   0.714","  10.376","   2.882","  45.000","    0","    0"
"19:01:37:622","248891462518774","  16.054","   9.118"," 1350","  700"," 3700"," 1481","   3.562","  25.204","   7.001","   1.992","  12.784","   3.551"," 37","0"," 32"," 39","   0.766","  11.142","   3.095","  45.000","    0","    0"

"Total Elapsed Time (sec) = 16.053694"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 25.203674"
"Cumulative Package Energy_0 (mWh) = 7.001021"
"Average Package Power_0 (Watt) = 1.569961"

"Cumulative IA Energy_0 (Joules) = 12.784424"
"Cumulative IA Energy_0 (mWh) = 3.551229"
"Average Package IA_0 (Watt) = 0.796354"

"Cumulative DRAM Energy_0 (Joules) = 11.142273"
"Cumulative DRAM Energy_0 (mWh) = 3.095076"
"Average Package DRAM_0 (Watt) = 0.694063"
