"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:07:27:785","316052731050240","   1.005","   3.745"," 2121"," 1200"," 3700"," 2495","   3.090","   3.106","   0.863","   2.101","   2.113","   0.587"," 39","0"," 34"," 45","   0.789","   0.793","   0.220","  45.000","    0","    0"
"03:07:28:799","316055066703484","   2.019","   1.847"," 1922"," 1200"," 3700"," 2162","   1.704","   4.834","   1.343","   0.956","   3.082","   0.856"," 37","0"," 34"," 46","   0.676","   1.478","   0.411","  45.000","    0","    0"
"03:07:29:800","316057373693400","   3.020","   1.178"," 1430"," 1200"," 2500"," 1442","   1.028","   5.863","   1.629","   0.382","   3.464","   0.962"," 38","0"," 34"," 38","   0.666","   2.145","   0.596","  45.000","    0","    0"
"03:07:30:808","316059695845404","   4.028","   1.334"," 1694"," 1200"," 3100"," 1725","   1.334","   7.208","   2.002","   0.541","   4.010","   1.114"," 37","0"," 34"," 38","   0.715","   2.865","   0.796","  45.000","    0","    0"
"03:07:31:815","316062015887804","   5.035","   1.170"," 1492"," 1200"," 2800"," 1517","   1.054","   8.270","   2.297","   0.411","   4.423","   1.229"," 37","0"," 33"," 38","   0.661","   3.531","   0.981","  45.000","    0","    0"
"03:07:32:825","316064341794752","   6.045","   3.017"," 2262"," 1200"," 3700"," 2612","   2.803","  11.100","   3.083","   1.879","   6.320","   1.756"," 37","0"," 34"," 43","   0.805","   4.344","   1.207","  45.000","    0","    0"
"03:07:33:832","316066662772018","   7.052","   1.181"," 1484"," 1200"," 3200"," 1492","   1.060","  12.167","   3.380","   0.404","   6.727","   1.869"," 37","0"," 34"," 38","   0.664","   5.013","   1.392","  45.000","    0","    0"
"03:07:34:833","316068969949006","   8.053","   1.091"," 1508"," 1200"," 2500"," 1523","   1.173","  13.342","   3.706","   0.397","   7.124","   1.979"," 38","0"," 34"," 38","   0.708","   5.722","   1.589","  45.000","    0","    0"
"03:07:35:841","316071292171176","   9.061","   1.440"," 1790"," 1200"," 2900"," 1925","   1.247","  14.598","   4.055","   0.595","   7.724","   2.145"," 37","0"," 34"," 38","   0.667","   6.395","   1.776","  45.000","    0","    0"
"03:07:36:848","316073611558368","  10.068","   1.176"," 1512"," 1200"," 2700"," 1549","   1.067","  15.672","   4.353","   0.411","   8.137","   2.260"," 37","0"," 33"," 38","   0.663","   7.062","   1.962","  45.000","    0","    0"
"03:07:37:858","316075938536724","  11.078","   1.724"," 2377"," 1200"," 4400"," 2752","   2.319","  18.014","   5.004","   1.612","   9.765","   2.713"," 38","0"," 33"," 56","   0.664","   7.733","   2.148","  45.000","    0","    0"
"03:07:38:863","316078254648388","  12.083","   1.193"," 1534"," 1200"," 2900"," 1544","   1.210","  19.231","   5.342","   0.430","  10.198","   2.833"," 37","0"," 33"," 38","   0.711","   8.448","   2.347","  45.000","    0","    0"
"03:07:39:869","316080571910998","  13.089","   1.229"," 1565"," 1200"," 2500"," 1588","   1.245","  20.482","   5.690","   0.459","  10.659","   2.961"," 37","0"," 33"," 38","   0.713","   9.165","   2.546","  45.000","    0","    0"
"03:07:40:875","316082889246258","  14.095","   1.349"," 1557"," 1200"," 3000"," 1575","   1.270","  21.760","   6.044","   0.478","  11.139","   3.094"," 37","0"," 34"," 38","   0.712","   9.881","   2.745","  45.000","    0","    0"
"03:07:41:878","316085199949096","  15.098","   1.111"," 1549"," 1200"," 3000"," 1573","   1.045","  22.808","   6.336","   0.409","  11.550","   3.208"," 37","0"," 33"," 38","   0.662","  10.545","   2.929","  45.000","    0","    0"
"03:07:42:887","316087525685228","  16.107","   2.696"," 2936"," 1200"," 4400"," 3566","   3.944","  26.789","   7.442","   3.159","  14.739","   4.094"," 37","0"," 34"," 51","   0.724","  11.276","   3.132","  45.000","    0","    0"
