"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"19:41:33:762","254412014470008","   1.002","   1.353"," 1590"," 1200"," 2800"," 1611","   1.316","   1.318","   0.366","   0.494","   0.494","   0.137"," 36","0"," 32"," 36","   0.720","   0.721","   0.200","  45.000","    0","    0"
"19:41:34:771","254414338879624","   2.011","   1.686"," 1942"," 1200"," 3800"," 2102","   1.799","   3.133","   0.870","   0.986","   1.489","   0.414"," 36","0"," 33"," 45","   0.713","   1.441","   0.400","  45.000","    0","    0"
"19:41:35:781","254416667148086","   3.021","   2.241"," 2408"," 1200"," 3700"," 2850","   2.535","   5.694","   1.582","   1.730","   3.238","   0.899"," 36","0"," 32"," 43","   0.714","   2.162","   0.601","  45.000","  350","  333"
"19:41:36:786","254418981207954","   4.025","   1.111"," 1626"," 1200"," 3000"," 1663","   1.163","   6.861","   1.906","   0.446","   3.686","   1.024"," 36","0"," 32"," 36","   0.689","   2.854","   0.793","  45.000","    0","    0"
"19:41:37:787","254421288049354","   5.027","   1.018"," 1596"," 1200"," 2500"," 1632","   1.095","   7.958","   2.211","   0.399","   4.085","   1.135"," 36","0"," 32"," 36","   0.676","   3.532","   0.981","  45.000","  350","  333"
"19:41:38:796","254423613548242","   6.036","   1.086"," 1550"," 1200"," 2600"," 1596","   1.105","   9.073","   2.520","   0.413","   4.502","   1.251"," 36","0"," 32"," 36","   0.681","   4.219","   1.172","  45.000","    0","    0"
"19:41:39:798","254425920723542","   7.037","   1.122"," 1483"," 1200"," 2500"," 1510","   1.041","  10.115","   2.810","   0.387","   4.890","   1.358"," 36","0"," 32"," 36","   0.664","   4.884","   1.357","  45.000","    0","    0"
"19:41:40:799","254428228616870","   8.039","   1.150"," 1561"," 1200"," 2900"," 1601","   1.070","  11.187","   3.108","   0.427","   5.318","   1.477"," 36","0"," 32"," 36","   0.661","   5.546","   1.540","  45.000","  350","  333"
"19:41:41:802","254430537986816","   9.041","   1.104"," 1574"," 1200"," 2800"," 1601","   1.052","  12.241","   3.400","   0.405","   5.723","   1.590"," 36","0"," 32"," 36","   0.662","   6.209","   1.725","  45.000","  350","  333"
"19:41:42:808","254432857286948","  10.048","   0.962"," 1485"," 1200"," 2500"," 1516","   1.034","  13.282","   3.690","   0.368","   6.094","   1.693"," 36","0"," 32"," 36","   0.668","   6.882","   1.912","  45.000","    0","    0"
"19:41:43:817","254435181445614","  11.057","   1.126"," 1741"," 1200"," 3600"," 1963","   1.152","  14.445","   4.012","   0.496","   6.595","   1.832"," 36","0"," 32"," 37","   0.659","   7.546","   2.096","  45.000","    0","    0"
"19:41:44:825","254437503255874","  12.065","   2.696"," 2653"," 1200"," 3700"," 3469","   3.098","  17.566","   4.880","   2.294","   8.906","   2.474"," 37","0"," 32"," 45","   0.727","   8.279","   2.300","  45.000","    0","    0"
"19:41:45:831","254439821748282","  13.071","   2.349"," 2355"," 1200"," 3700"," 2765","   2.587","  20.170","   5.603","   1.715","  10.632","   2.953"," 36","0"," 32"," 43","   0.733","   9.016","   2.504","  45.000","    0","    0"
"19:41:46:835","254442135042230","  14.075","   1.535"," 1592"," 1200"," 3200"," 1607","   1.236","  21.410","   5.947","   0.541","  11.175","   3.104"," 36","0"," 32"," 37","   0.677","   9.696","   2.693","  45.000","    0","    0"
"19:41:47:841","254444453014990","  15.081","   2.222"," 2356"," 1200"," 3700"," 2890","   2.354","  23.779","   6.605","   1.646","  12.831","   3.564"," 36","0"," 32"," 42","   0.689","  10.389","   2.886","  45.000","    0","    0"
"19:41:48:843","254446761051044","  16.083","   1.107"," 1557"," 1200"," 2500"," 1575","   1.179","  24.959","   6.933","   0.409","  13.241","   3.678"," 36","0"," 32"," 37","   0.706","  11.096","   3.082","  45.000","    0","    0"

"Total Elapsed Time (sec) = 16.082648"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 24.959351"
"Cumulative Package Energy_0 (mWh) = 6.933153"
"Average Package Power_0 (Watt) = 1.551943"

"Cumulative IA Energy_0 (Joules) = 13.240784"
"Cumulative IA Energy_0 (mWh) = 3.677995"
"Average Package IA_0 (Watt) = 0.823296"

"Cumulative DRAM Energy_0 (Joules) = 11.096191"
"Cumulative DRAM Energy_0 (mWh) = 3.082275"
"Average Package DRAM_0 (Watt) = 0.689948"
