"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:06:24:968","83667619041774","   1.005","   5.515"," 4290"," 1200"," 4700"," 4521","  18.956","  19.044","   5.290","  17.722","  17.804","   4.946"," 38","0"," 36"," 64","   0.715","   0.719","   0.200","  45.000","    0","    0"
"23:06:25:976","83669940423200","   2.012","   3.050"," 2792"," 1200"," 3900"," 3200","   3.845","  22.918","   6.366","   2.991","  20.818","   5.783"," 38","0"," 34"," 46","   0.713","   1.437","   0.399","  45.000","    0","    0"
"23:06:26:980","83672254231204","   3.017","   1.142"," 1453"," 1200"," 2700"," 1466","   1.200","  24.123","   6.701","   0.384","  21.203","   5.890"," 37","0"," 33"," 38","   0.707","   2.147","   0.596","  45.000","    0","    0"
"23:06:27:983","83674563771770","   4.019","   1.771"," 2082"," 1200"," 3700"," 2343","   1.767","  25.894","   7.193","   1.025","  22.230","   6.175"," 37","0"," 33"," 43","   0.675","   2.824","   0.784","  45.000","    0","    0"
"23:06:28:988","83676879564552","   5.024","   1.215"," 1505"," 1200"," 2800"," 1529","   1.144","  27.045","   7.512","   0.443","  22.676","   6.299"," 36","0"," 33"," 37","   0.670","   3.498","   0.972","  45.000","    0","    0"
"23:06:29:991","83679189962756","   6.027","   1.165"," 1674"," 1200"," 3000"," 1766","   1.237","  28.285","   7.857","   0.484","  23.161","   6.434"," 37","0"," 33"," 37","   0.693","   4.193","   1.165","  45.000","  350","  333"
"23:06:30:993","83681498625760","   7.029","   1.176"," 1448"," 1200"," 2500"," 1461","   1.123","  29.411","   8.170","   0.401","  23.563","   6.545"," 37","0"," 33"," 36","   0.685","   4.879","   1.355","  45.000","  350","  333"
"23:06:31:995","83683807019012","   8.031","   5.558"," 1466"," 1200"," 2500"," 1481","   2.543","  31.959","   8.878","   1.405","  24.971","   6.936"," 37","0"," 33"," 37","   0.693","   5.574","   1.548","  45.000","  350","  333"
"23:06:32:998","83686119382618","   9.035","   1.084"," 1616"," 1200"," 2900"," 1646","   1.170","  33.133","   9.204","   0.433","  25.405","   7.057"," 36","0"," 33"," 37","   0.685","   6.262","   1.740","  45.000","    0","    0"
"23:06:33:999","83688424911612","  10.036","   1.567"," 1631"," 1200"," 3000"," 1721","   1.396","  34.530","   9.592","   0.558","  25.964","   7.212"," 37","0"," 33"," 36","   0.718","   6.981","   1.939","  45.000","    0","    0"
"23:06:35:001","83690732631824","  11.037","   1.061"," 1426"," 1200"," 2500"," 1446","   1.047","  35.579","   9.883","   0.383","  26.347","   7.319"," 36","0"," 33"," 36","   0.663","   7.645","   2.124","  45.000","    0","    0"
"23:06:36:001","83693037654244","  12.038","   2.664"," 2841"," 1200"," 4300"," 3266","   3.679","  39.259","  10.905","   2.837","  29.185","   8.107"," 36","0"," 32"," 44","   0.705","   8.350","   2.319","  45.000","    0","    0"
"23:06:37:005","83695349664960","  13.041","   1.002"," 1443"," 1200"," 3300"," 1447","   1.035","  40.298","  11.194","   0.371","  29.557","   8.210"," 35","0"," 32"," 36","   0.663","   9.015","   2.504","  45.000","    0","    0"
"23:06:38:005","83697655003438","  14.042","   1.757"," 1889"," 1200"," 3600"," 2106","   1.665","  41.964","  11.657","   0.818","  30.375","   8.438"," 36","0"," 32"," 40","   0.724","   9.740","   2.705","  45.000","    0","    0"
"23:06:39:006","83699961444858","  15.043","   1.638"," 1514"," 1200"," 2800"," 1542","   1.284","  43.249","  12.014","   0.521","  30.897","   8.582"," 36","0"," 32"," 36","   0.673","  10.413","   2.892","  45.000","    0","    0"
"23:06:40:009","83702271394018","  16.046","   1.039"," 1440"," 1200"," 2600"," 1448","   1.046","  44.299","  12.305","   0.371","  31.268","   8.686"," 36","0"," 32"," 36","   0.663","  11.078","   3.077","  45.000","  350","  333"
"23:06:41:013","83704585103136","  17.050","   1.186"," 1518"," 1200"," 2800"," 1534","   1.127","  45.430","  12.620","   0.436","  31.706","   8.807"," 36","0"," 32"," 36","   0.667","  11.748","   3.263","  45.000","    0","    0"

"Total Elapsed Time (sec) = 17.049748"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 45.430359"
"Cumulative Package Energy_0 (mWh) = 12.619544"
"Average Package Power_0 (Watt) = 2.664577"

"Cumulative IA Energy_0 (Joules) = 31.706055"
"Cumulative IA Energy_0 (mWh) = 8.807237"
"Average Package IA_0 (Watt) = 1.859620"

"Cumulative DRAM Energy_0 (Joules) = 11.748047"
"Cumulative DRAM Energy_0 (mWh) = 3.263346"
"Average Package DRAM_0 (Watt) = 0.689045"
