"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:52:26:283","114912577968452","   1.006","  54.314"," 3721"," 1200"," 4300"," 4781","  55.056","  55.413","  15.392","  52.863","  53.206","  14.779"," 58","0"," 31"," 61","   1.933","   1.946","   0.541","  45.000","    0","    0"
"02:52:27:290","114914898213606","   2.014","  63.741"," 3705"," 3400"," 4400"," 4797","  61.247"," 117.092","  32.526","  58.268"," 111.885","  31.079"," 56","0"," 42"," 62","   2.375","   4.338","   1.205","  45.000","  400","  400"
"02:52:28:297","114917218179978","   3.020","  62.672"," 3400"," 2800"," 3700"," 4800","  48.889"," 166.320","  46.200","  45.506"," 157.706","  43.807"," 51","0"," 42"," 56","   2.963","   7.321","   2.034","  45.000","    0","    0"
"02:52:29:308","114919547181304","   4.031","  51.696"," 3760"," 3100"," 4200"," 4800","  49.474"," 216.331","  60.092","  46.519"," 204.730","  56.870"," 53","0"," 43"," 56","   1.919","   9.261","   2.573","  45.000","  350","  333"
"02:52:30:309","114921851900944","   5.032","  57.687"," 2960"," 2300"," 4100"," 4800","  36.029"," 252.371","  70.103","  31.571"," 236.311","  65.642"," 52","0"," 42"," 56","   2.936","  12.199","   3.389","  45.000","    0","    0"
"02:52:31:318","114924177308846","   6.041","  32.016"," 3655"," 1200"," 4300"," 4745","  39.623"," 292.361","  81.212","  37.379"," 274.038","  76.122"," 55","0"," 42"," 58","   1.784","  13.999","   3.889","  45.000","    0","    0"
"02:52:32:324","114926496714366","   7.048","  34.497"," 3493"," 1400"," 4100"," 4771","  38.462"," 331.081","  91.967","  35.699"," 309.975","  86.104"," 51","0"," 43"," 57","   2.177","  16.191","   4.497","  45.000","    0","    0"
"02:52:33:333","114928819700448","   8.056","  54.061"," 3033"," 2300"," 3800"," 4800","  38.044"," 369.439"," 102.622","  33.367"," 343.618","  95.449"," 49","0"," 43"," 56","   3.118","  19.335","   5.371","  45.000","    0","    0"
"02:52:34:338","114931135916974","   9.061","  10.869"," 3347"," 1200"," 4100"," 4302","  13.718"," 383.230"," 106.453","  12.127"," 355.809","  98.836"," 43","0"," 40"," 59","   1.181","  20.522","   5.701","  45.000","    0","    0"
"02:52:35:348","114933463199032","  10.071","   3.286"," 2134"," 1200"," 3100"," 2261","   2.627"," 385.884"," 107.190","   1.698"," 357.523","  99.312"," 43","0"," 39"," 45","   0.756","  21.286","   5.913","  45.000","  400","  400"
"02:52:36:356","114935786115738","  11.079","   3.189"," 2007"," 1200"," 3100"," 2044","   2.425"," 388.328"," 107.869","   1.505"," 359.041","  99.734"," 42","0"," 39"," 45","   0.751","  22.043","   6.123","  45.000","    0","    0"
"02:52:37:362","114938103969826","  12.085","   2.659"," 2108"," 1200"," 3400"," 2250","   2.103"," 390.444"," 108.457","   1.343"," 360.393"," 100.109"," 41","0"," 39"," 44","   0.694","  22.741","   6.317","  45.000","    0","    0"
"02:52:38:366","114940416566216","  13.089","  11.783"," 2786"," 1200"," 3600"," 3993","   7.944"," 398.417"," 110.671","   6.469"," 366.886"," 101.913"," 46","0"," 38"," 48","   1.215","  23.961","   6.656","  45.000","    0","    0"
"02:52:39:367","114942721645582","  14.090","  13.247"," 2260","  700"," 3900"," 2750","   9.765"," 408.187"," 113.385","   7.426"," 374.316"," 103.977"," 42","0"," 39"," 49","   1.208","  25.169","   6.992","  45.000","    0","    0"
"02:52:40:367","114945026944882","  15.090","  10.465"," 2697"," 1100"," 4600"," 2908","  12.476"," 420.670"," 116.853","  10.191"," 384.513"," 106.809"," 43","0"," 39"," 62","   1.012","  26.182","   7.273","  45.000","    0","    0"
"02:52:41:367","114947331699648","  16.090","   9.887"," 2135"," 1200"," 4500"," 2183","   6.931"," 427.604"," 118.779","   5.385"," 389.900"," 108.306"," 43","0"," 39"," 52","   0.876","  27.058","   7.516","  45.000","    0","    0"
"02:52:42:372","114949645331148","  17.095","   2.795"," 2180"," 1200"," 3400"," 2290","   2.685"," 430.300"," 119.528","   1.576"," 391.482"," 108.745"," 42","0"," 38"," 46","   0.843","  27.905","   7.751","  45.000","    0","    0"
"02:52:43:378","114951963551802","  18.101","   4.798"," 2508"," 1200"," 3700"," 2781","   4.761"," 435.091"," 120.858","   3.448"," 394.951"," 109.709"," 41","0"," 38"," 50","   0.930","  28.841","   8.011","  45.000","    0","    0"
"02:52:44:387","114954289361856","  19.110","   2.794"," 2062"," 1200"," 3000"," 2117","   2.494"," 437.608"," 121.558","   1.340"," 396.304"," 110.085"," 42","0"," 38"," 44","   0.859","  29.708","   8.252","  45.000","    0","    0"
"02:52:45:390","114956600669284","  20.113","   1.854"," 1962"," 1200"," 3000"," 2082","   1.996"," 439.611"," 122.114","   0.828"," 397.135"," 110.315"," 41","0"," 37"," 43","   0.888","  30.599","   8.500","  45.000","    0","    0"
"02:52:46:400","114958927808598","  21.124","   2.415"," 2088"," 1200"," 3700"," 2550","   2.215"," 441.848"," 122.735","   1.178"," 398.325"," 110.646"," 41","0"," 38"," 43","   0.822","  31.429","   8.730","  45.000","    0","    0"
"02:52:47:404","114961239128026","  22.127","   2.595"," 1911"," 1200"," 3600"," 1984","   1.969"," 443.823"," 123.284","   1.157"," 399.485"," 110.968"," 42","0"," 37"," 42","   0.712","  32.143","   8.929","  45.000","    0","    0"
"02:52:48:407","114963552111506","  23.131","   2.163"," 1916"," 1200"," 3100"," 1971","   1.705"," 445.534"," 123.759","   0.975"," 400.464"," 111.240"," 42","0"," 37"," 42","   0.670","  32.815","   9.115","  45.000","    0","    0"
