"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"20:35:58:746","62871524587104","   1.007","   7.374"," 1473"," 1200"," 3600"," 1482","   3.280","   3.303","   0.918","   1.910","   1.923","   0.534"," 41","0"," 38"," 42","   0.718","   0.723","   0.201","  45.000","  350","  333"
"20:35:59:759","62873857000380","   2.020","   8.361"," 1952"," 1200"," 4400"," 2085","   5.792","   9.167","   2.546","   4.503","   6.482","   1.801"," 41","0"," 37"," 56","   0.738","   1.470","   0.408","  45.000","  400","  400"
"20:36:00:761","62876166632484","   3.022","   7.152"," 1564"," 1200"," 3600"," 1587","   3.369","  12.545","   3.485","   2.047","   8.534","   2.370"," 41","0"," 37"," 43","   0.707","   2.179","   0.605","  45.000","    0","    0"
"20:36:01:763","62878475206550","   4.024","   7.724"," 1841"," 1200"," 4500"," 1880","   4.914","  17.468","   4.852","   3.666","  12.207","   3.391"," 41","0"," 38"," 54","   0.674","   2.854","   0.793","  45.000","    0","    0"
"20:36:02:763","62880780132918","   5.024","   6.951"," 1447"," 1200"," 3600"," 1459","   2.973","  20.442","   5.678","   1.733","  13.941","   3.873"," 41","0"," 37"," 42","   0.647","   3.501","   0.973","  45.000","    0","    0"
"20:36:03:774","62883107843496","   6.035","   7.339"," 1526"," 1200"," 3900"," 1539","   3.339","  23.815","   6.615","   2.012","  15.974","   4.437"," 40","0"," 37"," 48","   0.720","   4.228","   1.175","  45.000","    0","    0"
"20:36:04:783","62885433700698","   7.044","   6.901"," 1440"," 1200"," 3600"," 1453","   2.936","  26.779","   7.439","   1.698","  17.688","   4.913"," 41","0"," 37"," 42","   0.649","   4.884","   1.357","  45.000","    0","    0"
"20:36:05:786","62887744588416","   8.047","   6.976"," 1364"," 1200"," 3600"," 1370","   2.891","  29.679","   8.244","   1.559","  19.252","   5.348"," 40","0"," 37"," 41","   0.700","   5.585","   1.552","  45.000","    0","    0"
"20:36:06:794","62890066143194","   9.055","   6.968"," 1515"," 1200"," 3900"," 1530","   3.153","  32.856","   9.127","   1.915","  21.182","   5.884"," 40","0"," 37"," 45","   0.646","   6.237","   1.732","  45.000","    0","    0"
"20:36:07:800","62892383709244","  10.061","   7.223"," 1503"," 1200"," 3700"," 1518","   3.190","  36.064","  10.018","   1.938","  23.131","   6.425"," 40","0"," 37"," 45","   0.680","   6.921","   1.923","  45.000","    0","    0"
"20:36:08:803","62894696036534","  11.064","   7.602"," 1494"," 1200"," 3600"," 1509","   3.203","  39.278","  10.911","   1.958","  25.096","   6.971"," 40","0"," 37"," 41","   0.674","   7.597","   2.110","  45.000","    0","    0"
"20:36:09:814","62897023860096","  12.074","   7.791"," 1816"," 1200"," 4600"," 1899","   5.245","  44.577","  12.383","   3.995","  29.132","   8.092"," 40","0"," 37"," 57","   0.684","   8.289","   2.302","  45.000","    0","    0"
"20:36:10:819","62899340308334","  13.080","   6.983"," 1341"," 1200"," 3600"," 1346","   2.741","  47.333","  13.148","   1.502","  30.642","   8.512"," 40","0"," 37"," 42","   0.653","   8.945","   2.485","  45.000","    0","    0"
"20:36:11:829","62901667294972","  14.090","   7.875"," 1900"," 1200"," 4400"," 1941","   5.314","  52.700","  14.639","   3.973","  34.655","   9.626"," 40","0"," 37"," 53","   0.739","   9.691","   2.692","  45.000","    0","    0"
"20:36:12:831","62903976227310","  15.092","   7.057"," 1410"," 1200"," 3600"," 1420","   2.902","  55.608","  15.447","   1.662","  36.320","  10.089"," 40","0"," 37"," 42","   0.658","  10.351","   2.875","  45.000","    0","    0"
"20:36:13:839","62906297924524","  16.100","   7.161"," 1408"," 1200"," 3600"," 1416","   2.911","  58.542","  16.262","   1.673","  38.006","  10.557"," 40","0"," 37"," 41","   0.652","  11.008","   3.058","  45.000","    0","    0"
"20:36:14:839","62908602728594","  17.100","   7.089"," 1353"," 1200"," 2800"," 1358","   2.785","  61.328","  17.035","   1.543","  39.549","  10.986"," 41","0"," 37"," 41","   0.651","  11.659","   3.239","  45.000","    0","    0"

"Total Elapsed Time (sec) = 17.099932"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 61.327698"
"Cumulative Package Energy_0 (mWh) = 17.035472"
"Average Package Power_0 (Watt) = 3.586429"

"Cumulative IA Energy_0 (Joules) = 39.549500"
"Cumulative IA Energy_0 (mWh) = 10.985972"
"Average Package IA_0 (Watt) = 2.312845"

"Cumulative DRAM Energy_0 (Joules) = 11.659485"
"Cumulative DRAM Energy_0 (mWh) = 3.238746"
"Average Package DRAM_0 (Watt) = 0.681844"
