"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:31:38:487","277923502556676","   1.006","   2.358"," 1562"," 1200"," 2500"," 1569","   1.621","   1.630","   0.453","   0.708","   0.712","   0.198"," 36","0"," 32"," 36","   0.750","   0.754","   0.209","  45.000","    0","    0"
"22:31:39:502","277925840306866","   2.021","   1.716"," 1932"," 1200"," 3700"," 2196","   1.615","   3.269","   0.908","   0.913","   1.638","   0.455"," 35","0"," 32"," 41","   0.677","   1.441","   0.400","  45.000","    0","    0"
"22:31:40:503","277928148109422","   3.023","   1.301"," 1544"," 1200"," 3100"," 1561","   1.128","   4.399","   1.222","   0.458","   2.097","   0.583"," 35","0"," 31"," 36","   0.672","   2.114","   0.587","  45.000","    0","    0"
"22:31:41:505","277930455628804","   4.024","   2.136"," 2395"," 1200"," 3700"," 2832","   2.334","   6.737","   1.871","   1.587","   3.687","   1.024"," 36","0"," 31"," 43","   0.688","   2.802","   0.778","  45.000","    0","    0"
"22:31:42:507","277932763634354","   5.026","   0.990"," 1471"," 1200"," 2600"," 1485","   0.968","   7.706","   2.141","   0.346","   4.034","   1.120"," 35","0"," 31"," 36","   0.658","   3.462","   0.962","  45.000","    0","    0"
"22:31:43:515","277935086609248","   6.034","   1.170"," 1503"," 1200"," 2500"," 1519","   1.183","   8.899","   2.472","   0.401","   4.438","   1.233"," 36","0"," 31"," 36","   0.711","   4.178","   1.161","  45.000","    0","    0"
"22:31:44:523","277937407366234","   7.042","   1.121"," 1550"," 1200"," 2500"," 1564","   1.055","   9.961","   2.767","   0.401","   4.842","   1.345"," 36","0"," 32"," 36","   0.663","   4.846","   1.346","  45.000","    0","    0"
"22:31:45:530","277939728528084","   8.049","   1.481"," 1581"," 1200"," 2900"," 1608","   1.182","  11.152","   3.098","   0.506","   5.351","   1.486"," 36","0"," 32"," 36","   0.670","   5.521","   1.534","  45.000","    0","    0"
"22:31:46:540","277942054329778","   9.059","   1.843"," 1915"," 1200"," 3700"," 2097","   1.608","  12.775","   3.549","   0.897","   6.257","   1.738"," 36","0"," 31"," 39","   0.675","   6.202","   1.723","  45.000","    0","    0"
"22:31:47:547","277944375507566","  10.066","   1.210"," 1504"," 1200"," 2600"," 1517","   1.045","  13.827","   3.841","   0.408","   6.668","   1.852"," 35","0"," 32"," 36","   0.662","   6.869","   1.908","  45.000","    0","    0"
