"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"04:04:53:572","323991743773248","   1.001","   1.439"," 1562"," 1200"," 2600"," 1602","   1.303","   1.305","   0.362","   0.492","   0.492","   0.137"," 38","0"," 34"," 38","   0.719","   0.720","   0.200","  45.000","  350","  333"
"04:04:54:580","323994065665856","   2.009","   1.679"," 1910"," 1200"," 3700"," 2172","   1.734","   3.052","   0.848","   0.888","   1.387","   0.385"," 38","0"," 34"," 46","   0.722","   1.448","   0.402","  45.000","  350","  333"
"04:04:55:588","323996388056584","   3.017","   1.310"," 1489"," 1200"," 3100"," 1519","   1.139","   4.200","   1.167","   0.451","   1.842","   0.512"," 38","0"," 34"," 39","   0.676","   2.129","   0.591","  45.000","    0","    0"
"04:04:56:590","323998697066486","   4.019","   1.173"," 1597"," 1200"," 3100"," 1622","   1.125","   5.327","   1.480","   0.455","   2.298","   0.638"," 37","0"," 34"," 38","   0.666","   2.796","   0.777","  45.000","    0","    0"
"04:04:57:599","324001022722354","   5.028","   1.070"," 1570"," 1200"," 2900"," 1591","   1.059","   6.396","   1.777","   0.409","   2.710","   0.753"," 37","0"," 34"," 38","   0.662","   3.464","   0.962","  45.000","    0","    0"
"04:04:58:603","324003335436384","   6.032","   1.132"," 1549"," 1200"," 2800"," 1581","   1.081","   7.482","   2.078","   0.417","   3.129","   0.869"," 37","0"," 34"," 38","   0.665","   4.132","   1.148","  45.000","    0","    0"
"04:04:59:612","324005660764914","   7.041","   1.147"," 1519"," 1200"," 2500"," 1530","   1.066","   8.557","   2.377","   0.406","   3.539","   0.983"," 37","0"," 34"," 38","   0.666","   4.804","   1.334","  45.000","    0","    0"
"04:05:00:615","324007971852972","   8.044","   1.287"," 1621"," 1200"," 3100"," 1644","   1.192","   9.753","   2.709","   0.471","   4.011","   1.114"," 37","0"," 34"," 38","   0.692","   5.499","   1.527","  45.000","    0","    0"
"04:05:01:622","324010291174630","   9.051","   1.614"," 1947"," 1200"," 3700"," 2326","   1.541","  11.304","   3.140","   0.842","   4.859","   1.350"," 39","0"," 34"," 40","   0.679","   6.182","   1.717","  45.000","    0","    0"
"04:05:02:627","324012606378816","  10.056","   2.575"," 2121"," 1200"," 3700"," 2329","   2.286","  13.601","   3.778","   1.396","   6.262","   1.739"," 37","0"," 34"," 45","   0.800","   6.986","   1.941","  45.000","    0","    0"
"04:05:03:628","324014913134716","  11.057","   1.237"," 1720"," 1200"," 3600"," 1917","   1.216","  14.818","   4.116","   0.544","   6.806","   1.891"," 37","0"," 34"," 40","   0.664","   7.650","   2.125","  45.000","    0","    0"
"04:05:04:635","324017232300968","  12.064","   1.215"," 1496"," 1200"," 2500"," 1512","   1.092","  15.917","   4.421","   0.427","   7.236","   2.010"," 38","0"," 34"," 38","   0.667","   8.321","   2.312","  45.000","    0","    0"
"04:05:05:645","324019558863532","  13.074","   1.557"," 1827"," 1200"," 3200"," 1873","   1.559","  17.491","   4.859","   0.736","   7.979","   2.216"," 37","0"," 34"," 38","   0.720","   9.048","   2.513","  45.000","    0","    0"
"04:05:06:648","324021870981216","  14.077","   1.198"," 1533"," 1200"," 2900"," 1550","   1.075","  18.571","   5.159","   0.417","   8.398","   2.333"," 37","0"," 34"," 38","   0.665","   9.715","   2.699","  45.000","    0","    0"
"04:05:07:651","324024181512480","  15.080","   1.137"," 1517"," 1200"," 2500"," 1535","   1.211","  19.785","   5.496","   0.410","   8.809","   2.447"," 37","0"," 34"," 38","   0.715","  10.432","   2.898","  45.000","    0","    0"
"04:05:08:652","324026488530828","  16.081","   1.184"," 1488"," 1200"," 2500"," 1502","   1.072","  20.858","   5.794","   0.398","   9.208","   2.558"," 38","0"," 34"," 38","   0.667","  11.101","   3.083","  45.000","    0","    0"

"Total Elapsed Time (sec) = 16.081210"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 20.858154"
"Cumulative Package Energy_0 (mWh) = 5.793932"
"Average Package Power_0 (Watt) = 1.297051"

"Cumulative IA Energy_0 (Joules) = 9.207886"
"Cumulative IA Energy_0 (mWh) = 2.557746"
"Average Package IA_0 (Watt) = 0.572587"

"Cumulative DRAM Energy_0 (Joules) = 11.100525"
"Cumulative DRAM Energy_0 (mWh) = 3.083479"
"Average Package DRAM_0 (Watt) = 0.690279"
