"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"20:55:04:510","264574357064736","   1.002","   1.403"," 1554"," 1200"," 2500"," 1573","   1.264","   1.267","   0.352","   0.464","   0.465","   0.129"," 33","0"," 30"," 34","   0.720","   0.721","   0.200","  45.000","    0","    0"
"20:55:05:522","264576687275658","   2.014","   2.257"," 2283"," 1200"," 3700"," 2598","   2.246","   3.538","   0.983","   1.526","   2.009","   0.558"," 33","0"," 30"," 42","   0.685","   1.414","   0.393","  45.000","    0","    0"
"20:55:06:528","264579006256008","   3.020","   1.803"," 1864"," 1200"," 3700"," 2096","   1.608","   5.156","   1.432","   0.907","   2.922","   0.812"," 34","0"," 30"," 42","   0.674","   2.093","   0.581","  45.000","    0","    0"
"20:55:07:534","264581323049604","   4.026","   1.100"," 1508"," 1200"," 2500"," 1519","   1.019","   6.181","   1.717","   0.385","   3.309","   0.919"," 33","0"," 30"," 35","   0.662","   2.758","   0.766","  45.000","    0","    0"
"20:55:08:543","264583648798444","   5.035","   1.415"," 1640"," 1200"," 2900"," 1695","   1.318","   7.512","   2.087","   0.535","   3.849","   1.069"," 34","0"," 30"," 35","   0.713","   3.478","   0.966","  45.000","    0","    0"
"20:55:09:551","264585970917660","   6.043","   1.158"," 1511"," 1200"," 2500"," 1524","   1.045","   8.565","   2.379","   0.396","   4.248","   1.180"," 33","0"," 30"," 34","   0.664","   4.147","   1.152","  45.000","    0","    0"
"20:55:10:557","264588287642436","   7.049","   1.427"," 1541"," 1200"," 3100"," 1561","   1.280","   9.851","   2.736","   0.486","   4.737","   1.316"," 33","0"," 30"," 35","   0.712","   4.863","   1.351","  45.000","    0","    0"
"20:55:11:557","264590592862052","   8.049","   1.758"," 2359"," 1200"," 3700"," 2881","   2.052","  11.905","   3.307","   1.341","   6.079","   1.689"," 43","0"," 30"," 43","   0.688","   5.551","   1.542","  45.000","    0","    0"
"20:55:12:562","264592909110806","   9.054","   2.111"," 2614"," 1200"," 3700"," 3163","   2.811","  14.731","   4.092","   1.955","   8.045","   2.235"," 34","0"," 30"," 43","   0.738","   6.293","   1.748","  45.000","    0","    0"
"20:55:13:564","264595217510364","  10.056","   1.079"," 1687"," 1200"," 3000"," 1757","   1.077","  15.810","   4.392","   0.437","   8.483","   2.356"," 33","0"," 30"," 35","   0.659","   6.952","   1.931","  45.000","    0","    0"
"20:55:14:565","264597523236032","  11.057","   1.133"," 1515"," 1200"," 2500"," 1517","   1.024","  16.835","   4.676","   0.389","   8.872","   2.464"," 33","0"," 30"," 35","   0.663","   7.616","   2.116","  45.000","    0","    0"
"20:55:15:568","264599835227648","  12.060","   1.488"," 1528"," 1200"," 2800"," 1571","   1.163","  18.002","   5.001","   0.480","   9.354","   2.598"," 33","0"," 30"," 34","   0.666","   8.284","   2.301","  45.000","    0","    0"
"20:55:16:574","264602152333152","  13.066","   1.527"," 1648"," 1200"," 3200"," 1675","   1.348","  19.358","   5.377","   0.552","   9.909","   2.752"," 34","0"," 29"," 34","   0.718","   9.006","   2.502","  45.000","    0","    0"
"20:55:17:580","264604470645316","  14.072","   1.080"," 1573"," 1200"," 2500"," 1595","   1.203","  20.568","   5.713","   0.430","  10.341","   2.873"," 34","0"," 30"," 34","   0.705","   9.716","   2.699","  45.000","    0","    0"
"20:55:18:581","264606775435270","  15.073","   2.853"," 2120"," 1200"," 3700"," 2329","   2.246","  22.815","   6.338","   1.504","  11.845","   3.290"," 34","0"," 30"," 36","   0.696","  10.411","   2.892","  45.000","    0","    0"
"20:55:19:585","264609088616768","  16.077","   8.748"," 2407","  700"," 4800"," 2606","  10.764","  33.622","   9.339","   8.507","  20.387","   5.663"," 36","0"," 31"," 48","   0.854","  11.268","   3.130","  45.000","    0","    0"

"Total Elapsed Time (sec) = 16.076574"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 33.621704"
"Cumulative Package Energy_0 (mWh) = 9.339362"
"Average Package Power_0 (Watt) = 2.091348"

"Cumulative IA Energy_0 (Joules) = 20.386536"
"Cumulative IA Energy_0 (mWh) = 5.662927"
"Average Package IA_0 (Watt) = 1.268090"

"Cumulative DRAM Energy_0 (Joules) = 11.268433"
"Cumulative DRAM Energy_0 (mWh) = 3.130120"
"Average Package DRAM_0 (Watt) = 0.700923"
