"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"09:30:59:062","170006983812524","   1.006","  56.153"," 3755"," 3500"," 4400"," 4800","  59.294","  59.650","  16.570","  56.981","  57.323","  15.923"," 58","0"," 39"," 62","   2.053","   2.065","   0.574","  45.000","  300","  333"
"09:31:00:069","170009303666138","   2.013","  77.155"," 3117"," 2500"," 4000"," 3962","  45.566"," 105.529","  29.314","  42.706"," 100.323","  27.867"," 51","0"," 42"," 61","   2.602","   4.685","   1.302","  45.000","    0","    0"
"09:31:01:070","170011608728504","   3.013","  85.326"," 2184","  700"," 3700"," 4169","  30.322"," 135.865","  37.740","  27.456"," 127.792","  35.498"," 50","0"," 39"," 55","   2.470","   7.157","   1.988","  45.000","  350","  333"
"09:31:02:079","170013933884970","   4.023","  71.650"," 2602"," 2500"," 3000"," 2643","  29.216"," 165.350","  45.930","  25.975"," 154.005","  42.779"," 46","0"," 43"," 50","   2.805","   9.988","   2.774","  45.000","  600","  600"
"09:31:03:088","170016259776834","   5.032","  81.350"," 2564"," 2200"," 3000"," 4699","  32.606"," 198.266","  55.074","  25.325"," 179.571","  49.881"," 48","0"," 44"," 51","   3.646","  13.668","   3.797","  45.000"," 1050"," 1033"
"09:31:04:098","170018587059994","   6.042","  55.367"," 2672","  700"," 3800"," 4133","  31.247"," 229.829","  63.841","  27.198"," 207.043","  57.512"," 48","0"," 41"," 61","   2.215","  15.906","   4.418","  45.000","    0","    0"
"09:31:05:099","170020891898858","   7.042","  52.181"," 3349"," 2300"," 4100"," 4787","  47.124"," 276.970","  76.936","  43.920"," 250.979","  69.717"," 52","0"," 44"," 58","   2.397","  18.304","   5.084","  45.000","    0","    0"
"09:31:06:102","170023203428394","   8.046","  56.775"," 3251"," 2800"," 3700"," 4800","  43.856"," 320.970","  89.158","  40.299"," 291.410","  80.947"," 55","0"," 49"," 58","   2.944","  21.258","   5.905","  45.000","    0","    0"
"09:31:07:104","170025512771418","   9.048","  52.488"," 3086"," 2300"," 4100"," 4773","  39.495"," 360.556"," 100.155","  35.393"," 326.885","  90.801"," 51","0"," 48"," 60","   2.818","  24.082","   6.689","  45.000","  900","  900"
"09:31:08:111","170027833268576","  10.055","  69.294"," 2513"," 2200"," 2600"," 2600","  30.412"," 391.186"," 108.663","  23.368"," 350.419","  97.339"," 50","0"," 47"," 52","   3.260","  27.365","   7.601","  45.000","    0","    0"
