"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:45:46:141","80813407368602","   1.005","  13.972"," 3592"," 1200"," 4300"," 4512","  20.699","  20.800","   5.778","  19.366","  19.461","   5.406"," 40","0"," 30"," 53","   1.102","   1.108","   0.308","  45.000","    0","    0"
"22:45:47:148","80815729650372","   2.013","   4.457"," 3389"," 1200"," 4600"," 3926","   8.637","  29.506","   8.196","   7.530","  27.051","   7.514"," 34","0"," 31"," 53","   0.796","   1.910","   0.531","  45.000","  450","  433"
"22:45:48:156","80818052071598","   3.021","   2.948"," 2504"," 1200"," 3700"," 3057","   3.100","  32.631","   9.064","   2.305","  29.374","   8.159"," 34","0"," 30"," 40","   0.703","   2.618","   0.727","  45.000","  450","  433"
"22:45:49:163","80820372014252","   4.028","   2.461"," 2511"," 1200"," 3800"," 3108","   2.890","  35.541","   9.872","   2.005","  31.393","   8.720"," 33","0"," 30"," 41","   0.727","   3.350","   0.931","  45.000","  450","  433"
"22:45:50:169","80822689518786","   5.034","   2.436"," 2455"," 1200"," 4400"," 2928","   2.801","  38.358","  10.655","   2.048","  33.453","   9.293"," 34","0"," 30"," 40","   0.684","   4.038","   1.122","  45.000","  350","  333"
"22:45:51:175","80825006700032","   6.039","  10.707"," 2858"," 1200"," 4600"," 3158","  14.446","  52.887","  14.691","  12.361","  45.885","  12.746"," 44","0"," 30"," 59","   0.905","   4.949","   1.375","  45.000","    0","    0"
"22:45:52:175","80827311601452","   7.040","   8.255"," 2472"," 1200"," 4800"," 2658","   9.926","  62.817","  17.449","   8.081","  53.969","  14.991"," 35","0"," 31"," 50","   0.897","   5.846","   1.624","  45.000","    0","    0"
"22:45:53:176","80829618293796","   8.041","   8.063"," 2333"," 1200"," 4600"," 2464","   8.243","  71.070","  19.742","   6.790","  60.767","  16.880"," 36","0"," 32"," 53","   0.843","   6.690","   1.858","  45.000","    0","    0"
"22:45:54:185","80831941113164","   9.049","   2.707"," 2603"," 1200"," 3700"," 3272","   3.438","  74.537","  20.705","   2.296","  63.082","  17.523"," 34","0"," 31"," 42","   0.854","   7.551","   2.098","  45.000","    0","    0"
"22:45:55:190","80834258483232","  10.055","   2.712"," 2671"," 1200"," 3800"," 3262","   3.488","  78.045","  21.679","   2.275","  65.370","  18.158"," 35","0"," 31"," 41","   0.896","   8.452","   2.348","  45.000","    0","    0"
"22:45:56:193","80836567396138","  11.057","   5.919"," 3281"," 1200"," 4600"," 3746","  10.296","  88.363","  24.545","   8.990","  74.380","  20.661"," 53","0"," 31"," 57","   0.911","   9.365","   2.601","  45.000","    0","    0"
"22:45:57:197","80838881802266","  12.061","   8.115"," 2051"," 1200"," 4700"," 2140","   7.154","  95.549","  26.541","   5.580","  79.985","  22.218"," 36","0"," 32"," 56","   0.866","  10.235","   2.843","  45.000","    0","    0"
"22:45:58:198","80841188498472","  13.063","   3.063"," 2779"," 1200"," 4800"," 3089","   4.706"," 100.260","  27.850","   3.696","  83.685","  23.246"," 35","0"," 31"," 53","   0.750","  10.986","   3.052","  45.000","    0","    0"
"22:45:59:207","80843512403812","  14.071","   2.215"," 2645"," 1200"," 3800"," 3249","   2.729"," 103.013","  28.615","   1.971","  85.673","  23.798"," 34","0"," 31"," 41","   0.696","  11.687","   3.246","  45.000","    0","    0"
"22:46:00:209","80845820157312","  15.073","   2.915"," 2541"," 1200"," 4400"," 2902","   3.357"," 106.375","  29.549","   2.425","  88.102","  24.473"," 36","0"," 31"," 41","   0.755","  12.444","   3.457","  45.000","  350","  333"
"22:46:01:211","80848130952140","  16.076","   3.190"," 2940"," 1200"," 4400"," 3427","   4.738"," 111.127","  30.869","   3.945","  92.059","  25.572"," 45","0"," 31"," 50","   0.707","  13.153","   3.654","  45.000","    0","    0"
"22:46:02:222","80850458506826","  17.086","   3.690"," 3020"," 1200"," 4400"," 3676","   5.226"," 116.407","  32.335","   4.249","  96.351","  26.764"," 35","0"," 31"," 48","   0.769","  13.929","   3.869","  45.000","    0","    0"

"Total Elapsed Time (sec) = 17.086041"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 116.406677"
"Cumulative Package Energy_0 (mWh) = 32.335188"
"Average Package Power_0 (Watt) = 6.812970"

"Cumulative IA Energy_0 (Joules) = 96.351440"
"Cumulative IA Energy_0 (mWh) = 26.764289"
"Average Package IA_0 (Watt) = 5.639191"

"Cumulative DRAM Energy_0 (Joules) = 13.929443"
"Cumulative DRAM Energy_0 (mWh) = 3.869290"
"Average Package DRAM_0 (Watt) = 0.815253"
