"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:53:02:795","106702412261648","   1.003","   2.423"," 1497"," 1200"," 2900"," 1509","   1.572","   1.577","   0.438","   0.664","   0.667","   0.185"," 35","0"," 32"," 36","   0.744","   0.747","   0.207","  45.000","    0","    0"
"01:53:03:804","106704737994778","   2.012","   2.071"," 1998"," 1200"," 3700"," 2246","   1.880","   3.475","   0.965","   1.082","   1.759","   0.489"," 35","0"," 31"," 43","   0.713","   1.466","   0.407","  45.000","  400","  400"
"01:53:04:806","106707046517212","   3.014","   1.265"," 1484"," 1200"," 2500"," 1497","   1.105","   4.583","   1.273","   0.412","   2.172","   0.603"," 35","0"," 32"," 36","   0.680","   2.147","   0.596","  45.000","    0","    0"
"01:53:05:809","106709357640278","   4.017","   1.020"," 1425"," 1200"," 2500"," 1437","   0.958","   5.544","   1.540","   0.340","   2.513","   0.698"," 36","0"," 31"," 36","   0.657","   2.806","   0.780","  45.000","    0","    0"
"01:53:06:815","106711674274780","   5.023","   0.937"," 1429"," 1200"," 2500"," 1442","   0.968","   6.517","   1.810","   0.341","   2.855","   0.793"," 35","0"," 32"," 36","   0.657","   3.466","   0.963","  45.000","    0","    0"
"01:53:07:824","106714000020878","   6.032","   1.245"," 1679"," 1200"," 3000"," 1783","   1.134","   7.661","   2.128","   0.478","   3.337","   0.927"," 36","0"," 31"," 36","   0.675","   4.148","   1.152","  45.000","    0","    0"
"01:53:08:828","106716314302888","   7.037","   2.113"," 2477"," 1200"," 3700"," 2940","   2.397","  10.069","   2.797","   1.661","   5.006","   1.390"," 36","0"," 31"," 43","   0.687","   4.838","   1.344","  45.000","    0","    0"
"01:53:09:829","106718619906184","   8.038","   1.027"," 1515"," 1200"," 2500"," 1544","   0.987","  11.057","   3.071","   0.358","   5.364","   1.490"," 36","0"," 31"," 36","   0.661","   5.500","   1.528","  45.000","    0","    0"
"01:53:10:830","106720924938634","   9.038","   1.974"," 2130"," 1200"," 3700"," 2291","   1.999","  13.056","   3.627","   1.287","   6.652","   1.848"," 40","0"," 31"," 42","   0.673","   6.173","   1.715","  45.000","    0","    0"
"01:53:11:830","106723229293614","  10.038","   1.486"," 2027"," 1200"," 3700"," 2057","   1.597","  14.654","   4.070","   0.847","   7.499","   2.083"," 35","0"," 32"," 42","   0.703","   6.877","   1.910","  45.000","  350","  333"
"01:53:12:831","106725535333322","  11.039","   5.990"," 1690"," 1200"," 3700"," 1776","   2.778","  17.434","   4.843","   1.847","   9.348","   2.597"," 36","0"," 32"," 38","   0.710","   7.587","   2.108","  45.000","    0","    0"
"01:53:13:831","106727840150332","  12.039","   7.920"," 2670"," 1200"," 4800"," 2864","  13.252","  30.691","   8.525","  10.724","  20.076","   5.577"," 39","0"," 32"," 66","   0.900","   8.487","   2.358","  45.000","    0","    0"
"01:53:14:832","106730145585928","  13.040","  20.677"," 2466"," 1200"," 3600"," 2481","  11.917","  42.615","  11.838","  10.297","  30.379","   8.439"," 39","0"," 34"," 41","   0.981","   9.469","   2.630","  45.000","    0","    0"
"01:53:15:841","106732472400252","  14.050","  11.766"," 3169"," 1200"," 4400"," 3412","  12.949","  55.693","  15.470","  11.355","  41.847","  11.624"," 40","0"," 34"," 52","   1.002","  10.480","   2.911","  45.000","    0","    0"
"01:53:16:842","106734777783382","  15.050","   4.343"," 3006"," 1200"," 4100"," 3264","   5.357","  61.053","  16.959","   4.147","  45.996","  12.777"," 36","0"," 33"," 44","   0.920","  11.401","   3.167","  45.000","    0","    0"
"01:53:17:850","106737100241650","  16.058","   1.852"," 2389"," 1200"," 4700"," 2748","   2.492","  63.565","  17.657","   1.491","  47.499","  13.194"," 36","0"," 33"," 42","   0.802","  12.210","   3.392","  45.000","    0","    0"
"01:53:18:860","106739428149306","  17.069","   3.062"," 2708"," 1200"," 3700"," 3381","   3.664","  67.267","  18.685","   2.673","  50.200","  13.944"," 37","0"," 33"," 44","   0.837","  13.056","   3.627","  45.000","    0","    0"
"01:53:19:866","106741745161676","  18.074","   1.322"," 2101"," 1200"," 4800"," 2167","   2.059","  69.337","  19.260","   1.028","  51.234","  14.232"," 37","0"," 33"," 43","   0.781","  13.842","   3.845","  45.000","    0","    0"
"01:53:20:866","106744050016116","  19.075","   2.151"," 2324"," 1200"," 3700"," 2515","   2.160","  71.499","  19.861","   1.552","  52.786","  14.663"," 43","0"," 33"," 43","   0.636","  14.478","   4.022","  45.000","    0","    0"
"01:53:21:872","106746365829910","  20.080","   1.179"," 1829"," 1200"," 3900"," 1833","   1.178","  72.683","  20.190","   0.630","  53.419","  14.839"," 36","0"," 33"," 44","   0.629","  15.110","   4.197","  45.000","    0","    0"
"01:53:22:873","106748674151982","  21.082","   1.843"," 1827"," 1200"," 4700"," 1886","   1.615","  74.301","  20.639","   0.977","  54.398","  15.111"," 36","0"," 33"," 42","   0.608","  15.719","   4.366","  45.000","    0","    0"
"01:53:23:881","106750996602606","  22.090","   1.331"," 1841"," 1200"," 4400"," 1900","   1.291","  75.602","  21.001","   0.722","  55.126","  15.313"," 36","0"," 33"," 40","   0.610","  16.334","   4.537","  45.000","    0","    0"
"01:53:24:891","106753323571564","  23.100","   1.037"," 1543"," 1200"," 3000"," 1623","   0.884","  76.495","  21.249","   0.369","  55.499","  15.416"," 36","0"," 33"," 37","   0.620","  16.960","   4.711","  45.000","    0","    0"
"01:53:25:897","106755640843278","  24.106","   1.002"," 1391"," 1200"," 2800"," 1408","   0.820","  77.320","  21.478","   0.317","  55.817","  15.505"," 36","0"," 33"," 37","   0.611","  17.574","   4.882","  45.000","    0","    0"
"01:53:26:900","106757951473572","  25.108","   0.872"," 1354"," 1200"," 2600"," 1360","   0.797","  78.119","  21.700","   0.278","  56.096","  15.582"," 36","0"," 32"," 36","   0.620","  18.196","   5.054","  45.000","    0","    0"
"01:53:27:908","106760273579086","  26.116","   1.184"," 1785"," 1200"," 3000"," 1884","   1.040","  79.167","  21.991","   0.527","  56.628","  15.730"," 36","0"," 32"," 37","   0.615","  18.815","   5.227","  45.000","    0","    0"
"01:53:28:915","106762594716264","  27.124","   1.944"," 2532"," 1200"," 3700"," 3081","   2.210","  81.394","  22.609","   1.632","  58.271","  16.187"," 37","0"," 33"," 43","   0.644","  19.464","   5.407","  45.000","    0","    0"
"01:53:29:920","106764908631816","  28.128","   0.849"," 1385"," 1200"," 3400"," 1387","   0.772","  82.169","  22.825","   0.282","  58.555","  16.265"," 36","0"," 33"," 37","   0.606","  20.073","   5.576","  45.000","    0","    0"
"01:53:30:926","106767228181868","  29.135","   1.808"," 2436"," 1200"," 3900"," 2603","   2.117","  84.300","  23.417","   1.539","  60.104","  16.696"," 38","0"," 32"," 43","   0.616","  20.694","   5.748","  45.000","    0","    0"
"01:53:31:934","106769549597036","  30.142","   0.996"," 1459"," 1200"," 3500"," 1461","   0.865","  85.172","  23.659","   0.337","  60.444","  16.790"," 36","0"," 32"," 36","   0.624","  21.323","   5.923","  45.000","    0","    0"
