"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"18:46:45:474","47772830106564","   1.007","   1.226"," 1644"," 1200"," 3000"," 1732","   1.259","   1.268","   0.352","   0.463","   0.467","   0.130"," 37","0"," 34"," 38","   0.724","   0.729","   0.203","  45.000","    0","    0"
"18:46:46:487","47775163322568","   2.020","   2.019"," 1505"," 1200"," 2500"," 1518","   1.342","   2.627","   0.730","   0.579","   1.053","   0.292"," 37","0"," 33"," 38","   0.734","   1.473","   0.409","  45.000","    0","    0"
"18:46:47:493","47777482723186","   3.027","   1.148"," 1511"," 1200"," 2700"," 1547","   1.217","   3.852","   1.070","   0.413","   1.468","   0.408"," 37","0"," 33"," 38","   0.732","   2.210","   0.614","  45.000","    0","    0"
"18:46:48:502","47779806655296","   4.035","   1.112"," 1624"," 1200"," 2900"," 1656","   1.234","   5.097","   1.416","   0.449","   1.921","   0.533"," 37","0"," 33"," 38","   0.713","   2.929","   0.814","  45.000","    0","    0"
"18:46:49:511","47782130432428","   5.044","   1.416"," 1712"," 1200"," 3000"," 1788","   1.227","   6.334","   1.759","   0.537","   2.462","   0.684"," 37","0"," 33"," 38","   0.680","   3.615","   1.004","  45.000","  350","  333"
"18:46:50:521","47784458132462","   6.054","   1.080"," 1436"," 1200"," 2500"," 1447","   1.038","   7.382","   2.051","   0.362","   2.827","   0.785"," 37","0"," 33"," 37","   0.685","   4.307","   1.196","  45.000","  350","  333"
"18:46:51:524","47786769847276","   7.058","  10.222"," 1576"," 1200"," 4400"," 1652","   4.390","  11.787","   3.274","   3.071","   5.908","   1.641"," 50","0"," 33"," 51","   0.753","   5.063","   1.406","  45.000","  350","  333"
"18:46:52:530","47789087176560","   8.063","   7.036"," 2705"," 1200"," 4800"," 2839","  12.252","  24.110","   6.697","   9.775","  15.740","   4.372"," 39","0"," 35"," 64","   0.882","   5.950","   1.653","  45.000","    0","    0"
"18:46:53:532","47791395215250","   9.065","   9.533"," 2246"," 1200"," 4600"," 2355","   8.199","  32.323","   8.979","   6.597","  22.349","   6.208"," 41","0"," 35"," 51","   0.904","   6.855","   1.904","  45.000","  400","  400"
"18:46:54:538","47793714213696","  10.072","   1.225"," 1538"," 1200"," 2500"," 1544","   1.491","  33.824","   9.396","   0.414","  22.766","   6.324"," 39","0"," 35"," 39","   0.839","   7.700","   2.139","  45.000","    0","    0"
"18:46:55:543","47796029162412","  11.076","   1.103"," 1467"," 1200"," 2500"," 1479","   1.534","  35.365","   9.824","   0.377","  23.144","   6.429"," 38","0"," 34"," 39","   0.875","   8.579","   2.383","  45.000","    0","    0"
"18:46:56:551","47798352212640","  12.085","   0.831"," 1490"," 1200"," 2500"," 1509","   1.370","  36.746","  10.207","   0.318","  23.465","   6.518"," 38","0"," 34"," 39","   0.842","   9.427","   2.619","  45.000","    0","    0"
"18:46:57:556","47800666643670","  13.089","   1.483"," 1925"," 1200"," 2900"," 2105","   1.712","  38.466","  10.685","   0.642","  24.110","   6.697"," 39","0"," 34"," 39","   0.843","  10.274","   2.854","  45.000","    0","    0"
"18:46:58:556","47802971628402","  14.090","   1.477"," 2103"," 1200"," 4800"," 2162","   2.205","  40.672","  11.298","   1.140","  25.251","   7.014"," 39","0"," 34"," 43","   0.794","  11.068","   3.075","  45.000","    0","    0"
"18:46:59:560","47805282852488","  15.093","   1.687"," 1655"," 1200"," 3600"," 1792","   1.361","  42.037","  11.677","   0.631","  25.884","   7.190"," 38","0"," 34"," 42","   0.671","  11.741","   3.262","  45.000","    0","    0"
"18:47:00:561","47807589021376","  16.094","   1.453"," 1534"," 1200"," 2800"," 1560","   1.252","  43.290","  12.025","   0.484","  26.368","   7.324"," 37","0"," 34"," 39","   0.692","  12.435","   3.454","  45.000","    0","    0"
"18:47:01:569","47809912602912","  17.102","   1.097"," 1701"," 1200"," 3700"," 1730","   1.216","  44.516","  12.366","   0.469","  26.841","   7.456"," 38","0"," 34"," 39","   0.707","  13.147","   3.652","  45.000","    0","    0"

"Total Elapsed Time (sec) = 17.102276"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 44.516235"
"Cumulative Package Energy_0 (mWh) = 12.365621"
"Average Package Power_0 (Watt) = 2.602942"

"Cumulative IA Energy_0 (Joules) = 26.841003"
"Cumulative IA Energy_0 (mWh) = 7.455834"
"Average Package IA_0 (Watt) = 1.569440"

"Cumulative DRAM Energy_0 (Joules) = 13.147095"
"Cumulative DRAM Energy_0 (mWh) = 3.651971"
"Average Package DRAM_0 (Watt) = 0.768734"
