"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"20:49:01:693","64675334865776","   1.000","  58.614"," 3369"," 1800"," 4400"," 4021","  47.983","  47.993","  13.331","  45.799","  45.808","  12.724"," 58","0"," 37"," 63","   1.871","   1.871","   0.520","  45.000","    0","    0"
"20:49:02:717","64677693389792","   2.024","  71.464"," 3643"," 2800"," 4100"," 4800","  62.898"," 112.380","  31.217","  59.770"," 106.992","  29.720"," 57","0"," 45"," 63","   2.668","   4.603","   1.279","  45.000","  450","  433"
"20:49:03:728","64680023897430","   3.035","  78.057"," 3174"," 2800"," 3700"," 4800","  47.408"," 160.333","  44.537","  43.854"," 151.350","  42.042"," 53","0"," 48"," 59","   3.257","   7.897","   2.194","  45.000","  400","  400"
"20:49:04:740","64682355494326","   4.047","  66.938"," 3046"," 2300"," 3700"," 4800","  42.102"," 202.939","  56.372","  36.964"," 188.757","  52.433"," 49","0"," 46"," 57","   3.358","  11.296","   3.138","  45.000","  800","  800"
"20:49:05:742","64684663865130","   5.049","  50.889"," 3105"," 2300"," 4100"," 4800","  39.138"," 242.151","  67.264","  35.617"," 224.442","  62.345"," 54","0"," 45"," 58","   2.372","  13.672","   3.798","  45.000","    0","    0"
"20:49:06:748","64686981267980","   6.055","  45.036"," 3340"," 1200"," 4100"," 4755","  41.354"," 283.746","  78.818","  37.999"," 262.662","  72.962"," 51","0"," 44"," 60","   2.457","  16.143","   4.484","  45.000","    0","    0"
"20:49:07:758","64689308926992","   7.065","  32.880"," 3431"," 1200"," 4100"," 4744","  35.707"," 319.819","  88.839","  33.247"," 296.250","  82.292"," 52","0"," 44"," 61","   1.956","  18.119","   5.033","  45.000","  600","  600"
"20:49:08:767","64691632808074","   8.074","  45.461"," 3231"," 2600"," 3700"," 4800","  37.599"," 357.742","  99.373","  33.594"," 330.134","  91.704"," 55","0"," 46"," 58","   2.617","  20.758","   5.766","  45.000","    0","    0"
"20:49:09:771","64693946217526","   9.078","   8.639"," 3291"," 1200"," 4300"," 4073","  11.370"," 369.158"," 102.544","  10.002"," 340.177","  94.494"," 44","0"," 42"," 59","   1.031","  21.794","   6.054","  45.000","    0","    0"
"20:49:10:780","64696271302250","  10.087","   3.287"," 2260"," 1200"," 3700"," 2404","   3.035"," 372.221"," 103.395","   2.022"," 342.217","  95.060"," 44","0"," 41"," 51","   0.798","  22.599","   6.277","  45.000","    0","    0"
"20:49:11:789","64698595792224","  11.096","   2.676"," 2001"," 1200"," 3100"," 2058","   2.064"," 374.303"," 103.973","   1.288"," 343.516","  95.421"," 43","0"," 41"," 47","   0.691","  23.296","   6.471","  45.000","    0","    0"
"20:49:12:797","64700917854282","  12.104","   2.539"," 2145"," 1200"," 3600"," 2279","   2.161"," 376.481"," 104.578","   1.358"," 344.885","  95.801"," 44","0"," 41"," 46","   0.717","  24.019","   6.672","  45.000","    0","    0"
"20:49:13:802","64703235066636","  13.110","  13.806"," 2803"," 1200"," 4400"," 4203","   9.963"," 386.502"," 107.362","   8.108"," 353.040","  98.067"," 45","0"," 41"," 51","   1.368","  25.395","   7.054","  45.000","    0","    0"
"20:49:14:804","64705542109862","  14.111","   4.801"," 2776"," 1200"," 4400"," 3157","   5.220"," 391.728"," 108.813","   4.057"," 357.102","  99.195"," 43","0"," 41"," 55","   0.857","  26.253","   7.292","  45.000","    0","    0"
"20:49:15:805","64707850183170","  15.113","   4.779"," 2430"," 1200"," 4600"," 2714","   4.376"," 396.112"," 110.031","   3.297"," 360.406"," 100.113"," 44","0"," 40"," 52","   0.822","  27.076","   7.521","  45.000","    0","    0"
"20:49:16:808","64710159007968","  16.115","   3.535"," 2343"," 1200"," 3700"," 2473","   3.219"," 399.338"," 110.927","   2.282"," 362.692"," 100.748"," 43","0"," 41"," 47","   0.757","  27.835","   7.732","  45.000","    0","    0"
"20:49:17:809","64712465515036","  17.116","   3.542"," 2448"," 1200"," 3700"," 2756","   3.333"," 402.674"," 111.854","   2.482"," 365.177"," 101.438"," 42","0"," 40"," 52","   0.739","  28.575","   7.938","  45.000","    0","    0"
"20:49:18:811","64714775100296","  18.118","   2.961"," 2229"," 1200"," 3700"," 2473","   2.619"," 405.300"," 112.583","   1.835"," 367.017"," 101.949"," 43","0"," 40"," 50","   0.696","  29.273","   8.131","  45.000","    0","    0"
"20:49:19:814","64717085573602","  19.121","   3.764"," 2079"," 1200"," 3600"," 2112","   2.937"," 408.245"," 113.401","   1.900"," 368.923"," 102.479"," 43","0"," 40"," 45","   0.778","  30.053","   8.348","  45.000","    0","    0"
"20:49:20:815","64719391761814","  20.122","   3.229"," 2218"," 1200"," 4400"," 2533","   3.021"," 411.269"," 114.241","   2.143"," 371.068"," 103.074"," 42","0"," 40"," 55","   0.688","  30.742","   8.539","  45.000","    0","    0"
"20:49:21:818","64721703873206","  21.126","   2.486"," 1835"," 1200"," 3600"," 1887","   1.844"," 413.119"," 114.755","   1.017"," 372.089"," 103.358"," 42","0"," 39"," 45","   0.711","  31.455","   8.737","  45.000","    0","    0"
"20:49:22:826","64724025745436","  22.133","   2.149"," 1759"," 1200"," 2900"," 1771","   1.638"," 414.770"," 115.214","   0.852"," 372.947"," 103.596"," 42","0"," 39"," 43","   0.706","  32.166","   8.935","  45.000","    0","    0"
"20:49:23:836","64726352228064","  23.143","   1.853"," 1837"," 1200"," 3000"," 1855","   1.510"," 416.295"," 115.638","   0.805"," 373.760"," 103.822"," 42","0"," 39"," 43","   0.664","  32.837","   9.121","  45.000","    0","    0"
"20:49:24:839","64728664369152","  24.147","   2.858"," 2436"," 1200"," 3700"," 2577","   2.995"," 419.301"," 116.472","   2.173"," 375.941"," 104.428"," 42","0"," 39"," 50","   0.709","  33.549","   9.319","  45.000","    0","    0"
"20:49:25:847","64730985552828","  25.154","   2.493"," 2202"," 1200"," 3700"," 2500","   2.312"," 421.630"," 117.120","   1.573"," 377.526"," 104.868"," 48","0"," 39"," 48","   0.679","  34.232","   9.509","  45.000","    0","    0"
"20:49:26:856","64733309797056","  26.163","   2.049"," 1960"," 1200"," 3700"," 2089","   1.845"," 423.492"," 117.637","   1.073"," 378.608"," 105.169"," 42","0"," 39"," 50","   0.687","  34.926","   9.702","  45.000","    0","    0"
"20:49:27:862","64735629149696","  27.169","   2.182"," 1923"," 1200"," 2900"," 1979","   1.726"," 425.229"," 118.119","   1.000"," 379.615"," 105.449"," 41","0"," 38"," 43","   0.667","  35.597","   9.888","  45.000","    0","    0"
"20:49:28:870","64737951111922","  28.177","   2.142"," 1906"," 1200"," 3000"," 1980","   1.754"," 426.997"," 118.610","   0.925"," 380.547"," 105.708"," 41","0"," 39"," 42","   0.736","  36.339","  10.094","  45.000","    0","    0"
"20:49:29:877","64740270881034","  29.184","   1.847"," 1693"," 1200"," 2500"," 1710","   1.450"," 428.456"," 119.016","   0.715"," 381.268"," 105.908"," 41","0"," 38"," 42","   0.674","  37.018","  10.283","  45.000","    0","    0"
"20:49:30:878","64742577514424","  30.185","   1.962"," 1752"," 1200"," 2900"," 1781","   1.475"," 429.933"," 119.426","   0.780"," 382.048"," 106.124"," 41","0"," 38"," 42","   0.667","  37.685","  10.468","  45.000","    0","    0"
"20:49:31:885","64744898477504","  31.193","   2.138"," 1779"," 1200"," 2900"," 1822","   1.655"," 431.600"," 119.889","   0.857"," 382.912"," 106.364"," 40","0"," 38"," 42","   0.700","  38.390","  10.664","  45.000","    0","    0"
"20:49:32:887","64747206071404","  32.194","   2.331"," 2091"," 1200"," 3600"," 2170","   2.037"," 433.640"," 120.456","   1.247"," 384.161"," 106.711"," 41","0"," 38"," 43","   0.706","  39.097","  10.860","  45.000","    0","    0"
"20:49:33:888","64749511695992","  33.195","   2.147"," 1905"," 1200"," 2900"," 1935","   1.697"," 435.339"," 120.927","   0.974"," 385.136"," 106.982"," 41","0"," 38"," 42","   0.670","  39.768","  11.047","  45.000","    0","    0"
"20:49:34:896","64751835472348","  34.203","   3.542"," 2583"," 1200"," 3700"," 2710","   3.690"," 439.061"," 121.961","   2.800"," 387.960"," 107.767"," 42","0"," 38"," 51","   0.751","  40.525","  11.257","  45.000","    0","    0"
"20:49:35:900","64754148458422","  35.207","   2.280"," 1979"," 1200"," 3600"," 2108","   1.900"," 440.969"," 122.491","   1.162"," 389.127"," 108.091"," 42","0"," 38"," 45","   0.672","  41.200","  11.444","  45.000","    0","    0"
"20:49:36:909","64756472473128","  36.216","   2.669"," 2371"," 1200"," 3700"," 2714","   2.701"," 443.693"," 123.248","   1.866"," 391.009"," 108.614"," 40","0"," 37"," 48","   0.731","  41.937","  11.649","  45.000","    0","    0"
