"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"19:52:23:024","255907911916556","   1.001","   2.141"," 1493"," 1200"," 2500"," 1499","   1.493","   1.494","   0.415","   0.595","   0.595","   0.165"," 34","0"," 31"," 36","   0.746","   0.747","   0.207","  45.000","    0","    0"
"19:52:24:032","255910234570944","   2.009","   1.618"," 1910"," 1200"," 3700"," 2149","   1.564","   3.071","   0.853","   0.870","   1.472","   0.409"," 34","0"," 31"," 43","   0.673","   1.425","   0.396","  45.000","    0","    0"
"19:52:25:039","255912554115920","   3.016","   1.096"," 1450"," 1200"," 2500"," 1488","   1.012","   4.090","   1.136","   0.364","   1.839","   0.511"," 34","0"," 31"," 35","   0.664","   2.094","   0.582","  45.000","    0","    0"
"19:52:26:040","255914861334138","   4.017","   1.545"," 1627"," 1200"," 3100"," 1647","   1.227","   5.319","   1.478","   0.535","   2.375","   0.660"," 34","0"," 31"," 36","   0.672","   2.766","   0.768","  45.000","    0","    0"
"19:52:27:041","255917168335598","   5.019","   1.503"," 1634"," 1200"," 3000"," 1654","   1.220","   6.541","   1.817","   0.546","   2.921","   0.811"," 35","0"," 31"," 35","   0.671","   3.438","   0.955","  45.000","    0","    0"
"19:52:28:045","255919479980192","   6.022","   1.078"," 1493"," 1200"," 2500"," 1500","   1.162","   7.707","   2.141","   0.392","   3.314","   0.921"," 34","0"," 31"," 36","   0.709","   4.149","   1.153","  45.000","    0","    0"
"19:52:29:053","255921802369672","   7.030","   1.234"," 1526"," 1200"," 2600"," 1547","   1.229","   8.946","   2.485","   0.441","   3.758","   1.044"," 34","0"," 31"," 35","   0.709","   4.864","   1.351","  45.000","    0","    0"
"19:52:30:063","255924129399940","   8.040","   1.130"," 1435"," 1200"," 2500"," 1448","   1.025","   9.981","   2.772","   0.373","   4.135","   1.149"," 34","0"," 31"," 35","   0.656","   5.526","   1.535","  45.000","    0","    0"
"19:52:31:071","255926452990624","   9.049","   1.932"," 2365"," 1200"," 3700"," 2842","   2.143","  12.142","   3.373","   1.448","   5.596","   1.554"," 35","0"," 31"," 41","   0.683","   6.215","   1.726","  45.000","    0","    0"
"19:52:32:081","255928779787076","  10.058","   2.654"," 2027"," 1200"," 3500"," 2555","   1.871","  14.032","   3.898","   1.120","   6.727","   1.869"," 34","0"," 31"," 37","   0.741","   6.964","   1.934","  45.000","    0","    0"
"19:52:33:088","255931099445120","  11.065","   1.112"," 1442"," 1200"," 2500"," 1451","   1.019","  15.057","   4.183","   0.378","   7.107","   1.974"," 34","0"," 31"," 36","   0.659","   7.627","   2.119","  45.000","    0","    0"
"19:52:34:093","255933414830038","  12.070","   2.029"," 2589"," 1200"," 4700"," 3025","   2.889","  17.960","   4.989","   2.142","   9.260","   2.572"," 34","0"," 31"," 58","   0.668","   8.298","   2.305","  45.000","    0","    0"
"19:52:35:101","255935739076012","  13.079","   1.179"," 1545"," 1200"," 2800"," 1591","   1.085","  19.055","   5.293","   0.420","   9.683","   2.690"," 35","0"," 31"," 35","   0.664","   8.968","   2.491","  45.000","    0","    0"
"19:52:36:102","255938044173814","  14.079","   1.479"," 1716"," 1200"," 3000"," 1786","   1.257","  20.312","   5.642","   0.584","  10.268","   2.852"," 34","0"," 31"," 35","   0.671","   9.639","   2.678","  45.000","    0","    0"
"19:52:37:111","255940369251040","  15.089","   1.151"," 1529"," 1200"," 2900"," 1549","   1.066","  21.387","   5.941","   0.414","  10.685","   2.968"," 34","0"," 31"," 35","   0.662","  10.308","   2.863","  45.000","    0","    0"
"19:52:38:121","255942697254912","  16.099","   0.966"," 1425"," 1200"," 2500"," 1440","   0.964","  22.361","   6.212","   0.348","  11.037","   3.066"," 34","0"," 31"," 35","   0.655","  10.969","   3.047","  45.000","    0","    0"
"19:52:39:131","255945022580210","  17.108","   1.020"," 1453"," 1200"," 2500"," 1463","   1.022","  23.393","   6.498","   0.345","  11.385","   3.162"," 34","0"," 31"," 35","   0.662","  11.638","   3.233","  45.000","    0","    0"
"19:52:40:138","255947343882172","  18.116","   1.074"," 1545"," 1200"," 2700"," 1578","   1.069","  24.470","   6.797","   0.419","  11.807","   3.280"," 35","0"," 31"," 35","   0.662","  12.304","   3.418","  45.000","    0","    0"
