"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:32:55:551","518636099856192","   1.001","   1.453"," 1599"," 1200"," 2900"," 1645","   1.378","   1.379","   0.383","   0.531","   0.531","   0.147"," 35","0"," 31"," 35","   0.726","   0.726","   0.202","  45.000","    0","    0"
"03:32:56:563","518638432115662","   2.013","   2.352"," 2478"," 1200"," 3900"," 2910","   2.879","   4.294","   1.193","   1.999","   2.554","   0.710"," 35","0"," 31"," 45","   0.739","   1.474","   0.409","  45.000","    0","    0"
"03:32:57:568","518640747301270","   3.018","   1.111"," 1412"," 1200"," 2600"," 1454","   1.019","   5.318","   1.477","   0.363","   2.919","   0.811"," 34","0"," 31"," 35","   0.663","   2.140","   0.595","  45.000","    0","    0"
"03:32:58:569","518643052992736","   4.018","   1.082"," 1510"," 1200"," 3100"," 1516","   1.043","   6.362","   1.767","   0.408","   3.327","   0.924"," 34","0"," 31"," 36","   0.661","   2.802","   0.778","  45.000","    0","    0"
"03:32:59:576","518645374074668","   5.026","   1.167"," 1576"," 1200"," 2900"," 1614","   1.205","   7.576","   2.104","   0.439","   3.769","   1.047"," 35","0"," 31"," 35","   0.709","   3.515","   0.977","  45.000","    0","    0"
"03:33:00:577","518647679375738","   6.026","   1.117"," 1616"," 1200"," 2900"," 1678","   1.129","   8.705","   2.418","   0.432","   4.202","   1.167"," 34","0"," 31"," 35","   0.685","   4.201","   1.167","  45.000","    0","    0"
"03:33:01:586","518650004664832","   7.036","   0.972"," 1411"," 1200"," 2500"," 1424","   0.970","   9.684","   2.690","   0.334","   4.538","   1.261"," 35","0"," 31"," 35","   0.658","   4.865","   1.351","  45.000","    0","    0"
"03:33:02:586","518652309623630","   8.036","   1.069"," 1437"," 1200"," 2500"," 1446","   0.995","  10.679","   2.966","   0.369","   4.907","   1.363"," 35","0"," 31"," 35","   0.661","   5.527","   1.535","  45.000","    0","    0"
"03:33:03:588","518654616771450","   9.037","   1.049"," 1525"," 1200"," 3000"," 1548","   1.046","  11.726","   3.257","   0.395","   5.303","   1.473"," 35","0"," 31"," 35","   0.659","   6.187","   1.719","  45.000","    0","    0"
"03:33:04:590","518656925405380","  10.039","   1.462"," 2041"," 1200"," 3700"," 2459","   1.492","  13.222","   3.673","   0.814","   6.118","   1.700"," 35","0"," 31"," 39","   0.668","   6.856","   1.905","  45.000","    0","    0"
"03:33:05:592","518659234368854","  11.041","   1.612"," 2028"," 1200"," 3700"," 2299","   1.653","  14.878","   4.133","   0.956","   7.076","   1.966"," 35","0"," 31"," 44","   0.673","   7.531","   2.092","  45.000","    0","    0"
"03:33:06:596","518661548033866","  12.046","   1.731"," 2425"," 1200"," 3700"," 2973","   2.086","  16.973","   4.715","   1.392","   8.474","   2.354"," 34","0"," 31"," 40","   0.679","   8.213","   2.281","  45.000","    0","    0"
"03:33:07:603","518663868032626","  13.053","   1.238"," 1548"," 1200"," 3600"," 1564","   1.230","  18.211","   5.059","   0.448","   8.926","   2.479"," 34","0"," 31"," 35","   0.711","   8.929","   2.480","  45.000","    0","    0"
"03:33:08:608","518666183176828","  14.057","   1.105"," 1550"," 1200"," 3100"," 1564","   1.056","  19.273","   5.354","   0.408","   9.336","   2.593"," 34","0"," 31"," 35","   0.666","   9.598","   2.666","  45.000","    0","    0"
"03:33:09:611","518668495233934","  15.061","   1.309"," 1618"," 1200"," 3000"," 1633","   1.264","  20.541","   5.706","   0.479","   9.816","   2.727"," 35","0"," 31"," 35","   0.713","  10.313","   2.865","  45.000","    0","    0"
"03:33:10:612","518670801162330","  16.062","   1.072"," 1484"," 1200"," 2500"," 1502","   1.033","  21.575","   5.993","   0.383","  10.199","   2.833"," 34","0"," 31"," 36","   0.662","  10.975","   3.049","  45.000","    0","    0"
"03:33:11:617","518673117041516","  17.067","   0.976"," 1463"," 1200"," 2600"," 1542","   0.985","  22.565","   6.268","   0.345","  10.546","   2.930"," 34","0"," 31"," 35","   0.657","  11.636","   3.232","  45.000","    0","    0"

"Total Elapsed Time (sec) = 17.066890"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 22.565063"
"Cumulative Package Energy_0 (mWh) = 6.268073"
"Average Package Power_0 (Watt) = 1.322154"

"Cumulative IA Energy_0 (Joules) = 10.546387"
"Cumulative IA Energy_0 (mWh) = 2.929552"
"Average Package IA_0 (Watt) = 0.617944"

"Cumulative DRAM Energy_0 (Joules) = 11.636169"
"Cumulative DRAM Energy_0 (mWh) = 3.232269"
"Average Package DRAM_0 (Watt) = 0.681798"
