"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"19:46:32:635","454164019232572","   1.003","  15.289"," 1673"," 1200"," 4300"," 1718","   6.929","   6.948","   1.930","   5.534","   5.549","   1.541"," 49","0"," 47"," 65","   0.776","   0.778","   0.216","  45.000","    0","    0"
"19:46:33:649","454166355731936","   2.017","  10.925"," 1490"," 1200"," 3600"," 1502","   4.136","  11.143","   3.095","   2.865","   8.454","   2.348"," 50","0"," 46"," 51","   0.673","   1.461","   0.406","  45.000","    0","    0"
"19:46:34:654","454168671129462","   3.022","  19.438"," 1382"," 1200"," 3600"," 1390","   4.463","  15.627","   4.341","   3.183","  11.652","   3.237"," 50","0"," 46"," 51","   0.692","   2.156","   0.599","  45.000","    0","    0"
"19:46:35:658","454170983525128","   4.025","  16.618"," 1489"," 1200"," 3600"," 1501","   5.315","  20.962","   5.823","   4.032","  15.699","   4.361"," 50","0"," 47"," 52","   0.688","   2.847","   0.791","  45.000","    0","    0"
"19:46:36:659","454173289786560","   5.026","  17.562"," 1839"," 1200"," 4200"," 1949","   7.137","  28.106","   7.807","   5.836","  21.541","   5.984"," 60","0"," 46"," 61","   0.736","   3.584","   0.995","  45.000","    0","    0"
"19:46:37:659","454175594527670","   6.027","  78.332"," 1998"," 1200"," 4300"," 2257","  24.250","  52.365","  14.546","  22.467","  44.015","  12.226"," 53","0"," 50"," 69","   1.835","   5.419","   1.505","  45.000","    0","    0"
"19:46:38:667","454177915684282","   7.034","  84.218"," 2087"," 1200"," 4000"," 2301","  29.824","  82.411","  22.892","  27.947","  72.170","  20.047"," 55","0"," 51"," 72","   1.755","   7.187","   1.996","  45.000","    0","    0"
"19:46:39:667","454180220374376","   8.035","  87.363"," 1394"," 1200"," 3600"," 1406","  12.750","  95.165","  26.435","  11.235","  83.409","  23.169"," 53","0"," 50"," 58","   1.283","   8.471","   2.353","  45.000","    0","    0"
"19:46:40:668","454182525546880","   9.035","  82.629"," 1403"," 1200"," 3100"," 1416","  12.723"," 107.894","  29.971","  11.141","  94.556","  26.265"," 53","0"," 50"," 55","   1.268","   9.740","   2.705","  45.000","    0","    0"
"19:46:41:668","454184830983616","  10.036","  87.843"," 1429"," 1200"," 3100"," 1444","  13.225"," 121.128","  33.647","  11.665"," 106.228","  29.508"," 53","0"," 50"," 56","   1.352","  11.092","   3.081","  45.000","    0","    0"
"19:46:42:672","454187143782104","  11.040","  76.480"," 1459"," 1200"," 3600"," 1480","  13.262"," 134.441","  37.345","  11.765"," 118.037","  32.788"," 53","0"," 50"," 58","   1.224","  12.321","   3.423","  45.000","    0","    0"
"19:46:43:678","454189461242506","  12.046","  77.127"," 1524"," 1200"," 3700"," 1556","  14.848"," 149.375","  41.493","  13.175"," 131.289","  36.469"," 54","0"," 51"," 59","   1.423","  13.752","   3.820","  45.000","    0","    0"
"19:46:44:678","454191765840772","  13.046","  63.140"," 2233"," 1200"," 4100"," 2512","  30.797"," 180.180","  50.050","  29.119"," 160.416","  44.560"," 61","0"," 51"," 73","   1.576","  15.328","   4.258","  45.000","    0","    0"
"19:46:45:684","454194082910600","  14.051","  58.962"," 1432"," 1200"," 3700"," 1451","  11.592"," 191.837","  53.288","  10.140"," 170.614","  47.393"," 53","0"," 51"," 61","   1.102","  16.437","   4.566","  45.000","    0","    0"
"19:46:46:685","454196389426876","  15.053","  32.443"," 1492"," 1200"," 3600"," 1503","   8.208"," 200.054","  55.571","   6.852"," 177.473","  49.298"," 53","0"," 50"," 56","   0.881","  17.319","   4.811","  45.000","    0","    0"
"19:46:47:692","454198709316904","  16.060","  17.497"," 1622"," 1200"," 4200"," 1645","   6.709"," 206.809","  57.447","   5.306"," 182.816","  50.782"," 52","0"," 49"," 60","   0.787","  18.111","   5.031","  45.000","    0","    0"
"19:46:48:702","454201036816616","  17.070","  13.561"," 1699"," 1200"," 3800"," 1793","   6.191"," 213.064","  59.184","   4.852"," 187.718","  52.144"," 52","0"," 49"," 60","   0.843","  18.962","   5.267","  45.000","    0","    0"

"Total Elapsed Time (sec) = 17.069756"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 213.063965"
"Cumulative Package Energy_0 (mWh) = 59.184435"
"Average Package Power_0 (Watt) = 12.481957"

"Cumulative IA Energy_0 (Joules) = 187.717957"
"Cumulative IA Energy_0 (mWh) = 52.143877"
"Average Package IA_0 (Watt) = 10.997108"

"Cumulative DRAM Energy_0 (Joules) = 18.961975"
"Cumulative DRAM Energy_0 (mWh) = 5.267215"
"Average Package DRAM_0 (Watt) = 1.110852"
