"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"10:40:47:947","975911311595024","   1.002","  25.932"," 3703"," 1200"," 4400"," 4664","  30.882","  30.951","   8.598","  29.168","  29.233","   8.120"," 54","0"," 32"," 57","   1.342","   1.345","   0.374","  45.000","  400","  400"
"10:40:48:971","975913670938460","   2.026","  64.483"," 3758"," 3400"," 4400"," 4800","  63.917","  96.404","  26.779","  61.612","  92.325","  25.646"," 57","0"," 43"," 60","   2.044","   3.439","   0.955","  45.000","    0","    0"
"10:40:49:975","975915983482620","   3.030","  80.238"," 3224"," 2800"," 3700"," 4800","  49.756"," 146.344","  40.651","  46.029"," 138.525","  38.479"," 48","0"," 45"," 60","   3.303","   6.754","   1.876","  45.000","  400","  400"
"10:40:50:976","975918288587974","   4.030","  61.687"," 2978"," 2300"," 3700"," 4800","  37.481"," 183.843","  51.067","  32.205"," 170.746","  47.429"," 47","0"," 42"," 55","   3.223","   9.979","   2.772","  45.000","  900","  900"
"10:40:51:976","975920593324372","   5.031","  43.243"," 3155"," 2400"," 4300"," 4800","  36.606"," 220.461","  61.239","  32.268"," 203.024","  56.396"," 55","0"," 41"," 61","   2.321","  12.301","   3.417","  45.000","    0","    0"
"10:40:52:981","975922909985320","   6.036","  39.124"," 3485"," 1200"," 4100"," 4776","  40.802"," 261.487","  72.635","  37.511"," 240.742","  66.873"," 51","0"," 40"," 58","   2.361","  14.675","   4.076","  45.000","    0","    0"
"10:40:53:982","975925214607240","   7.036","  46.169"," 3123"," 2400"," 3700"," 4800","  34.995"," 296.492","  82.359","  31.746"," 272.496","  75.693"," 51","0"," 42"," 56","   2.496","  17.172","   4.770","  45.000","    0","    0"
"10:40:54:983","975927520944390","   8.038","  67.827"," 2868"," 2300"," 3600"," 4800","  39.432"," 335.964","  93.323","  31.606"," 304.134","  84.482"," 51","0"," 46"," 54","   3.474","  20.650","   5.736","  45.000"," 1150"," 1200"
"10:40:55:989","975929840277516","   9.044","  31.837"," 2631","  700"," 4300"," 4184","  22.960"," 359.076","  99.743","  16.981"," 321.228","  89.230"," 46","0"," 41"," 59","   2.046","  22.710","   6.308","  45.000","    0","    0"
"10:40:56:990","975932145091868","  10.045","   7.574"," 1976"," 1200"," 4700"," 2023","   6.407"," 365.485"," 101.524","   4.588"," 325.818","  90.505"," 43","0"," 40"," 49","   0.900","  23.610","   6.558","  45.000","    0","    0"
"10:40:57:997","975934466029408","  11.052","  24.881"," 3530"," 1200"," 4500"," 4641","  30.793"," 396.504"," 110.140","  28.281"," 354.306","  98.418"," 51","0"," 40"," 57","   1.842","  25.466","   7.074","  45.000","    0","    0"
"10:40:58:997","975936770858236","  12.052","   3.404"," 2766"," 1200"," 4400"," 3301","   4.871"," 401.377"," 111.494","   3.579"," 357.886","  99.413"," 43","0"," 40"," 56","   0.932","  26.398","   7.333","  45.000","    0","    0"
"10:41:00:007","975939097164058","  13.062","   1.813"," 1593"," 1200"," 2900"," 1637","   2.551"," 403.953"," 112.209","   0.705"," 358.598","  99.611"," 42","0"," 39"," 43","   0.906","  27.312","   7.587","  45.000","  400","  400"
"10:41:01:012","975941412771302","  14.067","  52.762"," 2691"," 1200"," 4400"," 4780","  28.512"," 432.609"," 120.169","  22.204"," 380.914"," 105.810"," 51","0"," 40"," 53","   2.966","  30.293","   8.415","  45.000","    0","    0"
"10:41:02:012","975943717603512","  15.067","  35.660"," 3355"," 2300"," 3700"," 4800","  37.883"," 470.505"," 130.696","  33.565"," 414.491"," 115.136"," 51","0"," 45"," 57","   2.464","  32.758","   9.099","  45.000","  450","  433"
"10:41:03:013","975946022410552","  16.068","  15.984"," 3280"," 1200"," 4400"," 4450","  20.497"," 491.009"," 136.391","  17.714"," 432.211"," 120.059"," 53","0"," 42"," 56","   1.657","  34.416","   9.560","  45.000","  500","  500"
"10:41:04:014","975948329321442","  17.069","  66.016"," 2812"," 2400"," 3700"," 4800","  38.063"," 529.120"," 146.978","  29.304"," 461.553"," 128.209"," 52","0"," 48"," 55","   3.528","  37.948","  10.541","  45.000","    0","    0"
"10:41:05:015","975950634529894","  18.069","  64.366"," 2729"," 2300"," 3100"," 4800","  37.685"," 566.824"," 157.451","  27.100"," 488.667"," 135.741"," 52","0"," 48"," 53","   3.465","  41.415","  11.504","  45.000"," 1150"," 1200"
"10:41:06:024","975952961451364","  19.079","  10.843"," 2682"," 1200"," 3600"," 4040","   9.802"," 576.724"," 160.201","   6.867"," 495.603"," 137.667"," 46","0"," 43"," 53","   1.369","  42.797","  11.888","  45.000","    0","    0"
"10:41:07:030","975955279078092","  20.085","   6.478"," 3076"," 1200"," 3700"," 3968","   7.602"," 584.370"," 162.325","   6.388"," 502.029"," 139.452"," 49","0"," 42"," 58","   0.972","  43.776","  12.160","  45.000","    0","    0"
"10:41:08:034","975957592489916","  21.089","  12.944"," 3214"," 1200"," 3700"," 4257","  15.057"," 599.489"," 166.525","  13.131"," 515.213"," 143.115"," 47","0"," 43"," 56","   1.341","  45.122","  12.534","  45.000","    0","    0"
"10:41:09:044","975959917823590","  22.099","   2.540"," 1921"," 1200"," 3000"," 2004","   2.080"," 601.589"," 167.108","   1.169"," 516.393"," 143.442"," 46","0"," 42"," 50","   0.766","  45.895","  12.748","  45.000","    0","    0"
"10:41:10:047","975962230304756","  23.102","  17.985"," 3307"," 1200"," 4300"," 4179","  21.391"," 623.058"," 173.072","  19.482"," 535.946"," 148.874"," 51","0"," 42"," 58","   1.352","  47.252","  13.126","  45.000","    0","    0"
"10:41:11:052","975964545110658","  24.107","  52.914"," 2941"," 2300"," 4100"," 4800","  34.870"," 658.092"," 182.803","  30.479"," 566.568"," 157.380"," 56","0"," 45"," 58","   3.030","  50.296","  13.971","  45.000","    0","    0"
"10:41:12:060","975966866591440","  25.115","  16.787"," 3558"," 1200"," 3800"," 4665","  25.751"," 684.038"," 190.011","  22.818"," 589.559"," 163.766"," 53","0"," 46"," 60","   1.779","  52.088","  14.469","  45.000","    0","    0"
"10:41:13:067","975969187799468","  26.122","  32.963"," 3103"," 1400"," 3700"," 4771","  31.100"," 715.371"," 198.714","  25.531"," 615.281"," 170.911"," 53","0"," 45"," 56","   2.664","  54.772","  15.214","  45.000"," 1100"," 1100"
"10:41:14:074","975971507003756","  27.129","  30.280"," 2849"," 1200"," 3600"," 4679","  24.992"," 740.528"," 205.702","  18.095"," 633.495"," 175.971"," 48","0"," 45"," 58","   2.556","  57.345","  15.929","  45.000","  550","  533"
"10:41:15:082","975973829873608","  28.137","   7.982"," 3151"," 1200"," 3700"," 3986","   9.812"," 750.420"," 208.450","   8.307"," 641.870"," 178.297"," 48","0"," 44"," 59","   1.108","  58.462","  16.239","  45.000","    0","    0"
"10:41:16:091","975976154866542","  29.146","  20.786"," 3366"," 1200"," 4300"," 4642","  24.180"," 774.820"," 215.228","  21.901"," 663.970"," 184.436"," 48","0"," 44"," 65","   1.736","  60.214","  16.726","  45.000","    0","    0"
"10:41:17:096","975978469758502","  30.151","   1.564"," 1576"," 1200"," 2800"," 1626","   1.233"," 776.059"," 215.572","   0.557"," 664.530"," 184.592"," 47","0"," 43"," 49","   0.669","  60.886","  16.913","  45.000","    0","    0"
"10:41:18:103","975980791554396","  31.158","   4.107"," 2698"," 1200"," 3600"," 3371","   4.724"," 780.820"," 216.894","   3.474"," 668.031"," 185.564"," 46","0"," 43"," 56","   0.937","  61.831","  17.175","  45.000","    0","    0"
"10:41:19:109","975983108953228","  32.164","  13.584"," 3416"," 1200"," 4100"," 4525","  18.692"," 799.621"," 222.117","  16.281"," 684.407"," 190.113"," 48","0"," 43"," 61","   1.516","  63.355","  17.599","  45.000","    0","    0"
"10:41:20:111","975985416967724","  33.166","  13.513"," 3225"," 1200"," 3700"," 4037","  17.177"," 816.827"," 226.896","  13.774"," 698.204"," 193.946"," 49","0"," 44"," 57","   1.594","  64.952","  18.042","  45.000","  650","  633"
"10:41:21:120","975987741339546","  34.175","   8.577"," 2805"," 1200"," 3700"," 3684","   8.827"," 825.732"," 229.370","   6.865"," 705.130"," 195.869"," 48","0"," 44"," 56","   1.210","  66.173","  18.381","  45.000","    0","    0"
