"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"20:25:42:545","180765191147072","   1.000","   6.403"," 1534"," 1200"," 3600"," 1546","   3.179","   3.180","   0.883","   1.880","   1.881","   0.522"," 53","0"," 51"," 56","   0.801","   0.801","   0.222","  45.000","    0","    0"
"20:25:43:567","180767544685148","   2.022","   8.819"," 2229","  700"," 4500"," 2339","   8.666","  12.032","   3.342","   7.406","   9.446","   2.624"," 54","1"," 51"," 67","   0.789","   1.606","   0.446","  45.000","    0","    0"
"20:25:44:568","180769851354152","   3.023","  14.083"," 1976","  700"," 4500"," 2097","  12.087","  24.133","   6.704","   9.506","  18.962","   5.267"," 54","0"," 51"," 74","   0.949","   2.556","   0.710","  45.000","    0","    0"
"20:25:45:576","180772174136354","   4.031","  14.905"," 1542"," 1200"," 3600"," 1561","   5.399","  29.576","   8.216","   3.766","  22.760","   6.322"," 55","0"," 51"," 56","   0.947","   3.511","   0.975","  45.000","    0","    0"
"20:25:46:585","180774498232882","   5.040","  12.887"," 1732"," 1200"," 3600"," 1752","   6.018","  35.647","   9.902","   4.311","  27.108","   7.530"," 54","0"," 51"," 57","   1.020","   4.539","   1.261","  45.000","    0","    0"
"20:25:47:590","180776812821974","   6.044","  14.048"," 1928"," 1200"," 4400"," 2061","   8.571","  44.257","  12.294","   6.445","  33.583","   9.329"," 64","0"," 51"," 66","   1.132","   5.676","   1.577","  45.000","  550","  533"
"20:25:48:598","180779135426702","   7.053","  11.733"," 2140"," 1200"," 3800"," 2311","   9.917","  54.255","  15.071","   6.490","  40.126","  11.146"," 58","0"," 52"," 65","   1.119","   6.804","   1.890","  45.000","  800","  800"
"20:25:49:599","180781441452748","   8.053","  10.007"," 1523"," 1200"," 3600"," 1531","  11.265","  65.530","  18.203","   3.594","  43.723","  12.145"," 60","0"," 51"," 57","   1.140","   7.946","   2.207","  45.000"," 1100"," 1100"
"20:25:50:606","180783762792704","   9.061","  11.378"," 2036"," 1200"," 4500"," 2170","  18.920","  84.592","  23.498","   7.636","  51.417","  14.282"," 61","0"," 52"," 67","   1.199","   9.154","   2.543","  45.000","    0","    0"
"20:25:51:613","180786083216250","  10.068","  10.436"," 1522"," 1200"," 3100"," 1531","  14.969","  99.668","  27.685","   4.339","  55.787","  15.496"," 68","0"," 52"," 57","   1.030","  10.191","   2.831","  45.000"," 1150"," 1200"
"20:25:52:614","180788387896092","  11.069","   6.500"," 1646"," 1200"," 3600"," 1657","   5.371"," 105.041","  29.178","   2.417","  58.204","  16.168"," 55","0"," 52"," 57","   0.785","  10.976","   3.049","  45.000","    0","    0"
"20:25:53:616","180790697119742","  12.071","   8.444"," 1768"," 1200"," 3600"," 1783","  11.269"," 116.335","  32.315","   3.917","  62.130","  17.258"," 57","0"," 52"," 57","   0.984","  11.962","   3.323","  45.000","    0","    0"
"20:25:54:624","180793018901736","  13.079","   5.764"," 1853"," 1200"," 3600"," 1867","   4.327"," 120.696","  33.527","   2.503","  64.652","  17.959"," 62","0"," 52"," 58","   0.816","  12.784","   3.551","  45.000"," 1050"," 1033"
"20:25:55:626","180795327555930","  14.081","   9.992"," 1630"," 1200"," 3500"," 1641","  12.720"," 133.442","  37.067","   4.265","  68.926","  19.146"," 64","0"," 53"," 59","   1.018","  13.804","   3.834","  45.000"," 1150"," 1200"
"20:25:56:626","180797632827328","  15.081","  10.072"," 1681"," 1200"," 3600"," 1692","  14.860"," 148.311","  41.197","   4.711","  73.639","  20.455"," 62","0"," 53"," 58","   1.051","  14.855","   4.126","  45.000","    0","    0"
"20:25:57:628","180799941614792","  16.083","  11.154"," 1554"," 1200"," 3600"," 1562","  14.511"," 162.852","  45.237","   4.490","  78.138","  21.705"," 61","0"," 53"," 58","   1.036","  15.893","   4.415","  45.000"," 1100"," 1100"
