"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"04:56:37:393","251393144361226","   1.000","  11.313"," 2463"," 1200"," 3900"," 2472","   7.465","   7.467","   2.074","   6.289","   6.291","   1.748"," 36","0"," 31"," 41","   0.686","   0.686","   0.191","  45.000","    0","    0"
"04:56:38:399","251395461316302","   2.006","  12.476"," 2603"," 1700"," 4600"," 2623","   9.125","  16.644","   4.623","   8.043","  14.380","   3.994"," 40","0"," 32"," 56","   0.622","   1.312","   0.364","  45.000","    0","    0"
"04:56:39:399","251397766227322","   3.006","  12.553"," 2830"," 1900"," 3600"," 2839","  10.321","  26.969","   7.491","   9.242","  23.626","   6.563"," 40","0"," 33"," 44","   0.619","   1.931","   0.536","  45.000","    0","    0"
"04:56:40:400","251400072305456","   4.007","  12.062"," 3022"," 1200"," 3900"," 3034","  11.994","  38.974","  10.826","  10.882","  34.518","   9.588"," 37","0"," 33"," 46","   0.638","   2.570","   0.714","  45.000","    0","    0"
"04:56:41:402","251402380108214","   5.009","  11.974"," 2476"," 1900"," 3600"," 2484","   7.478","  46.464","  12.907","   6.401","  40.929","  11.369"," 37","0"," 33"," 41","   0.617","   3.188","   0.885","  45.000","    0","    0"
"04:56:42:404","251404690347954","   6.012","  13.075"," 2801"," 1200"," 4400"," 2870","  11.345","  57.840","  16.067","  10.178","  51.135","  14.204"," 44","0"," 33"," 51","   0.692","   3.881","   1.078","  45.000","    0","    0"
"04:56:43:405","251406996528358","   7.013","  12.125"," 2900"," 1900"," 3600"," 2909","  10.632","  68.481","  19.023","   9.552","  60.696","  16.860"," 45","0"," 34"," 45","   0.616","   4.497","   1.249","  45.000","    0","    0"
"04:56:44:406","251409301410528","   8.013","   8.240"," 2252"," 1200"," 3600"," 2264","   6.406","  74.890","  20.803","   5.283","  65.981","  18.328"," 38","0"," 33"," 49","   0.664","   5.162","   1.434","  45.000","    0","    0"
"04:56:45:406","251411606157868","   9.013","   6.871"," 1425"," 1200"," 3600"," 1437","   2.739","  77.630","  21.564","   1.573","  67.554","  18.765"," 36","0"," 33"," 39","   0.681","   5.844","   1.623","  45.000","    0","    0"
"04:56:46:408","251413914569518","  10.015","   6.863"," 1433"," 1200"," 3600"," 1444","   2.645","  80.280","  22.300","   1.563","  69.120","  19.200"," 36","0"," 33"," 37","   0.626","   6.471","   1.797","  45.000","    0","    0"
"04:56:47:418","251416242433686","  11.026","   6.905"," 1411"," 1200"," 3600"," 1422","   2.584","  82.891","  23.025","   1.504","  70.640","  19.622"," 36","0"," 33"," 37","   0.624","   7.101","   1.973","  45.000","    0","    0"
"04:56:48:419","251418547380060","  12.026","   6.838"," 1433"," 1200"," 3600"," 1447","   2.648","  85.540","  23.761","   1.565","  72.205","  20.057"," 36","0"," 33"," 37","   0.621","   7.722","   2.145","  45.000","    0","    0"
"04:56:49:426","251420868408584","  13.033","   6.873"," 1411"," 1200"," 3600"," 1424","   2.607","  88.166","  24.491","   1.526","  73.742","  20.484"," 36","0"," 32"," 37","   0.624","   8.350","   2.319","  45.000","    0","    0"
"04:56:50:430","251423181301824","  14.037","   6.867"," 1336"," 1200"," 3600"," 1342","   2.424","  90.599","  25.166","   1.349","  75.097","  20.860"," 36","0"," 32"," 37","   0.615","   8.967","   2.491","  45.000","    0","    0"
"04:56:51:440","251425508763776","  15.047","   7.181"," 1492"," 1200"," 3600"," 1507","   2.970","  93.600","  26.000","   1.805","  76.920","  21.367"," 36","0"," 32"," 39","   0.675","   9.649","   2.680","  45.000","    0","    0"
"04:56:52:440","251427813404706","  16.048","  11.060"," 2483"," 1200"," 4400"," 2557","   8.336"," 101.938","  28.316","   7.247","  84.168","  23.380"," 39","0"," 32"," 51","   0.655","  10.304","   2.862","  45.000","    0","    0"
"04:56:53:441","251430118268340","  17.048","  11.919"," 2573"," 1200"," 3600"," 2583","   8.218"," 110.159","  30.600","   7.054","  91.225","  25.340"," 39","0"," 34"," 42","   0.665","  10.969","   3.047","  45.000","    0","    0"
"04:56:54:441","251432422613140","  18.048","  12.178"," 2598"," 1900"," 3600"," 2608","   8.444"," 118.604","  32.946","   7.369","  98.596","  27.388"," 39","0"," 34"," 43","   0.615","  11.584","   3.218","  45.000","    0","    0"
"04:56:55:441","251434727612460","  19.049","  11.966"," 2949"," 1900"," 4000"," 2959","  11.073"," 129.682","  36.023","   9.998"," 108.598","  30.166"," 40","0"," 34"," 46","   0.618","  12.202","   3.390","  45.000","    0","    0"
"04:56:56:445","251437039559120","  20.052","  12.239"," 2579"," 1900"," 3600"," 2588","   8.260"," 137.970","  38.325","   7.174"," 115.797","  32.166"," 42","0"," 35"," 44","   0.616","  12.821","   3.561","  45.000","    0","    0"
"04:56:57:449","251439354165898","  21.057","  12.174"," 2563"," 1800"," 3600"," 2570","   8.172"," 146.179","  40.605","   7.111"," 122.940","  34.150"," 42","0"," 34"," 45","   0.616","  13.440","   3.733","  45.000","    0","    0"
"04:56:58:459","251441680757118","  22.066","  12.116"," 2777"," 1900"," 3600"," 2787","   9.869"," 156.145","  43.374","   8.690"," 131.715","  36.588"," 42","0"," 35"," 47","   0.666","  14.112","   3.920","  45.000","    0","    0"
"04:56:59:468","251444004500280","  23.075","  11.408"," 2614"," 1200"," 3600"," 2622","   8.492"," 164.710","  45.753","   7.383"," 139.161","  38.656"," 39","0"," 35"," 49","   0.704","  14.822","   4.117","  45.000","    0","    0"
"04:57:00:472","251446317835962","  24.079","  11.939"," 2547"," 1900"," 3600"," 2557","   8.018"," 172.761","  47.989","   6.909"," 146.098","  40.583"," 40","0"," 35"," 44","   0.634","  15.459","   4.294","  45.000","    0","    0"
"04:57:01:478","251448636011734","  25.085","  12.996"," 2995"," 1900"," 4500"," 3070","  13.437"," 186.280","  51.745","  12.349"," 158.523","  44.034"," 40","0"," 35"," 59","   0.660","  16.123","   4.479","  45.000","    0","    0"
"04:57:02:483","251450950755794","  26.090","  11.100"," 3144"," 1200"," 4600"," 3215","  12.189"," 198.526","  55.146","  11.084"," 169.659","  47.127"," 39","0"," 36"," 53","   0.711","  16.837","   4.677","  45.000","    0","    0"
"04:57:03:483","251453256395148","  27.091","   1.091"," 1433"," 1200"," 2800"," 1450","   0.902"," 199.429","  55.397","   0.349"," 170.008","  47.224"," 37","0"," 34"," 39","   0.656","  17.494","   4.859","  45.000","    0","    0"
"04:57:04:491","251455578184502","  28.098","   1.458"," 1487"," 1200"," 2600"," 1497","   1.155"," 200.593","  55.720","   0.464"," 170.475","  47.354"," 37","0"," 34"," 38","   0.710","  18.209","   5.058","  45.000","    0","    0"
"04:57:05:492","251457885532128","  29.100","   0.847"," 1386"," 1200"," 2800"," 1411","   0.838"," 201.432","  55.953","   0.307"," 170.783","  47.440"," 37","0"," 33"," 37","   0.652","  18.863","   5.240","  45.000","    0","    0"

"Total Elapsed Time (sec) = 29.099769"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 201.431702"
"Cumulative Package Energy_0 (mWh) = 55.953250"
"Average Package Power_0 (Watt) = 6.922106"

"Cumulative IA Energy_0 (Joules) = 170.782532"
"Cumulative IA Energy_0 (mWh) = 47.439592"
"Average Package IA_0 (Watt) = 5.868862"

"Cumulative DRAM Energy_0 (Joules) = 18.862610"
"Cumulative DRAM Energy_0 (mWh) = 5.239614"
"Average Package DRAM_0 (Watt) = 0.648205"
