"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:42:15:011","199640336783740","   1.001","   1.424"," 1558"," 1200"," 2500"," 1577","   1.195","   1.196","   0.332","   0.487","   0.488","   0.136"," 39","0"," 35"," 39","   0.719","   0.720","   0.200","  45.000","    0","    0"
"22:42:16:021","199642665860882","   2.012","   1.711"," 1962"," 1200"," 3700"," 2199","   1.542","   2.756","   0.765","   0.926","   1.424","   0.395"," 39","0"," 35"," 46","   0.674","   1.401","   0.389","  45.000","    0","    0"
"22:42:17:028","199644985455602","   3.019","   1.644"," 2052"," 1200"," 3700"," 2440","   1.596","   4.362","   1.212","   0.995","   2.426","   0.674"," 42","0"," 35"," 45","   0.674","   2.080","   0.578","  45.000","    0","    0"
"22:42:18:033","199647300168200","   4.024","   1.189"," 2159"," 1200"," 3700"," 2479","   1.460","   5.829","   1.619","   0.894","   3.324","   0.923"," 39","0"," 36"," 45","   0.661","   2.744","   0.762","  45.000","    0","    0"
"22:42:19:038","199649616184494","   5.029","   0.922"," 1509"," 1200"," 3100"," 1519","   1.014","   6.848","   1.902","   0.361","   3.686","   1.024"," 39","0"," 35"," 39","   0.699","   3.447","   0.957","  45.000","    0","    0"
"22:42:20:040","199651924508160","   6.031","   0.824"," 1418"," 1200"," 2500"," 1421","   0.854","   7.704","   2.140","   0.322","   4.009","   1.114"," 39","0"," 35"," 39","   0.651","   4.099","   1.139","  45.000","    0","    0"
"22:42:21:040","199654229498586","   7.031","   1.175"," 1778"," 1200"," 2900"," 1900","   1.096","   8.800","   2.444","   0.538","   4.547","   1.263"," 39","0"," 35"," 39","   0.659","   4.758","   1.322","  45.000","    0","    0"
"22:42:22:042","199656536244620","   8.032","   1.047"," 1604"," 1200"," 2700"," 1625","   1.080","   9.881","   2.745","   0.416","   4.964","   1.379"," 39","0"," 35"," 40","   0.705","   5.463","   1.518","  45.000","    0","    0"
"22:42:23:043","199658842964946","   9.033","   0.868"," 1434"," 1200"," 2500"," 1448","   0.868","  10.750","   2.986","   0.332","   5.297","   1.471"," 39","0"," 35"," 39","   0.652","   6.116","   1.699","  45.000","    0","    0"
"22:42:24:046","199661154433006","  10.037","   0.958"," 1457"," 1200"," 2500"," 1470","   0.892","  11.645","   3.235","   0.344","   5.642","   1.567"," 39","0"," 35"," 39","   0.654","   6.772","   1.881","  45.000","    0","    0"
