"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:18:15:041","204617016011972","   1.004","   1.908"," 2452"," 1200"," 3700"," 3110","   2.276","   2.287","   0.635","   1.555","   1.562","   0.434"," 36","0"," 32"," 43","   0.731","   0.734","   0.204","  45.000","    0","    0"
"23:18:16:055","204619352107158","   2.018","   1.584"," 1924"," 1200"," 3700"," 2220","   1.557","   3.865","   1.074","   0.854","   2.427","   0.674"," 36","0"," 32"," 45","   0.716","   1.460","   0.406","  45.000","    0","    0"
"23:18:17:057","204621659223072","   3.020","   1.169"," 1497"," 1200"," 2800"," 1522","   0.963","   4.830","   1.342","   0.403","   2.831","   0.786"," 36","0"," 32"," 37","   0.662","   2.123","   0.590","  45.000","    0","    0"
"23:18:18:057","204623965158070","   4.021","   1.451"," 2199"," 1200"," 3700"," 2718","   1.497","   6.328","   1.758","   0.922","   3.753","   1.043"," 36","0"," 32"," 44","   0.668","   2.791","   0.775","  45.000","    0","    0"
"23:18:19:061","204626277368274","   5.024","   0.866"," 1447"," 1200"," 2500"," 1456","   0.862","   7.193","   1.998","   0.328","   4.083","   1.134"," 36","0"," 32"," 36","   0.652","   3.445","   0.957","  45.000","    0","    0"
"23:18:20:061","204628582357256","   6.025","   0.916"," 1448"," 1200"," 2500"," 1456","   0.873","   8.067","   2.241","   0.340","   4.423","   1.229"," 36","0"," 32"," 37","   0.655","   4.101","   1.139","  45.000","    0","    0"
"23:18:21:071","204630909212726","   7.035","   1.163"," 1703"," 1200"," 3000"," 1795","   1.052","   9.130","   2.536","   0.506","   4.934","   1.370"," 36","0"," 32"," 37","   0.657","   4.765","   1.323","  45.000","    0","    0"
"23:18:22:077","204633225871698","   8.040","   1.062"," 1513"," 1200"," 2700"," 1539","   0.951","  10.086","   2.802","   0.399","   5.335","   1.482"," 36","0"," 32"," 36","   0.658","   5.426","   1.507","  45.000","    0","    0"
"23:18:23:078","204635532024654","   9.041","   0.925"," 1525"," 1200"," 2500"," 1543","   1.006","  11.093","   3.081","   0.362","   5.697","   1.582"," 36","0"," 32"," 37","   0.701","   6.128","   1.702","  45.000","    0","    0"
"23:18:24:083","204637848490348","  10.046","   0.900"," 1434"," 1200"," 2400"," 1443","   0.846","  11.943","   3.318","   0.311","   6.010","   1.669"," 36","0"," 32"," 37","   0.652","   6.784","   1.884","  45.000","    0","    0"
