"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:58:23:801","434113141221356","   1.004","   1.439"," 1683"," 1200"," 2900"," 1723","   1.152","   1.157","   0.321","   0.563","   0.566","   0.157"," 36","0"," 32"," 37","   0.673","   0.675","   0.188","  45.000","    0","    0"
"02:58:24:810","434115467230326","   2.014","   1.723"," 1843"," 1200"," 3700"," 1971","   1.587","   2.759","   0.766","   0.870","   1.444","   0.401"," 36","0"," 32"," 46","   0.719","   1.401","   0.389","  45.000","    0","    0"
"02:58:25:814","434117778552562","   3.017","   1.985"," 1419"," 1200"," 2500"," 1433","   1.196","   3.958","   1.100","   0.532","   1.977","   0.549"," 36","0"," 32"," 37","   0.734","   2.137","   0.594","  45.000","  350","  333"
"02:58:26:823","434120104203824","   4.026","   1.052"," 1501"," 1200"," 2500"," 1516","   1.067","   5.035","   1.399","   0.386","   2.367","   0.657"," 36","0"," 32"," 37","   0.713","   2.857","   0.794","  45.000","    0","    0"
"02:58:27:825","434122413600118","   5.029","   1.196"," 1556"," 1200"," 2700"," 1581","   1.094","   6.132","   1.703","   0.429","   2.797","   0.777"," 36","0"," 33"," 37","   0.710","   3.569","   0.991","  45.000","    0","    0"
"02:58:28:835","434124739512342","   6.038","   1.220"," 1611"," 1200"," 2700"," 1645","   1.034","   7.176","   1.993","   0.450","   3.251","   0.903"," 36","0"," 32"," 36","   0.675","   4.250","   1.181","  45.000","  350","  333"
"02:58:29:836","434127046769270","   7.040","   1.190"," 1725"," 1200"," 3600"," 2059","   1.175","   8.353","   2.320","   0.530","   3.782","   1.051"," 36","0"," 32"," 40","   0.689","   4.940","   1.372","  45.000","    0","    0"
"02:58:30:844","434129368578262","   8.047","   1.881"," 2435"," 1200"," 3700"," 2984","   2.197","  10.567","   2.935","   1.529","   5.323","   1.479"," 36","0"," 32"," 43","   0.713","   5.658","   1.572","  45.000","  350","  333"
"02:58:31:848","434131682685818","   9.052","   1.032"," 1480"," 1200"," 2500"," 1497","   0.950","  11.521","   3.200","   0.369","   5.694","   1.582"," 36","0"," 32"," 37","   0.671","   6.332","   1.759","  45.000","    0","    0"
"02:58:32:855","434134000960250","  10.058","   1.384"," 1443"," 1200"," 2800"," 1458","   1.010","  12.537","   3.483","   0.428","   6.125","   1.701"," 36","0"," 32"," 37","   0.666","   7.003","   1.945","  45.000","    0","    0"
"02:58:33:859","434136315083944","  11.062","   1.431"," 1786"," 1200"," 3200"," 1932","   1.197","  13.739","   3.816","   0.604","   6.731","   1.870"," 36","0"," 32"," 40","   0.668","   7.674","   2.132","  45.000","    0","    0"
"02:58:34:859","434138620054554","  12.063","   1.582"," 1598"," 1200"," 2900"," 1622","   1.214","  14.954","   4.154","   0.521","   7.253","   2.015"," 36","0"," 32"," 37","   0.706","   8.380","   2.328","  45.000","    0","    0"
"02:58:35:863","434140931643004","  13.066","   1.014"," 1478"," 1200"," 2500"," 1487","   0.895","  15.851","   4.403","   0.349","   7.603","   2.112"," 36","0"," 32"," 37","   0.658","   9.040","   2.511","  45.000","    0","    0"
"02:58:36:868","434143247081646","  14.071","   1.079"," 1463"," 1200"," 2500"," 1484","   0.933","  16.789","   4.664","   0.385","   7.990","   2.219"," 36","0"," 32"," 37","   0.660","   9.703","   2.695","  45.000","    0","    0"
"02:58:37:869","434145555357330","  15.073","   1.176"," 1581"," 1200"," 2800"," 1618","   1.061","  17.852","   4.959","   0.467","   8.458","   2.349"," 36","0"," 32"," 37","   0.671","  10.375","   2.882","  45.000","    0","    0"
"02:58:38:871","434147862484608","  16.074","   1.204"," 1582"," 1200"," 2800"," 1613","   1.109","  18.962","   5.267","   0.446","   8.905","   2.474"," 36","0"," 32"," 37","   0.705","  11.082","   3.078","  45.000","    0","    0"
"02:58:39:871","434150167486684","  17.075","   1.118"," 1751"," 1200"," 3600"," 1933","   1.096","  20.058","   5.572","   0.514","   9.419","   2.616"," 36","0"," 32"," 38","   0.666","  11.748","   3.263","  45.000","    0","    0"
"02:58:40:873","434152474629178","  18.076","   2.063"," 2524"," 1200"," 3700"," 3185","   2.324","  22.386","   6.218","   1.722","  11.144","   3.096"," 36","0"," 32"," 42","   0.682","  12.431","   3.453","  45.000","    0","    0"
"02:58:41:880","434154795385862","  19.083","   1.447"," 2077"," 1200"," 4200"," 2419","   1.617","  24.014","   6.671","   0.937","  12.088","   3.358"," 36","0"," 33"," 44","   0.705","  13.141","   3.650","  45.000","    0","    0"
"02:58:42:884","434157108140064","  20.087","   1.209"," 1582"," 1200"," 2700"," 1610","   1.108","  25.126","   6.980","   0.446","  12.536","   3.482"," 36","0"," 32"," 37","   0.710","  13.854","   3.848","  45.000","    0","    0"
"02:58:43:884","434159413855062","  21.088","   1.265"," 1650"," 1200"," 2600"," 1688","   1.053","  26.180","   7.272","   0.476","  13.013","   3.615"," 36","0"," 32"," 37","   0.674","  14.528","   4.035","  45.000","    0","    0"
"02:58:44:888","434161725503418","  22.091","   1.343"," 1852"," 1200"," 3700"," 2076","   1.360","  27.545","   7.651","   0.676","  13.691","   3.803"," 36","0"," 32"," 41","   0.706","  15.236","   4.232","  45.000","    0","    0"
"02:58:45:897","434164051416838","  23.101","   0.968"," 1471"," 1200"," 2500"," 1486","   0.908","  28.461","   7.906","   0.345","  14.038","   3.900"," 36","0"," 32"," 36","   0.660","  15.902","   4.417","  45.000","    0","    0"
"02:58:46:899","434166359661078","  24.102","   1.011"," 1447"," 1200"," 2500"," 1460","   0.916","  29.378","   8.161","   0.362","  14.401","   4.000"," 36","0"," 33"," 37","   0.660","  16.564","   4.601","  45.000","    0","    0"
"02:58:47:908","434168684748068","  25.111","   1.223"," 1719"," 1200"," 3000"," 1811","   1.104","  30.492","   8.470","   0.538","  14.944","   4.151"," 36","0"," 32"," 37","   0.663","  17.233","   4.787","  45.000","    0","    0"
"02:58:48:910","434170992164776","  26.113","   1.238"," 1735"," 1200"," 3000"," 1826","   1.079","  31.573","   8.770","   0.510","  15.455","   4.293"," 36","0"," 32"," 39","   0.663","  17.897","   4.971","  45.000","    0","    0"
"02:58:49:919","434173317986734","  27.122","   1.410"," 2103"," 1200"," 4200"," 2598","   1.516","  33.103","   9.195","   0.937","  16.400","   4.556"," 36","0"," 33"," 45","   0.662","  18.565","   5.157","  45.000","    0","    0"
"02:58:50:929","434175645912960","  28.133","   1.765"," 2445"," 1200"," 3700"," 2962","   2.082","  35.206","   9.780","   1.487","  17.903","   4.973"," 36","0"," 32"," 43","   0.674","  19.246","   5.346","  45.000","    0","    0"
"02:58:51:933","434177957518412","  29.136","   1.023"," 1512"," 1200"," 3600"," 1520","   1.038","  36.248","  10.069","   0.382","  18.286","   5.079"," 36","0"," 32"," 36","   0.707","  19.955","   5.543","  45.000","    0","    0"
"02:58:52:934","434180264791302","  30.137","   1.014"," 1578"," 1200"," 3100"," 1608","   0.944","  37.193","  10.331","   0.391","  18.678","   5.188"," 36","0"," 32"," 37","   0.659","  20.616","   5.727","  45.000","    0","    0"

"Total Elapsed Time (sec) = 30.137485"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 37.192749"
"Cumulative Package Energy_0 (mWh) = 10.331319"
"Average Package Power_0 (Watt) = 1.234103"

"Cumulative IA Energy_0 (Joules) = 18.677979"
"Cumulative IA Energy_0 (mWh) = 5.188327"
"Average Package IA_0 (Watt) = 0.619759"

"Cumulative DRAM Energy_0 (Joules) = 20.615845"
"Cumulative DRAM Energy_0 (mWh) = 5.726624"
"Average Package DRAM_0 (Watt) = 0.684060"
