"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"04:38:44:324","447984232939798","   1.010","   1.477"," 1680"," 1200"," 3000"," 1751","   1.265","   1.278","   0.355","   0.570","   0.575","   0.160"," 36","0"," 32"," 38","   0.719","   0.726","   0.202","  45.000","    0","    0"
"04:38:45:332","447986554370976","   2.018","   1.595"," 1826"," 1200"," 3700"," 2082","   1.394","   2.683","   0.745","   0.796","   1.377","   0.383"," 36","0"," 32"," 43","   0.671","   1.403","   0.390","  45.000","    0","    0"
"04:38:46:335","447988865361448","   3.021","   1.106"," 1430"," 1200"," 2400"," 1440","   0.922","   3.607","   1.002","   0.369","   1.747","   0.485"," 36","0"," 32"," 36","   0.664","   2.069","   0.575","  45.000","    0","    0"
"04:38:47:337","447991174155026","   4.023","   0.923"," 1479"," 1200"," 2500"," 1503","   0.887","   4.496","   1.249","   0.347","   2.095","   0.582"," 36","0"," 32"," 36","   0.656","   2.726","   0.757","  45.000","    0","    0"
"04:38:48:345","447993496767372","   5.031","   1.288"," 1781"," 1200"," 3000"," 1878","   1.157","   5.662","   1.573","   0.593","   2.692","   0.748"," 36","0"," 32"," 36","   0.664","   3.396","   0.943","  45.000","    0","    0"
"04:38:49:353","447995819751802","   6.039","   1.414"," 1858"," 1200"," 3600"," 2018","   1.368","   7.042","   1.956","   0.678","   3.376","   0.938"," 36","0"," 31"," 38","   0.715","   4.116","   1.143","  45.000","    0","    0"
"04:38:50:357","447998132897874","   7.043","   1.867"," 2436"," 1200"," 3700"," 2945","   2.123","   9.173","   2.548","   1.519","   4.901","   1.361"," 36","0"," 32"," 42","   0.677","   4.796","   1.332","  45.000","    0","    0"
"04:38:51:358","448000438543872","   8.044","   1.023"," 1523"," 1200"," 3300"," 1532","   1.040","  10.214","   2.837","   0.378","   5.279","   1.466"," 36","0"," 32"," 36","   0.707","   5.504","   1.529","  45.000","    0","    0"
"04:38:52:362","448002750902394","   9.047","   1.021"," 1445"," 1200"," 2500"," 1452","   0.902","  11.119","   3.089","   0.352","   5.632","   1.564"," 36","0"," 31"," 36","   0.659","   6.165","   1.712","  45.000","    0","    0"
"04:38:53:362","448005056421174","  10.048","   1.182"," 1767"," 1200"," 2900"," 1850","   1.198","  12.318","   3.422","   0.522","   6.154","   1.709"," 36","0"," 32"," 37","   0.710","   6.875","   1.910","  45.000","    0","    0"
"04:38:54:371","448007381474634","  11.057","   1.171"," 1672"," 1200"," 2900"," 1721","   1.026","  13.353","   3.709","   0.463","   6.621","   1.839"," 36","0"," 32"," 37","   0.663","   7.544","   2.096","  45.000","    0","    0"
"04:38:55:382","448009709026834","  12.067","   1.142"," 1542"," 1200"," 2500"," 1563","   1.079","  14.443","   4.012","   0.413","   7.039","   1.955"," 36","0"," 32"," 36","   0.707","   8.258","   2.294","  45.000","    0","    0"
"04:38:56:387","448012026348520","  13.073","   1.872"," 1401"," 1200"," 3100"," 1413","   1.164","  15.614","   4.337","   0.503","   7.545","   2.096"," 36","0"," 32"," 36","   0.735","   8.998","   2.499","  45.000","    0","    0"
"04:38:57:396","448014350789504","  14.082","   1.084"," 1502"," 1200"," 2600"," 1520","   1.058","  16.681","   4.634","   0.395","   7.943","   2.206"," 36","0"," 32"," 36","   0.708","   9.712","   2.698","  45.000","    0","    0"
"04:38:58:399","448016661302002","  15.085","   1.577"," 2253"," 1200"," 4400"," 2616","   1.847","  18.533","   5.148","   1.243","   9.190","   2.553"," 36","0"," 32"," 51","   0.665","  10.379","   2.883","  45.000","    0","    0"
"04:38:59:407","448018983138998","  16.093","   1.031"," 1639"," 1200"," 2800"," 1658","   0.982","  19.523","   5.423","   0.422","   9.616","   2.671"," 36","0"," 32"," 36","   0.666","  11.050","   3.070","  45.000","  350","  333"
"04:39:00:407","448021288162216","  17.093","   2.093"," 2379"," 1200"," 3700"," 2851","   2.341","  21.864","   6.073","   1.649","  11.265","   3.129"," 36","0"," 32"," 42","   0.705","  11.756","   3.266","  45.000","  350","  333"
"04:39:01:408","448023592874730","  18.093","   0.949"," 1554"," 1200"," 3300"," 1571","   0.928","  22.792","   6.331","   0.375","  11.641","   3.233"," 36","0"," 32"," 36","   0.661","  12.418","   3.449","  45.000","  350","  333"
"04:39:02:410","448025902771538","  19.096","   1.078"," 1500"," 1200"," 2700"," 1502","   0.958","  23.752","   6.598","   0.394","  12.035","   3.343"," 36","0"," 32"," 36","   0.659","  13.078","   3.633","  45.000","    0","    0"
"04:39:03:411","448028209576712","  20.097","   1.155"," 1637"," 1200"," 2700"," 1666","   1.093","  24.846","   6.902","   0.436","  12.472","   3.464"," 36","0"," 32"," 36","   0.705","  13.785","   3.829","  45.000","    0","    0"
"04:39:04:412","448030516089312","  21.098","   1.876"," 2369"," 1200"," 4400"," 2689","   2.262","  27.110","   7.531","   1.636","  14.110","   3.919"," 36","0"," 32"," 55","   0.672","  14.457","   4.016","  45.000","    0","    0"
"04:39:05:421","448032840191688","  22.107","   1.516"," 1589"," 1200"," 2900"," 1632","   1.102","  28.221","   7.839","   0.522","  14.637","   4.066"," 36","0"," 32"," 37","   0.666","  15.129","   4.202","  45.000","    0","    0"
"04:39:06:432","448035168053664","  23.117","   1.010"," 1500"," 1200"," 2800"," 1517","   0.919","  29.150","   8.097","   0.364","  15.005","   4.168"," 36","0"," 32"," 36","   0.659","  15.794","   4.387","  45.000","    0","    0"
