"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"05:14:49:934","452973771023140","   1.002","   1.203"," 1499"," 1200"," 2500"," 1514","   1.138","   1.140","   0.317","   0.429","   0.430","   0.120"," 39","0"," 35"," 39","   0.728","   0.729","   0.203","  45.000","  350","  333"
"05:14:50:949","452976110319290","   2.017","   1.723"," 1889"," 1200"," 3700"," 2090","   1.574","   2.737","   0.760","   0.902","   1.346","   0.374"," 38","0"," 35"," 48","   0.693","   1.433","   0.398","  45.000","    0","    0"
"05:14:51:953","452978423411548","   3.021","   2.969"," 2753"," 1200"," 3700"," 3694","   3.525","   6.276","   1.743","   2.758","   4.115","   1.143"," 39","0"," 35"," 49","   0.767","   2.204","   0.612","  45.000","    0","    0"
"05:14:52:955","452980731913786","   4.023","   1.111"," 1595"," 1200"," 3300"," 1657","   1.048","   7.326","   2.035","   0.443","   4.559","   1.266"," 38","0"," 35"," 39","   0.676","   2.881","   0.800","  45.000","    0","    0"
"05:14:53:964","452983057652082","   5.032","   1.118"," 1557"," 1200"," 2900"," 1588","   0.941","   8.276","   2.299","   0.396","   4.959","   1.377"," 38","0"," 34"," 39","   0.661","   3.548","   0.986","  45.000","    0","    0"
"05:14:54:968","452985369016110","   6.036","   1.011"," 1419"," 1200"," 2500"," 1426","   0.890","   9.168","   2.547","   0.337","   5.297","   1.471"," 38","0"," 35"," 39","   0.658","   4.209","   1.169","  45.000","    0","    0"
"05:14:55:971","452987679710208","   7.038","   3.240"," 2640"," 1200"," 4700"," 2885","   5.106","  14.289","   3.969","   4.250","   9.560","   2.656"," 45","0"," 34"," 58","   0.783","   4.994","   1.387","  45.000","  350","  333"
"05:14:56:977","452989998254940","   8.045","   1.131"," 1498"," 1200"," 3500"," 1495","   0.982","  15.278","   4.244","   0.391","   9.954","   2.765"," 39","0"," 34"," 42","   0.673","   5.671","   1.575","  45.000","    0","    0"
"05:14:57:980","452992308361274","   9.047","   1.826"," 2497"," 1200"," 3700"," 3009","   2.165","  17.448","   4.847","   1.548","  11.506","   3.196"," 38","0"," 34"," 46","   0.682","   6.355","   1.765","  45.000","    0","    0"
"05:14:58:981","452994615014098","  10.049","   1.302"," 1577"," 1200"," 3300"," 1590","   1.032","  18.482","   5.134","   0.457","  11.964","   3.323"," 37","0"," 34"," 39","   0.672","   7.028","   1.952","  45.000","    0","    0"
"05:14:59:988","452996936368376","  11.056","   1.080"," 1497"," 1200"," 2500"," 1505","   1.062","  19.552","   5.431","   0.394","  12.360","   3.433"," 38","0"," 34"," 39","   0.705","   7.738","   2.149","  45.000","    0","    0"
"05:15:00:991","452999245968918","  12.058","   1.225"," 1591"," 1200"," 2900"," 1613","   1.212","  20.767","   5.769","   0.471","  12.832","   3.565"," 37","0"," 34"," 39","   0.737","   8.476","   2.354","  45.000","    0","    0"
"05:15:02:001","453001573860768","  13.069","   1.181"," 1525"," 1200"," 2900"," 1571","   1.012","  21.790","   6.053","   0.434","  13.271","   3.686"," 38","0"," 34"," 39","   0.667","   9.150","   2.542","  45.000","    0","    0"
"05:15:03:003","453003882310944","  14.071","   1.171"," 1527"," 1200"," 2700"," 1540","   0.993","  22.784","   6.329","   0.420","  13.691","   3.803"," 37","0"," 34"," 39","   0.665","   9.817","   2.727","  45.000","    0","    0"
"05:15:04:004","453006188519984","  15.072","   1.501"," 1617"," 1200"," 2700"," 1650","   1.265","  24.051","   6.681","   0.526","  14.218","   3.949"," 38","0"," 34"," 39","   0.756","  10.573","   2.937","  45.000","    0","    0"
"05:15:05:011","453008509047874","  16.079","   2.869"," 1466"," 1200"," 2900"," 1479","   1.500","  25.562","   7.100","   0.767","  14.991","   4.164"," 38","0"," 34"," 39","   0.681","  11.258","   3.127","  45.000","    0","    0"
"05:15:06:014","453010820457270","  17.082","   1.035"," 1508"," 1200"," 2500"," 1533","   0.947","  26.512","   7.364","   0.375","  15.367","   4.269"," 37","0"," 34"," 38","   0.665","  11.926","   3.313","  45.000","    0","    0"
"05:15:07:021","453013139986126","  18.089","   1.006"," 1464"," 1200"," 3200"," 1476","   0.913","  27.431","   7.620","   0.355","  15.724","   4.368"," 37","0"," 34"," 38","   0.660","  12.591","   3.497","  45.000","    0","    0"
"05:15:08:028","453015459565082","  19.096","   1.900"," 2420"," 1200"," 3700"," 2966","   2.155","  29.600","   8.222","   1.545","  17.279","   4.800"," 38","0"," 34"," 45","   0.681","  13.277","   3.688","  45.000","    0","    0"
"05:15:09:028","453017764282464","  20.096","   1.368"," 1651"," 1200"," 2900"," 1678","   1.121","  30.721","   8.534","   0.524","  17.804","   4.946"," 38","0"," 34"," 39","   0.666","  13.943","   3.873","  45.000","    0","    0"
"05:15:10:032","453020077933920","  21.100","   1.116"," 1549"," 1200"," 2500"," 1565","   0.982","  31.708","   8.808","   0.421","  18.226","   5.063"," 37","0"," 34"," 39","   0.660","  14.606","   4.057","  45.000","    0","    0"
