"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"20:26:56:892","379999952109664","   1.001","   1.190"," 1505"," 1200"," 2500"," 1518","   1.109","   1.111","   0.308","   0.419","   0.420","   0.117"," 37","0"," 33"," 37","   0.716","   0.717","   0.199","  45.000","    0","    0"
"20:26:57:908","380002292320538","   2.017","   2.419"," 2457"," 1200"," 3700"," 2980","   2.600","   3.752","   1.042","   1.931","   2.381","   0.661"," 37","0"," 34"," 44","   0.691","   1.419","   0.394","  45.000","    0","    0"
"20:26:58:908","380004597928512","   3.018","   1.364"," 1588"," 1200"," 2900"," 1616","   1.063","   4.816","   1.338","   0.469","   2.851","   0.792"," 37","0"," 34"," 37","   0.675","   2.095","   0.582","  45.000","    0","    0"
"20:26:59:909","380006903663784","   4.018","   0.995"," 1471"," 1200"," 2500"," 1489","   0.928","   5.744","   1.596","   0.372","   3.222","   0.895"," 38","0"," 33"," 37","   0.658","   2.753","   0.765","  45.000","    0","    0"
"20:27:00:919","380009230943826","   5.029","   1.086"," 1466"," 1200"," 2500"," 1478","   1.004","   6.758","   1.877","   0.381","   3.607","   1.002"," 37","0"," 33"," 38","   0.685","   3.445","   0.957","  45.000","    0","    0"
"20:27:01:927","380011553534016","   6.037","   1.024"," 1565"," 1200"," 2500"," 1589","   1.084","   7.851","   2.181","   0.411","   4.022","   1.117"," 37","0"," 34"," 37","   0.707","   4.158","   1.155","  45.000","    0","    0"
"20:27:02:929","380013862735158","   7.039","   1.078"," 1554"," 1200"," 2700"," 1581","   0.963","   8.816","   2.449","   0.401","   4.424","   1.229"," 37","0"," 33"," 37","   0.663","   4.823","   1.340","  45.000","    0","    0"
"20:27:03:935","380016179102400","   8.044","   1.299"," 1552"," 1200"," 2900"," 1572","   1.018","   9.839","   2.733","   0.438","   4.865","   1.351"," 37","0"," 34"," 37","   0.668","   5.495","   1.526","  45.000","    0","    0"
"20:27:04:941","380018497578838","   9.050","   1.498"," 1577"," 1200"," 2500"," 1589","   1.215","  11.062","   3.073","   0.518","   5.385","   1.496"," 37","0"," 33"," 37","   0.714","   6.213","   1.726","  45.000","    0","    0"
"20:27:05:944","380020807480686","  10.053","   1.040"," 1417"," 1200"," 2500"," 1432","   0.910","  11.975","   3.326","   0.345","   5.731","   1.592"," 37","0"," 33"," 37","   0.662","   6.877","   1.910","  45.000","    0","    0"
"20:27:06:949","380023122752818","  11.058","   0.950"," 1425"," 1200"," 2400"," 1436","   0.885","  12.864","   3.573","   0.336","   6.069","   1.686"," 37","0"," 33"," 37","   0.659","   7.539","   2.094","  45.000","    0","    0"
"20:27:07:958","380025448385760","  12.067","   1.915"," 2405"," 1200"," 3700"," 2887","   2.163","  15.048","   4.180","   1.546","   7.629","   2.119"," 37","0"," 33"," 44","   0.679","   8.224","   2.285","  45.000","    0","    0"
"20:27:08:967","380027774426500","  13.077","   1.212"," 1596"," 1200"," 2900"," 1616","   1.050","  16.108","   4.474","   0.461","   8.094","   2.248"," 37","0"," 34"," 38","   0.668","   8.899","   2.472","  45.000","    0","    0"
"20:27:09:978","380030102224496","  14.087","   1.008"," 1556"," 1200"," 2500"," 1580","   1.084","  17.203","   4.779","   0.404","   8.502","   2.362"," 37","0"," 33"," 37","   0.707","   9.613","   2.670","  45.000","    0","    0"
"20:27:10:986","380032424823912","  15.095","   1.005"," 1441"," 1200"," 2500"," 1448","   0.925","  18.135","   5.038","   0.361","   8.866","   2.463"," 37","0"," 33"," 37","   0.662","  10.281","   2.856","  45.000","    0","    0"
"20:27:11:994","380034747299910","  16.103","   0.902"," 1525"," 1200"," 2400"," 1558","   0.901","  19.043","   5.290","   0.345","   9.214","   2.560"," 37","0"," 34"," 37","   0.658","  10.944","   3.040","  45.000","    0","    0"
"20:27:12:996","380037056281032","  17.105","   1.139"," 1563"," 1200"," 2900"," 1582","   1.113","  20.159","   5.600","   0.437","   9.652","   2.681"," 37","0"," 33"," 37","   0.710","  11.656","   3.238","  45.000","    0","    0"
"20:27:13:997","380039361684022","  18.106","   1.120"," 1627"," 1200"," 2700"," 1665","   1.021","  21.180","   5.883","   0.445","  10.097","   2.805"," 37","0"," 33"," 37","   0.667","  12.323","   3.423","  45.000","    0","    0"
"20:27:15:003","380041680987446","  19.113","   1.090"," 1433"," 1200"," 2500"," 1446","   0.918","  22.105","   6.140","   0.357","  10.457","   2.905"," 37","0"," 33"," 37","   0.662","  12.990","   3.608","  45.000","    0","    0"
"20:27:16:013","380044007813878","  20.122","   1.144"," 1514"," 1200"," 2500"," 1532","   1.087","  23.203","   6.445","   0.408","  10.869","   3.019"," 37","0"," 33"," 38","   0.710","  13.707","   3.807","  45.000","    0","    0"
"20:27:17:019","380046326388676","  21.129","   0.982"," 1479"," 1200"," 2500"," 1502","   0.911","  24.119","   6.700","   0.356","  11.227","   3.119"," 37","0"," 34"," 38","   0.659","  14.370","   3.992","  45.000","    0","    0"
