#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
1,11-10-23T20-00-54,mono,api-baseline,29.050269,54.734022,44.676225,6.074863,197.042480,160.834412,21.869507,54.10344827586207
1,11-10-23T20-00-54,mono,api-monitor,29.118481,119.675581,37.618035,8.251919,430.832092,135.424927,29.706909,69.75862068965517
1,11-10-23T20-00-54,mono,frontend-baseline,40.161412,122.162611,46.557431,10.712568,439.785400,167.606750,38.565247,66.8
1,11-10-23T20-00-54,mono,frontend-monitor,40.123661,112.421299,47.506375,10.725335,404.716675,171.022949,38.611206,60.125
10,11-10-23T20-00-54,mono,api-baseline,29.131916,10.700548,5.634240,5.434502,38.521973,20.283264,19.564209,36.0
10,11-10-23T20-00-54,mono,api-monitor,29.147380,8.781247,4.173550,5.401577,31.612488,15.024780,19.445679,35.0
10,11-10-23T20-00-54,mono,frontend-baseline,40.207752,12.391340,5.742560,7.554660,44.608826,20.673218,27.196777,35.15
10,11-10-23T20-00-54,mono,frontend-monitor,40.206450,31.811439,23.471663,7.601013,114.521179,84.497986,27.363647,38.85
11,11-10-23T20-00-54,mono,api-baseline,29.125536,12.729357,7.724202,5.496148,45.825684,27.807129,19.786133,36.03448275862069
11,11-10-23T20-00-54,mono,api-monitor,29.130505,9.129622,4.317627,5.490553,32.866638,15.543457,19.765991,34.89655172413793
11,11-10-23T20-00-54,mono,frontend-baseline,40.194819,12.472534,5.782945,7.570241,44.901123,20.818604,27.252869,35.925
11,11-10-23T20-00-54,mono,frontend-monitor,40.185648,13.097653,6.434241,7.537842,47.151550,23.163269,27.136230,37.675
12,11-10-23T20-00-54,mono,api-baseline,29.079153,10.393795,5.152147,5.517968,37.417664,18.547729,19.864685,36.275862068965516
12,11-10-23T20-00-54,mono,api-monitor,29.172700,10.615099,5.658264,5.490434,38.214355,20.369751,19.765564,35.89655172413793
12,11-10-23T20-00-54,mono,frontend-baseline,40.196193,13.497925,6.697201,7.549133,48.592529,24.109924,27.176880,36.025
12,11-10-23T20-00-54,mono,frontend-monitor,40.202137,12.627936,5.858985,7.567495,45.460571,21.092346,27.242981,36.75
13,11-10-23T20-00-54,mono,api-baseline,29.147127,9.663985,4.728682,5.507321,34.790344,17.023254,19.826355,35.310344827586206
13,11-10-23T20-00-54,mono,api-monitor,29.152851,11.437463,6.283129,5.589108,41.174866,22.619263,20.120789,34.689655172413794
13,11-10-23T20-00-54,mono,frontend-baseline,40.212623,13.855116,7.162086,7.531297,49.878418,25.783508,27.112671,35.15
13,11-10-23T20-00-54,mono,frontend-monitor,40.215720,12.692702,5.950351,7.566952,45.693726,21.421265,27.241028,36.725
14,11-10-23T20-00-54,mono,api-baseline,29.109959,114.230245,104.304369,5.902049,411.228882,375.495728,21.247375,45.48275862068966
14,11-10-23T20-00-54,mono,api-monitor,29.164460,10.105404,5.172899,5.508982,36.379456,18.622437,19.832336,35.93103448275862
14,11-10-23T20-00-54,mono,frontend-baseline,40.218837,24.158698,14.632602,8.251122,86.971313,52.677368,29.704041,36.55
14,11-10-23T20-00-54,mono,frontend-monitor,40.189059,14.007297,7.204692,7.565342,50.426270,25.936890,27.235229,37.15
15,11-10-23T20-00-54,mono,api-baseline,29.153298,10.464054,5.378231,5.499997,37.670593,19.361633,19.799988,36.06896551724138
15,11-10-23T20-00-54,mono,api-monitor,29.153541,9.579146,4.733887,5.500031,34.484924,17.041992,19.800110,34.206896551724135
15,11-10-23T20-00-54,mono,frontend-baseline,40.228503,12.978617,6.224331,7.610491,46.723022,22.407593,27.397766,34.175
