"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:18:54:894","118425371572256","   1.003","   1.177"," 1491"," 1200"," 2500"," 1495","   1.138","   1.142","   0.317","   0.389","   0.391","   0.109"," 32","0"," 29"," 33","   0.710","   0.712","   0.198","  45.000","    0","    0"
"00:18:55:906","118427703379518","   2.015","   1.642"," 1901"," 1200"," 3700"," 2129","   1.494","   2.653","   0.737","   0.827","   1.227","   0.341"," 33","0"," 29"," 39","   0.666","   1.386","   0.385","  45.000","    0","    0"
"00:18:56:911","118430018401522","   3.020","   1.151"," 1559"," 1200"," 2900"," 1572","   1.018","   3.676","   1.021","   0.420","   1.649","   0.458"," 33","0"," 28"," 33","   0.662","   2.051","   0.570","  45.000","    0","    0"
"00:18:57:915","118432332885394","   4.024","   1.238"," 1799"," 1200"," 3700"," 2016","   1.175","   4.857","   1.349","   0.589","   2.241","   0.623"," 33","0"," 29"," 38","   0.656","   2.711","   0.753","  45.000","    0","    0"
"00:18:58:918","118434642031978","   5.027","   1.102"," 1465"," 1200"," 2500"," 1474","   1.105","   5.964","   1.657","   0.368","   2.610","   0.725"," 32","0"," 29"," 33","   0.700","   3.412","   0.948","  45.000","    0","    0"
"00:18:59:928","118436969142038","   6.037","   2.500"," 2788"," 1200"," 3800"," 3277","   3.173","   9.169","   2.547","   2.487","   5.121","   1.423"," 33","0"," 29"," 39","   0.682","   4.101","   1.139","  45.000","    0","    0"
"00:19:00:932","118439283551332","   7.041","   1.642"," 1718"," 1200"," 2800"," 1780","   1.446","  10.622","   2.951","   0.603","   5.727","   1.591"," 33","0"," 29"," 33","   0.734","   4.839","   1.344","  45.000","    0","    0"
"00:19:01:943","118441611430354","   8.052","   1.383"," 1734"," 1200"," 2900"," 1755","   1.148","  11.781","   3.273","   0.538","   6.271","   1.742"," 32","0"," 29"," 33","   0.665","   5.511","   1.531","  45.000","    0","    0"
"00:19:02:943","118443916363086","   9.052","   1.049"," 1532"," 1200"," 2500"," 1569","   0.949","  12.731","   3.536","   0.372","   6.643","   1.845"," 32","0"," 29"," 33","   0.656","   6.167","   1.713","  45.000","    0","    0"
"00:19:03:953","118446242932058","  10.062","   1.091"," 1529"," 1200"," 2800"," 1543","   1.001","  13.742","   3.817","   0.420","   7.067","   1.963"," 32","0"," 29"," 33","   0.654","   6.828","   1.897","  45.000","    0","    0"
