"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:34:59:269","145530207611532","   1.002","   1.097"," 1506"," 1200"," 2500"," 1517","   1.114","   1.116","   0.310","   0.383","   0.384","   0.107"," 31","0"," 27"," 31","   0.705","   0.707","   0.196","  45.000","    0","    0"
"03:35:00:276","145532528835996","   2.010","   1.743"," 1944"," 1200"," 3700"," 2237","   1.725","   2.854","   0.793","   0.891","   1.282","   0.356"," 31","0"," 28"," 38","   0.739","   1.451","   0.403","  45.000","    0","    0"
"03:35:01:280","145534841975250","   3.014","   1.661"," 1568"," 1200"," 2700"," 1591","   1.153","   4.012","   1.114","   0.519","   1.803","   0.501"," 31","0"," 27"," 31","   0.674","   2.128","   0.591","  45.000","    0","    0"
"03:35:02:291","145537170454236","   4.024","   1.354"," 1592"," 1200"," 2800"," 1611","   1.239","   5.264","   1.462","   0.486","   2.294","   0.637"," 31","0"," 27"," 32","   0.708","   2.843","   0.790","  45.000","    0","    0"
"03:35:03:292","145539477132384","   5.025","   0.847"," 1399"," 1200"," 2400"," 1414","   0.860","   6.125","   1.701","   0.298","   2.593","   0.720"," 31","0"," 27"," 31","   0.652","   3.496","   0.971","  45.000","    0","    0"
"03:35:04:297","145541792299954","   6.030","   0.989"," 1539"," 1200"," 2500"," 1568","   0.942","   7.071","   1.964","   0.354","   2.949","   0.819"," 31","0"," 28"," 32","   0.655","   4.154","   1.154","  45.000","    0","    0"
"03:35:05:304","145544112819044","   7.037","   1.079"," 1491"," 1200"," 2900"," 1514","   0.964","   8.042","   2.234","   0.386","   3.338","   0.927"," 31","0"," 27"," 31","   0.654","   4.813","   1.337","  45.000","    0","    0"
"03:35:06:310","145546429267794","   8.043","   1.980"," 2418"," 1200"," 3700"," 2928","   2.171","  10.224","   2.840","   1.517","   4.863","   1.351"," 31","0"," 28"," 37","   0.681","   5.498","   1.527","  45.000","    0","    0"
"03:35:07:310","145548734185828","   9.043","   1.589"," 1848"," 1200"," 3300"," 1961","   1.310","  11.535","   3.204","   0.696","   5.559","   1.544"," 31","0"," 27"," 32","   0.667","   6.165","   1.713","  45.000","    0","    0"
"03:35:08:311","145551040142216","  10.044","   1.442"," 2334"," 1200"," 3800"," 2453","   1.932","  13.469","   3.741","   1.170","   6.731","   1.870"," 31","0"," 28"," 39","   0.705","   6.870","   1.908","  45.000","    0","    0"
"03:35:09:321","145553368080768","  11.055","   1.035"," 1629"," 1200"," 2900"," 1648","   0.988","  14.467","   4.019","   0.406","   7.141","   1.984"," 31","0"," 28"," 32","   0.655","   7.532","   2.092","  45.000","    0","    0"
"03:35:10:329","145555689647436","  12.062","   0.838"," 1482"," 1200"," 2500"," 1502","   0.883","  15.357","   4.266","   0.318","   7.462","   2.073"," 31","0"," 27"," 32","   0.652","   8.189","   2.275","  45.000","    0","    0"
"03:35:11:339","145558016217792","  13.072","   1.858"," 1481"," 1200"," 2600"," 1498","   1.178","  16.547","   4.596","   0.512","   7.979","   2.216"," 31","0"," 28"," 31","   0.718","   8.914","   2.476","  45.000","    0","    0"
"03:35:12:346","145560336310060","  14.079","   1.066"," 1596"," 1200"," 2800"," 1623","   0.972","  17.526","   4.868","   0.391","   8.372","   2.326"," 31","0"," 27"," 32","   0.659","   9.578","   2.660","  45.000","    0","    0"
"03:35:13:346","145562641362300","  15.079","   1.056"," 1496"," 1200"," 2500"," 1507","   1.085","  18.612","   5.170","   0.368","   8.741","   2.428"," 31","0"," 27"," 31","   0.702","  10.280","   2.855","  45.000","    0","    0"
"03:35:14:347","145564947868386","  16.080","   0.982"," 1522"," 1200"," 2500"," 1541","   0.942","  19.555","   5.432","   0.364","   9.105","   2.529"," 31","0"," 28"," 31","   0.654","  10.935","   3.037","  45.000","    0","    0"
"03:35:15:355","145567270871980","  17.089","   0.931"," 1391"," 1200"," 2500"," 1407","   0.873","  20.436","   5.677","   0.305","   9.413","   2.615"," 31","0"," 27"," 32","   0.653","  11.593","   3.220","  45.000","    0","    0"
"03:35:16:356","145569576100602","  18.089","   2.511"," 2817"," 1200"," 4700"," 3439","   3.458","  23.896","   6.638","   2.748","  12.163","   3.379"," 32","0"," 27"," 54","   0.684","  12.277","   3.410","  45.000","    0","    0"
"03:35:17:357","145571882739776","  19.090","   1.702"," 2008"," 1200"," 3700"," 2121","   1.715","  25.612","   7.115","   0.922","  13.086","   3.635"," 32","0"," 27"," 33","   0.715","  12.993","   3.609","  45.000","    0","    0"
"03:35:18:364","145574203397538","  20.098","   1.185"," 2140"," 1200"," 3700"," 2182","   1.448","  27.071","   7.520","   0.848","  13.940","   3.872"," 30","0"," 28"," 39","   0.656","  13.654","   3.793","  45.000","    0","    0"
"03:35:19:370","145576519333686","  21.103","   7.153"," 1450"," 1200"," 3400"," 1462","   2.816","  29.901","   8.306","   1.755","  15.703","   4.362"," 31","0"," 28"," 32","   0.627","  14.284","   3.968","  45.000","    0","    0"
"03:35:20:379","145578846003868","  22.113","   2.512"," 1540"," 1200"," 3000"," 1541","   1.368","  31.283","   8.690","   0.606","  16.315","   4.532"," 31","0"," 28"," 32","   0.712","  15.003","   4.168","  45.000","    0","    0"
"03:35:21:380","145581152195826","  23.114","   1.415"," 1681"," 1200"," 3000"," 1765","   1.147","  32.431","   9.009","   0.540","  16.856","   4.682"," 31","0"," 27"," 32","   0.666","  15.670","   4.353","  45.000","    0","    0"
"03:35:22:388","145583473790146","  24.121","   2.685"," 2217"," 1200"," 4500"," 2537","   2.549","  34.999","   9.722","   1.812","  18.681","   5.189"," 32","0"," 27"," 45","   0.664","  16.339","   4.539","  45.000","    0","    0"
"03:35:23:388","145585778859478","  25.122","   1.258"," 1494"," 1200"," 2800"," 1507","   1.020","  36.019","  10.005","   0.422","  19.104","   5.307"," 31","0"," 27"," 33","   0.658","  16.997","   4.721","  45.000","    0","    0"
"03:35:24:390","145588086328942","  26.123","   1.139"," 1553"," 1200"," 2500"," 1567","   1.032","  37.053","  10.292","   0.414","  19.519","   5.422"," 31","0"," 28"," 32","   0.656","  17.654","   4.904","  45.000","    0","    0"
"03:35:25:397","145590407801020","  27.131","   1.054"," 1515"," 1200"," 2900"," 1541","   0.959","  38.019","  10.561","   0.375","  19.897","   5.527"," 31","0"," 28"," 32","   0.655","  18.314","   5.087","  45.000","    0","    0"
"03:35:26:407","145592733698284","  28.140","   1.930"," 2448"," 1200"," 3700"," 2919","   2.167","  40.207","  11.169","   1.528","  21.439","   5.955"," 31","0"," 28"," 38","   0.678","  18.998","   5.277","  45.000","    0","    0"
"03:35:27:408","145595039389460","  29.141","   1.729"," 2174"," 1200"," 3800"," 2376","   1.824","  42.032","  11.676","   1.189","  22.629","   6.286"," 35","0"," 28"," 39","   0.663","  19.662","   5.462","  45.000","    0","    0"
"03:35:28:408","145597344930320","  30.142","   1.038"," 1825"," 1200"," 3700"," 1831","   1.193","  43.226","  12.007","   0.545","  23.174","   6.437"," 31","0"," 28"," 36","   0.683","  20.345","   5.651","  45.000","  350","  333"

"Total Elapsed Time (sec) = 30.141615"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 43.226135"
"Cumulative Package Energy_0 (mWh) = 12.007260"
"Average Package Power_0 (Watt) = 1.434101"

"Cumulative IA Energy_0 (Joules) = 23.173706"
"Cumulative IA Energy_0 (mWh) = 6.437141"
"Average Package IA_0 (Watt) = 0.768828"

"Cumulative DRAM Energy_0 (Joules) = 20.345032"
"Cumulative DRAM Energy_0 (mWh) = 5.651398"
"Average Package DRAM_0 (Watt) = 0.674981"
