"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:43:42:447","96969681538784","   1.005","   2.319"," 2341"," 1200"," 3800"," 2804","   2.504","   2.516","   0.699","   1.676","   1.685","   0.468"," 32","0"," 28"," 39","   0.739","   0.743","   0.206","  45.000","    0","    0"
"21:43:43:463","96972021589146","   2.021","   1.546"," 1840"," 1200"," 3700"," 2066","   1.441","   3.980","   1.106","   0.795","   2.493","   0.692"," 31","0"," 28"," 40","   0.665","   1.418","   0.394","  45.000","    0","    0"
"21:43:44:471","96974343049338","   3.028","   1.325"," 1509"," 1200"," 3200"," 1527","   1.032","   5.020","   1.394","   0.443","   2.939","   0.816"," 31","0"," 28"," 33","   0.658","   2.082","   0.578","  45.000","    0","    0"
"21:43:45:479","96976667490972","   4.037","   1.114"," 1594"," 1200"," 2700"," 1740","   1.002","   6.031","   1.675","   0.416","   3.358","   0.933"," 31","0"," 28"," 31","   0.657","   2.745","   0.762","  45.000","    0","    0"
"21:43:46:481","96978974849324","   5.038","   0.997"," 1582"," 1200"," 2800"," 1624","   0.973","   7.005","   1.946","   0.382","   3.741","   1.039"," 31","0"," 28"," 32","   0.655","   3.401","   0.945","  45.000","    0","    0"
"21:43:47:482","96981281689216","   6.040","   1.689"," 2365"," 1200"," 3900"," 2570","   2.125","   9.133","   2.537","   1.340","   5.082","   1.412"," 32","0"," 28"," 39","   0.706","   4.107","   1.141","  45.000","    0","    0"
"21:43:48:483","96983587600150","   7.041","   0.975"," 1467"," 1200"," 3300"," 1463","   1.051","  10.185","   2.829","   0.340","   5.423","   1.506"," 32","0"," 28"," 32","   0.698","   4.806","   1.335","  45.000","    0","    0"
"21:43:49:486","96985898046298","   8.043","   0.885"," 1411"," 1200"," 2500"," 1420","   0.874","  11.062","   3.073","   0.297","   5.721","   1.589"," 31","0"," 28"," 32","   0.652","   5.460","   1.517","  45.000","    0","    0"
"21:43:50:486","96988202905230","   9.044","   1.386"," 1755"," 1200"," 3000"," 1824","   1.186","  12.248","   3.402","   0.592","   6.313","   1.754"," 31","0"," 28"," 32","   0.660","   6.120","   1.700","  45.000","    0","    0"
"21:43:51:488","96990510615784","  10.045","   1.076"," 1528"," 1200"," 2700"," 1541","   0.958","  13.208","   3.669","   0.378","   6.692","   1.859"," 31","0"," 28"," 32","   0.658","   6.779","   1.883","  45.000","    0","    0"
"21:43:52:494","96992829362294","  11.052","   1.864"," 2461"," 1200"," 3700"," 3075","   2.302","  15.525","   4.312","   1.520","   8.222","   2.284"," 32","0"," 28"," 38","   0.722","   7.506","   2.085","  45.000","    0","    0"
"21:43:53:496","96995138913846","  12.054","   1.027"," 1497"," 1200"," 3300"," 1506","   0.942","  16.469","   4.575","   0.368","   8.590","   2.386"," 31","0"," 28"," 32","   0.655","   8.162","   2.267","  45.000","    0","    0"
"21:43:54:505","96997462970812","  13.063","   0.970"," 1490"," 1200"," 2500"," 1496","   1.065","  17.543","   4.873","   0.345","   8.938","   2.483"," 31","0"," 28"," 32","   0.698","   8.866","   2.463","  45.000","    0","    0"
"21:43:55:508","96999773166604","  14.065","   1.036"," 1542"," 1200"," 2700"," 1623","   0.964","  18.510","   5.142","   0.382","   9.321","   2.589"," 31","0"," 28"," 32","   0.656","   9.523","   2.645","  45.000","    0","    0"
"21:43:56:514","97002091046188","  15.072","   1.032"," 1565"," 1200"," 2800"," 1595","   0.986","  19.502","   5.417","   0.401","   9.725","   2.701"," 32","0"," 28"," 31","   0.657","  10.184","   2.829","  45.000","    0","    0"
"21:43:57:518","97004404609102","  16.076","   1.692"," 2283"," 1200"," 3800"," 2467","   1.919","  21.429","   5.952","   1.277","  11.006","   3.057"," 32","0"," 28"," 38","   0.661","  10.848","   3.013","  45.000","    0","    0"
"21:43:58:520","97006712257932","  17.077","   0.833"," 1398"," 1200"," 3100"," 1405","   0.865","  22.296","   6.193","   0.305","  11.312","   3.142"," 31","0"," 28"," 32","   0.649","  11.498","   3.194","  45.000","    0","    0"
