"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:50:08:247","97858567779158","   1.004","   1.541"," 1900"," 1200"," 3700"," 2036","   1.593","   1.599","   0.444","   0.816","   0.819","   0.227"," 35","0"," 31"," 36","   0.710","   0.713","   0.198","  45.000","    0","    0"
"21:50:09:258","97860897666030","   2.015","   1.334"," 2044"," 1200"," 3800"," 2147","   1.506","   3.122","   0.867","   0.879","   1.707","   0.474"," 34","0"," 31"," 41","   0.664","   1.385","   0.385","  45.000","    0","    0"
"21:50:10:262","97863211119428","   3.019","   1.449"," 1842"," 1200"," 3700"," 2096","   1.372","   4.500","   1.250","   0.746","   2.456","   0.682"," 34","0"," 31"," 42","   0.665","   2.053","   0.570","  45.000","    0","    0"
"21:50:11:269","97865530947484","   4.026","   1.773"," 1455"," 1200"," 2800"," 1463","   1.190","   5.697","   1.583","   0.505","   2.964","   0.823"," 34","0"," 31"," 35","   0.717","   2.774","   0.771","  45.000","    0","    0"
"21:50:12:271","97867840833916","   5.028","   1.010"," 1512"," 1200"," 2900"," 1535","   0.947","   6.647","   1.846","   0.360","   3.325","   0.924"," 34","0"," 31"," 35","   0.656","   3.432","   0.953","  45.000","    0","    0"
"21:50:13:272","97870146572416","   6.029","   1.008"," 1452"," 1200"," 2500"," 1466","   1.070","   7.717","   2.144","   0.353","   3.678","   1.022"," 34","0"," 30"," 35","   0.701","   4.133","   1.148","  45.000","    0","    0"
"21:50:14:276","97872459536014","   7.033","   1.077"," 1509"," 1200"," 2800"," 1526","   0.984","   8.705","   2.418","   0.392","   4.071","   1.131"," 34","0"," 30"," 35","   0.658","   4.794","   1.332","  45.000","    0","    0"
"21:50:15:284","97874781575452","   8.041","   0.857"," 1480"," 1200"," 2400"," 1488","   0.894","   9.607","   2.668","   0.316","   4.390","   1.219"," 34","0"," 30"," 34","   0.652","   5.451","   1.514","  45.000","    0","    0"
"21:50:16:290","97877099277412","   9.047","   1.874"," 2521"," 1200"," 3700"," 3097","   2.332","  11.953","   3.320","   1.577","   5.976","   1.660"," 34","0"," 30"," 40","   0.724","   6.180","   1.717","  45.000","    0","    0"
"21:50:17:294","97879412530778","  10.051","   1.071"," 1573"," 1200"," 3400"," 1596","   0.988","  12.945","   3.596","   0.408","   6.385","   1.774"," 34","0"," 30"," 35","   0.656","   6.839","   1.900","  45.000","    0","    0"
"21:50:18:299","97881729062312","  11.056","   1.487"," 2166"," 1200"," 3700"," 2387","   1.634","  14.588","   4.052","   1.021","   7.412","   2.059"," 38","0"," 30"," 39","   0.657","   7.500","   2.083","  45.000","    0","    0"
"21:50:19:309","97884055412356","  12.066","   1.101"," 1811"," 1200"," 3700"," 1805","   1.327","  15.928","   4.425","   0.585","   8.002","   2.223"," 33","0"," 30"," 39","   0.701","   8.207","   2.280","  45.000","    0","    0"
"21:50:20:319","97886382198248","  13.076","   1.209"," 1730"," 1200"," 2900"," 1837","   1.093","  17.033","   4.731","   0.516","   8.523","   2.368"," 35","0"," 30"," 35","   0.658","   8.872","   2.464","  45.000","    0","    0"
"21:50:21:323","97888695719468","  14.080","   1.067"," 1555"," 1200"," 2700"," 1576","   1.108","  18.146","   5.040","   0.389","   8.913","   2.476"," 33","0"," 30"," 34","   0.702","   9.577","   2.660","  45.000","    0","    0"
"21:50:22:323","97891000431274","  15.080","   1.176"," 1565"," 1200"," 2900"," 1588","   1.221","  19.367","   5.380","   0.419","   9.332","   2.592"," 33","0"," 30"," 34","   0.742","  10.319","   2.866","  45.000","    0","    0"
"21:50:23:324","97893306793502","  16.081","   2.345"," 1679"," 1200"," 3600"," 1706","   1.502","  20.871","   5.797","   0.807","  10.140","   2.817"," 33","0"," 30"," 34","   0.674","  10.994","   3.054","  45.000","    0","    0"
"21:50:24:326","97895613823182","  17.083","   0.884"," 1467"," 1200"," 3000"," 1475","   0.891","  21.763","   6.045","   0.321","  10.461","   2.906"," 33","0"," 30"," 34","   0.654","  11.649","   3.236","  45.000","    0","    0"
"21:50:25:334","97897937829918","  18.091","   1.085"," 1583"," 1200"," 2900"," 1620","   0.991","  22.763","   6.323","   0.400","  10.865","   3.018"," 33","0"," 30"," 34","   0.655","  12.309","   3.419","  45.000","    0","    0"
"21:50:26:339","97900253024282","  19.096","   1.795"," 2595"," 1200"," 3700"," 3111","   2.326","  25.100","   6.972","   1.576","  12.448","   3.458"," 34","0"," 30"," 40","   0.718","  13.030","   3.620","  45.000","    0","    0"
"21:50:27:346","97902572082808","  20.103","   1.030"," 1561"," 1200"," 2900"," 1573","   0.960","  26.066","   7.241","   0.382","  12.833","   3.565"," 33","0"," 30"," 35","   0.657","  13.692","   3.803","  45.000","    0","    0"
"21:50:28:346","97904876731296","  21.103","   1.592"," 2308"," 1200"," 3800"," 2485","   1.846","  27.913","   7.753","   1.205","  14.038","   3.900"," 38","0"," 30"," 40","   0.659","  14.351","   3.986","  45.000","    0","    0"
"21:50:29:356","97907203149846","  22.113","   0.886"," 1420"," 1200"," 3700"," 1414","   0.908","  28.829","   8.008","   0.328","  14.370","   3.992"," 33","0"," 30"," 36","   0.653","  15.010","   4.169","  45.000","    0","    0"
"21:50:30:357","97909510593852","  23.114","   1.150"," 1559"," 1200"," 2700"," 1583","   1.164","  29.995","   8.332","   0.406","  14.776","   4.105"," 33","0"," 30"," 34","   0.701","  15.712","   4.364","  45.000","    0","    0"
"21:50:31:359","97911818854752","  24.116","   1.588"," 1613"," 1200"," 2900"," 1642","   1.369","  31.367","   8.713","   0.564","  15.341","   4.262"," 33","0"," 30"," 33","   0.707","  16.420","   4.561","  45.000","    0","    0"
"21:50:32:360","97914125206688","  25.117","   1.033"," 1551"," 1200"," 2500"," 1578","   0.962","  32.329","   8.980","   0.386","  15.728","   4.369"," 33","0"," 30"," 34","   0.656","  17.076","   4.743","  45.000","    0","    0"
"21:50:33:365","97916441415394","  26.122","   0.956"," 1515"," 1200"," 2500"," 1532","   0.940","  33.274","   9.243","   0.360","  16.089","   4.469"," 33","0"," 30"," 33","   0.653","  17.733","   4.926","  45.000","    0","    0"
"21:50:34:367","97918749252986","  27.124","   0.900"," 1391"," 1200"," 2500"," 1402","   0.861","  34.136","   9.482","   0.291","  16.381","   4.550"," 33","0"," 30"," 33","   0.652","  18.386","   5.107","  45.000","    0","    0"
"21:50:35:373","97921067300840","  28.130","   1.276"," 1653"," 1200"," 2700"," 1677","   1.236","  35.380","   9.828","   0.491","  16.875","   4.688"," 33","0"," 30"," 33","   0.705","  19.096","   5.304","  45.000","    0","    0"
"21:50:36:381","97923389694990","  29.138","   1.790"," 2513"," 1200"," 3700"," 3076","   2.202","  37.599","  10.444","   1.574","  18.462","   5.128"," 33","0"," 30"," 39","   0.673","  19.774","   5.493","  45.000","    0","    0"
"21:50:37:383","97925698481440","  30.140","   1.212"," 1447"," 1200"," 3400"," 1454","   0.982","  38.583","  10.718","   0.392","  18.854","   5.237"," 33","0"," 30"," 33","   0.659","  20.435","   5.676","  45.000","    0","    0"
"21:50:38:384","97928003362112","  31.140","   1.686"," 2367"," 1200"," 3700"," 2530","   2.128","  40.712","  11.309","   1.340","  20.195","   5.610"," 33","0"," 30"," 40","   0.705","  21.141","   5.872","  45.000","    0","    0"
"21:50:39:389","97930319957284","  32.146","   0.840"," 1408"," 1200"," 2500"," 1416","   0.868","  41.585","  11.551","   0.297","  20.494","   5.693"," 32","0"," 30"," 33","   0.652","  21.796","   6.054","  45.000","    0","    0"
"21:50:40:390","97932625660142","  33.147","   1.097"," 1548"," 1200"," 2700"," 1581","   0.977","  42.563","  11.823","   0.395","  20.888","   5.802"," 32","0"," 30"," 33","   0.657","  22.453","   6.237","  45.000","    0","    0"
