"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:48:04:153","304930356306180","   1.009","   1.522"," 1581"," 1200"," 2900"," 1600","   1.204","   1.214","   0.337","   0.515","   0.520","   0.144"," 33","0"," 30"," 33","   0.720","   0.727","   0.202","  45.000","    0","    0"
"22:48:05:167","304932693091612","   2.023","   2.876"," 2463"," 1200"," 3700"," 2725","   2.937","   4.193","   1.165","   2.230","   2.781","   0.773"," 33","0"," 30"," 40","   0.693","   1.430","   0.397","  45.000","    0","    0"
"22:48:06:171","304935005247912","   3.026","   1.610"," 1609"," 1200"," 2700"," 1632","   1.292","   5.490","   1.525","   0.573","   3.357","   0.932"," 33","0"," 30"," 34","   0.724","   2.156","   0.599","  45.000","    0","    0"
"22:48:07:176","304937321076004","   4.032","   2.321"," 2910"," 1200"," 4600"," 3197","   4.330","   9.842","   2.734","   3.652","   7.028","   1.952"," 34","0"," 30"," 46","   0.668","   2.828","   0.785","  45.000","    0","    0"
"22:48:08:177","304939627388082","   5.033","   2.990"," 2185"," 1200"," 3700"," 2528","   2.584","  12.429","   3.452","   1.855","   8.884","   2.468"," 33","0"," 30"," 40","   0.763","   3.591","   0.997","  45.000","    0","    0"
"22:48:09:181","304941940527994","   6.037","   1.561"," 1607"," 1200"," 2900"," 1619","   1.247","  13.681","   3.800","   0.543","   9.429","   2.619"," 33","0"," 30"," 34","   0.718","   4.312","   1.198","  45.000","    0","    0"
"22:48:10:183","304944248127194","   7.038","   2.181"," 1989"," 1200"," 3700"," 2160","   1.725","  15.408","   4.280","   1.102","  10.533","   2.926"," 34","0"," 30"," 42","   0.686","   4.999","   1.389","  45.000","    0","    0"
"22:48:11:183","304946553534656","   8.039","   1.221"," 1570"," 1200"," 2500"," 1579","   1.000","  16.408","   4.558","   0.429","  10.962","   3.045"," 33","0"," 30"," 34","   0.668","   5.668","   1.574","  45.000","    0","    0"
"22:48:12:189","304948870165480","   9.044","   2.002"," 1748"," 1200"," 2800"," 1783","   1.374","  17.790","   4.942","   0.750","  11.717","   3.255"," 33","0"," 30"," 34","   0.683","   6.355","   1.765","  45.000","    0","    0"
"22:48:13:190","304951178006560","  10.046","   1.680"," 1650"," 1200"," 2900"," 1666","   1.176","  18.968","   5.269","   0.571","  12.289","   3.414"," 33","0"," 30"," 33","   0.682","   7.038","   1.955","  45.000","    0","    0"
"22:48:14:192","304953484856716","  11.047","   1.967"," 1866"," 1200"," 3700"," 1988","   1.587","  20.557","   5.710","   0.860","  13.150","   3.653"," 34","0"," 29"," 39","   0.730","   7.769","   2.158","  45.000","    0","    0"
"22:48:15:195","304955798019374","  12.051","   2.338"," 2279"," 1200"," 3900"," 2367","   2.303","  22.870","   6.353","   1.635","  14.791","   4.109"," 33","0"," 30"," 40","   0.688","   8.460","   2.350","  45.000","    0","    0"
"22:48:16:201","304958114702524","  13.057","   1.603"," 1710"," 1200"," 2800"," 1748","   1.232","  24.108","   6.697","   0.622","  15.416","   4.282"," 34","0"," 30"," 33","   0.679","   9.143","   2.540","  45.000","    0","    0"
"22:48:17:208","304960435470742","  14.064","   1.732"," 1738"," 1200"," 3600"," 1804","   1.297","  25.415","   7.060","   0.686","  16.108","   4.474"," 33","0"," 30"," 33","   0.672","   9.820","   2.728","  45.000","    0","    0"
