"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"23:47:03:102","313084007648826","   1.001","   2.354"," 2210"," 1200"," 3800"," 2287","   2.356","   2.360","   0.656","   1.575","   1.577","   0.438"," 32","0"," 30"," 41","   0.728","   0.729","   0.203","  45.000","    0","    0"
"23:47:04:113","313086335992128","   2.012","   1.645"," 1905"," 1200"," 3700"," 2114","   1.482","   3.858","   1.072","   0.866","   2.452","   0.681"," 33","0"," 30"," 40","   0.675","   1.411","   0.392","  45.000","    0","    0"
"23:47:05:116","313088647979578","   3.015","   1.381"," 1532"," 1200"," 2500"," 1545","   1.057","   4.918","   1.366","   0.463","   2.916","   0.810"," 32","0"," 30"," 33","   0.667","   2.081","   0.578","  45.000","    0","    0"
"23:47:06:126","313090973642554","   4.025","   1.192"," 1614"," 1200"," 2800"," 1634","   1.128","   6.057","   1.683","   0.442","   3.362","   0.934"," 32","0"," 30"," 33","   0.712","   2.800","   0.778","  45.000","    0","    0"
"23:47:07:130","313093287786934","   5.029","   1.986"," 2387"," 1200"," 3700"," 2901","   2.151","   8.218","   2.283","   1.531","   4.900","   1.361"," 32","0"," 30"," 40","   0.681","   3.484","   0.968","  45.000","    0","    0"
"23:47:08:139","313095612973914","   6.038","   1.840"," 1517"," 1200"," 3500"," 1542","   1.190","   9.418","   2.616","   0.560","   5.465","   1.518"," 32","0"," 29"," 33","   0.723","   4.213","   1.170","  45.000","    0","    0"
"23:47:09:148","313097935951090","   7.047","   1.197"," 1586"," 1200"," 2700"," 1604","   1.016","  10.442","   2.901","   0.440","   5.909","   1.641"," 32","0"," 29"," 32","   0.669","   4.888","   1.358","  45.000","    0","    0"
"23:47:10:151","313100246564820","   8.050","   1.210"," 1599"," 1200"," 3100"," 1633","   1.138","  11.583","   3.218","   0.456","   6.366","   1.768"," 33","0"," 30"," 33","   0.709","   5.600","   1.555","  45.000","    0","    0"
"23:47:11:161","313102573844892","   9.060","   1.205"," 1579"," 1200"," 2800"," 1600","   1.127","  12.722","   3.534","   0.460","   6.830","   1.897"," 33","0"," 29"," 33","   0.704","   6.311","   1.753","  45.000","    0","    0"
"23:47:12:169","313104897499126","  10.068","   1.555"," 1690"," 1200"," 2800"," 1716","   1.226","  13.959","   3.877","   0.579","   7.414","   2.059"," 33","0"," 30"," 33","   0.701","   7.018","   1.950","  45.000","  350","  333"
"23:47:13:176","313107216075176","  11.074","   1.890"," 2249"," 1200"," 3800"," 2399","   2.028","  15.999","   4.444","   1.397","   8.820","   2.450"," 33","0"," 30"," 38","   0.671","   7.694","   2.137","  45.000","  350","  333"
"23:47:14:177","313109522383724","  12.075","   1.507"," 1709"," 1200"," 3000"," 1765","   1.213","  17.213","   4.781","   0.590","   9.410","   2.614"," 33","0"," 30"," 35","   0.680","   8.375","   2.326","  45.000","    0","    0"
"23:47:15:181","313111836270874","  13.080","   1.074"," 1528"," 1200"," 2700"," 1544","   1.046","  18.264","   5.073","   0.402","   9.813","   2.726"," 32","0"," 29"," 33","   0.698","   9.076","   2.521","  45.000","    0","    0"
"23:47:16:183","313114145985380","  14.082","   1.192"," 1467"," 1200"," 2500"," 1480","   1.000","  19.267","   5.352","   0.407","  10.222","   2.839"," 33","0"," 29"," 33","   0.664","   9.742","   2.706","  45.000","    0","    0"
"23:47:17:184","313116452025678","  15.083","   2.569"," 2383"," 1200"," 3700"," 2819","   2.515","  21.784","   6.051","   1.852","  12.075","   3.354"," 32","0"," 29"," 40","   0.696","  10.439","   2.900","  45.000","    0","    0"
"23:47:18:185","313118756952104","  16.084","   1.103"," 1520"," 1200"," 2700"," 1552","   0.959","  22.744","   6.318","   0.391","  12.466","   3.463"," 32","0"," 30"," 33","   0.661","  11.100","   3.083","  45.000","    0","    0"
"23:47:19:195","313121084797900","  17.094","   1.256"," 1632"," 1200"," 3100"," 1650","   1.058","  23.812","   6.614","   0.488","  12.959","   3.600"," 32","0"," 30"," 34","   0.665","  11.772","   3.270","  45.000","    0","    0"
"23:47:20:203","313123408306034","  18.102","   1.207"," 1586"," 1200"," 2700"," 1600","   1.041","  24.862","   6.906","   0.441","  13.405","   3.723"," 32","0"," 30"," 34","   0.673","  12.450","   3.458","  45.000","    0","    0"
"23:47:21:214","313125735876698","  19.113","   1.358"," 1615"," 1200"," 2500"," 1635","   1.160","  26.034","   7.232","   0.482","  13.891","   3.859"," 33","0"," 30"," 33","   0.711","  13.169","   3.658","  45.000","    0","    0"
"23:47:22:214","313128041915118","  20.113","   1.371"," 1513"," 1200"," 2900"," 1525","   1.068","  27.103","   7.529","   0.468","  14.360","   3.989"," 32","0"," 30"," 33","   0.671","  13.840","   3.845","  45.000","    0","    0"
"23:47:23:224","313130367074674","  21.123","   1.813"," 2440"," 1200"," 3700"," 2590","   2.190","  29.313","   8.143","   1.471","  15.844","   4.401"," 32","0"," 29"," 41","   0.714","  14.561","   4.045","  45.000","    0","    0"
"23:47:24:225","313132674891744","  22.124","   1.130"," 1512"," 1200"," 2500"," 1523","   0.954","  30.269","   8.408","   0.398","  16.243","   4.512"," 33","0"," 30"," 33","   0.662","  15.224","   4.229","  45.000","    0","    0"
"23:47:25:233","313134996660540","  23.132","   1.035"," 1461"," 1200"," 2800"," 1471","   0.916","  31.193","   8.665","   0.352","  16.597","   4.610"," 32","0"," 29"," 32","   0.662","  15.891","   4.414","  45.000","    0","    0"
"23:47:26:235","313137306236904","  24.134","   1.455"," 1632"," 1200"," 2500"," 1646","   1.225","  32.420","   9.006","   0.527","  17.126","   4.757"," 33","0"," 29"," 33","   0.713","  16.606","   4.613","  45.000","    0","    0"
"23:47:27:241","313139622266994","  25.140","   2.088"," 2449"," 1200"," 3700"," 3015","   2.245","  34.678","   9.633","   1.624","  18.758","   5.211"," 32","0"," 29"," 40","   0.684","  17.293","   4.804","  45.000","    0","    0"
"23:47:28:242","313141928292316","  26.141","   1.101"," 1555"," 1200"," 2800"," 1567","   0.959","  35.638","   9.899","   0.407","  19.166","   5.324"," 33","0"," 29"," 33","   0.661","  17.955","   4.987","  45.000","    0","    0"
"23:47:29:243","313144236534546","  27.142","   1.227"," 1536"," 1200"," 3100"," 1549","   0.998","  36.638","  10.177","   0.427","  19.593","   5.443"," 32","0"," 30"," 33","   0.664","  18.620","   5.172","  45.000","    0","    0"
