"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"01:04:30:774","323792304173672","   1.001","   1.475"," 1513"," 1200"," 2900"," 1527","   1.206","   1.208","   0.335","   0.495","   0.496","   0.138"," 36","0"," 33"," 36","   0.723","   0.724","   0.201","  45.000","    0","    0"
"01:04:31:783","323794627869504","   2.010","   1.956"," 1816"," 1200"," 3700"," 2057","   1.516","   2.737","   0.760","   0.885","   1.388","   0.386"," 36","0"," 33"," 43","   0.681","   1.410","   0.392","  45.000","    0","    0"
"01:04:32:792","323796953448588","   3.019","   1.781"," 1650"," 1200"," 2900"," 1679","   1.290","   4.039","   1.122","   0.651","   2.046","   0.568"," 35","0"," 33"," 38","   0.674","   2.090","   0.581","  45.000","    0","    0"
"01:04:33:793","323799259995492","   4.020","   1.784"," 2319"," 1200"," 3700"," 2488","   2.119","   6.161","   1.711","   1.387","   3.434","   0.954"," 36","0"," 32"," 42","   0.717","   2.809","   0.780","  45.000","    0","    0"
"01:04:34:800","323801580280452","   5.027","   1.912"," 2427"," 1200"," 3700"," 2936","   2.164","   8.340","   2.317","   1.548","   4.993","   1.387"," 36","0"," 33"," 43","   0.680","   3.493","   0.970","  45.000","    0","    0"
"01:04:35:807","323803900978684","   6.035","   1.008"," 1462"," 1200"," 2500"," 1479","   0.927","   9.275","   2.576","   0.359","   5.355","   1.487"," 36","0"," 33"," 36","   0.662","   4.160","   1.155","  45.000","    0","    0"
"01:04:36:809","323806208706542","   7.036","   1.158"," 1612"," 1200"," 3000"," 1662","   1.071","  10.347","   2.874","   0.487","   5.843","   1.623"," 36","0"," 33"," 36","   0.665","   4.825","   1.340","  45.000","    0","    0"
"01:04:37:812","323808519031600","   8.039","   1.948"," 1620"," 1200"," 3100"," 1657","   1.434","  11.785","   3.274","   0.646","   6.491","   1.803"," 35","0"," 32"," 37","   0.776","   5.604","   1.557","  45.000","    0","    0"
"01:04:38:822","323810846684754","   9.049","   2.083"," 2623"," 1200"," 4500"," 3062","   2.779","  14.592","   4.053","   2.122","   8.634","   2.398"," 36","0"," 33"," 53","   0.704","   6.315","   1.754","  45.000","    0","    0"
"01:04:39:826","323813160309466","  10.053","   1.044"," 1512"," 1200"," 3500"," 1525","   0.924","  15.520","   4.311","   0.371","   9.006","   2.502"," 36","0"," 32"," 36","   0.661","   6.978","   1.938","  45.000","    0","    0"
"01:04:40:836","323815488259040","  11.064","   1.221"," 1477"," 1200"," 2600"," 1497","   0.966","  16.496","   4.582","   0.402","   9.413","   2.615"," 35","0"," 32"," 36","   0.664","   7.649","   2.125","  45.000","    0","    0"
"01:04:41:845","323817811791976","  12.072","   1.079"," 1555"," 1200"," 2900"," 1584","   0.967","  17.471","   4.853","   0.401","   9.818","   2.727"," 36","0"," 32"," 36","   0.662","   8.317","   2.310","  45.000","    0","    0"
"01:04:42:845","323820116888092","  13.073","   1.162"," 1554"," 1200"," 2800"," 1579","   0.991","  18.462","   5.128","   0.413","  10.231","   2.842"," 35","0"," 32"," 36","   0.664","   8.981","   2.495","  45.000","    0","    0"
"01:04:43:854","323822441259834","  14.082","   1.938"," 2250"," 1200"," 3800"," 2413","   2.039","  20.518","   5.700","   1.422","  11.665","   3.240"," 35","0"," 32"," 41","   0.669","   9.656","   2.682","  45.000","    0","    0"
"01:04:44:857","323824752873480","  15.085","   2.295"," 2235"," 1200"," 3700"," 2660","   2.303","  22.829","   6.341","   1.592","  13.262","   3.684"," 35","0"," 32"," 41","   0.726","  10.384","   2.885","  45.000","    0","    0"
"01:04:45:859","323827060342148","  16.086","   2.569"," 1468"," 1200"," 2900"," 1485","   1.439","  24.270","   6.742","   0.730","  13.994","   3.887"," 35","0"," 32"," 37","   0.682","  11.067","   3.074","  45.000","    0","    0"
"01:04:46:860","323829366117216","  17.087","   1.446"," 1745"," 1200"," 3000"," 1819","   1.308","  25.579","   7.105","   0.615","  14.610","   4.058"," 35","0"," 32"," 36","   0.716","  11.783","   3.273","  45.000","    0","    0"
"01:04:47:866","323831683542998","  18.093","   1.285"," 1602"," 1200"," 2800"," 1628","   1.043","  26.628","   7.397","   0.463","  15.076","   4.188"," 35","0"," 32"," 36","   0.669","  12.456","   3.460","  45.000","    0","    0"
"01:04:48:868","323833993744186","  19.096","   1.006"," 1548"," 1200"," 2900"," 1569","   0.950","  27.580","   7.661","   0.399","  15.475","   4.299"," 35","0"," 32"," 36","   0.661","  13.119","   3.644","  45.000","    0","    0"
"01:04:49:870","323836301358678","  20.097","   1.220"," 1512"," 1200"," 2500"," 1529","   1.007","  28.589","   7.941","   0.433","  15.909","   4.419"," 36","0"," 32"," 36","   0.662","  13.782","   3.828","  45.000","    0","    0"
"01:04:50:871","323838609277480","  21.099","   1.134"," 1430"," 1200"," 2600"," 1438","   0.944","  29.534","   8.204","   0.375","  16.284","   4.523"," 35","0"," 32"," 36","   0.665","  14.448","   4.013","  45.000","    0","    0"
"01:04:51:879","323840931522592","  22.107","   1.210"," 1647"," 1200"," 2900"," 1692","   1.041","  30.583","   8.495","   0.474","  16.761","   4.656"," 35","0"," 32"," 36","   0.665","  15.118","   4.199","  45.000","    0","    0"
"01:04:52:880","323843237597498","  23.108","   1.277"," 1602"," 1200"," 2700"," 1615","   1.158","  31.743","   8.817","   0.470","  17.232","   4.787"," 35","0"," 32"," 36","   0.712","  15.831","   4.397","  45.000","    0","    0"
"01:04:53:885","323845552727580","  24.112","   1.810"," 2376"," 1200"," 3800"," 2514","   2.127","  33.880","   9.411","   1.414","  18.653","   5.181"," 35","0"," 32"," 41","   0.719","  16.553","   4.598","  45.000","    0","    0"
"01:04:54:894","323847876803584","  25.121","   2.263"," 2289"," 1200"," 3700"," 2719","   2.287","  36.187","  10.052","   1.624","  20.291","   5.636"," 35","0"," 32"," 41","   0.685","  17.244","   4.790","  45.000","    0","    0"
"01:04:55:894","323850182564758","  26.122","   1.529"," 1655"," 1200"," 3000"," 1673","   1.164","  37.352","  10.376","   0.565","  20.857","   5.793"," 35","0"," 32"," 36","   0.669","  17.914","   4.976","  45.000","    0","    0"
"01:04:56:902","323852504867944","  27.130","   1.201"," 1651"," 1200"," 2900"," 1691","   1.064","  38.425","  10.674","   0.483","  21.344","   5.929"," 35","0"," 32"," 35","   0.664","  18.583","   5.162","  45.000","    0","    0"
"01:04:57:904","323854812450038","  28.131","   1.244"," 1622"," 1200"," 2800"," 1646","   1.030","  39.456","  10.960","   0.454","  21.799","   6.055"," 35","0"," 32"," 35","   0.664","  19.248","   5.347","  45.000","    0","    0"
"01:04:58:912","323857136119592","  29.140","   1.109"," 1569"," 1200"," 2500"," 1589","   0.964","  40.429","  11.230","   0.402","  22.204","   6.168"," 34","0"," 31"," 36","   0.659","  19.913","   5.531","  45.000","    0","    0"
"01:04:59:913","323859441503410","  30.140","   1.177"," 1500"," 1200"," 2500"," 1511","   1.100","  41.529","  11.536","   0.420","  22.624","   6.284"," 35","0"," 31"," 35","   0.711","  20.625","   5.729","  45.000","    0","    0"
"01:05:00:913","323861746590928","  31.141","   1.302"," 1536"," 1200"," 2500"," 1547","   1.062","  42.592","  11.831","   0.439","  23.064","   6.407"," 35","0"," 32"," 35","   0.687","  21.313","   5.920","  45.000","    0","    0"
"01:05:01:917","323864059388142","  32.145","   1.808"," 1600"," 1200"," 2900"," 1622","   1.232","  43.828","  12.175","   0.600","  23.665","   6.574"," 35","0"," 32"," 35","   0.671","  21.987","   6.107","  45.000","    0","    0"
"01:05:02:926","323866383703912","  33.153","   1.527"," 1585"," 1200"," 3000"," 1612","   1.101","  44.940","  12.483","   0.510","  24.180","   6.717"," 35","0"," 31"," 35","   0.671","  22.664","   6.295","  45.000","    0","    0"
